epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6907386474406496,0.6907220465767553,0.6,0.5,0.5681818181818182,0.008161915146285472,1.3304612345982517e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
1,0.69032933956589,0.6903330972326257,0.6,0.6666666666666666,0.5782828282828283,0.008349894944141678,1.4030649202816386e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
2,0.6899145958069585,0.6899432564893158,0.625,0.5161290322580645,0.585858585858586,0.00848791346032896,1.4593396916205465e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
3,0.6894992335920263,0.68955763340222,0.625,0.5161290322580645,0.5883838383838383,0.0085596460576395,1.4929880799427098e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
4,0.6890896639450037,0.6891842974373756,0.65,0.5333333333333333,0.5934343434343434,0.008568102679077233,1.5042737474308654e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
5,0.6886915007462041,0.6888313594625421,0.675,0.5517241379310345,0.6060606060606061,0.008527720891430942,1.497732489965319e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
6,0.6883077926054975,0.6885059538538357,0.675,0.5517241379310345,0.6111111111111112,0.00845930733905619,1.4802996041327604e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
7,0.6879387293972741,0.6882120487894755,0.675,0.5517241379310345,0.6111111111111112,0.008382583978881511,1.4585775363433377e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
8,0.6875826720451561,0.687950732917719,0.675,0.5517241379310345,0.6161616161616162,0.008311117502913702,1.4371105169281844e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
9,0.6872375915231239,0.6877218331537509,0.675,0.5517241379310345,0.6161616161616162,0.008251040312321553,1.4180428139691454e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
10,0.6869021284664071,0.6875250735853927,0.675,0.5517241379310345,0.6237373737373737,0.008203533382169854,1.401973493276198e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
11,0.6865755252287319,0.6873604518591605,0.675,0.5517241379310345,0.6363636363636364,0.008168292033730774,1.3890764478213829e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
12,0.6862570974381487,0.687228139506491,0.675,0.5185185185185185,0.6464646464646465,0.008145312131830068,1.3796577681555182e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
13,0.6859458493272363,0.6871281451819543,0.675,0.5517241379310345,0.648989898989899,0.008135333098936036,1.3742780970369315e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
14,0.6856403255693463,0.6870598209267555,0.675,0.5517241379310345,0.6540404040404041,0.008139881241759135,1.373747854623185e-06,0.1875,2,16,1.0,keep,none,0,0
15,0.6853386180056539,0.6870212970942815,0.675,0.5517241379310345,0.6540404040404041,0.008161393966557452,1.3791543649065638e-06,0.1875,2,16,1.0,keep,none,0,0
16,0.6850384063883664,0.6870089558775379,0.625,0.6153846153846154,0.6439393939393939,0.008203568041612545,1.391977393698963e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
17,0.6847369178748053,0.6870171089193526,0.625,0.6153846153846154,0.6363636363636364,0.00827177239661232,1.4142555558169842e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
18,0.684430823317524,0.687038230126533,0.625,0.6511627906976745,0.6237373737373737,0.008372912614723662,1.448612824008766e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
19,0.684116305611941,0.6870640666243821,0.65,0.65,0.6186868686868687,0.008514180726007929,1.4979483081455611e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
20,0.683789420705183,0.6870870099737023,0.625,0.6341463414634146,0.6262626262626263,0.008701486267686834,1.5650198239053229e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
21,0.68344645894348,0.6871005591671182,0.65,0.631578947368421,0.6287878787878788,0.00893890926517785,1.6523396174073842e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
22,0.6830840750523125,0.687098910515413,0.65,0.631578947368421,0.6313131313131313,0.00922892551147909,1.7622875677043817e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
23,0.6826992652895744,0.6870764489601694,0.65,0.6956521739130435,0.6338383838383839,0.00957259269271693,1.8971605098486506e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
24,0.6822893196367902,0.6870274988306064,0.65,0.6956521739130435,0.6338383838383839,0.00996953630212143,2.0590972063723105e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
25,0.6818518064205581,0.6869463226402923,0.65,0.6956521739130435,0.6313131313131313,0.010417900616060741,2.2499372996357767e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
26,0.6813845862255424,0.6868272511201219,0.675,0.723404255319149,0.6414141414141413,0.010914410728178418,2.471078813302715e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
27,0.680885836627868,0.6866648347556683,0.675,0.723404255319149,0.6464646464646464,0.011454546748329485,2.723355590312528e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
28,0.6803540875741317,0.6864539676423218,0.7,0.7391304347826086,0.6540404040404041,0.01203272404592202,3.006910242390618e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
29,0.6797882786211005,0.6861899856050369,0.7,0.7391304347826086,0.6565656565656566,0.012642393282914005,3.321032186431948e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
30,0.6892698399329122,0.6858687543089204,0.7,0.7391304347826086,0.6641414141414141,0.022612000193134408,6.974614092616091e-06,0.1111111111111111,3,24,1.0,add_layer,committed,1,0
31,0.6879254613682533,0.6913392792923698,0.575,0.6792452830188679,0.5101010101010102,0.022492920252840814,6.895104698322478e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
32,0.6866135159094795,0.690198366521385,0.575,0.6792452830188679,0.5429292929292929,0.022248060771191007,6.73803457431965e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
33,0.6853429553588103,0.6891420475747443,0.6,0.68,0.5934343434343434,0.021939137792845436,6.542776343594614e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
34,0.6841160955717636,0.6881593737700034,0.65,0.5882352941176471,0.6212121212121212,0.021606451444960855,6.335696677365411e-06,0.125,3,24,1.0,keep,none,1,0
35,0.6951755526710641,0.6872362533608399,0.675,0.6060606060606061,0.638888888888889,0.026847301772224698,7.504132502932887e-06,0.08333333333333333,4,32,1.0,add_layer,committed,2,0
36,0.6933485121017305,0.6890718211429551,0.625,0.6511627906976745,0.5909090909090908,0.02694988428355944,7.560748477559133e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
37,0.6915223964278456,0.686720049684663,0.675,0.6829268292682927,0.6565656565656566,0.02670006162795342,7.420450232302816e-06,0.08333333333333333,4,32,1.0,keep,none,2,0
