epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6907386474406496,0.6907220465767553,0.6,0.5,0.5681818181818182,0.008161915146285463,1.3304612345982492e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
1,0.69032933956589,0.6903330972326257,0.6,0.6666666666666666,0.5782828282828283,0.008349894944141682,1.40306492028164e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
2,0.6899145958069585,0.6899432564893158,0.625,0.5161290322580645,0.585858585858586,0.008487913460328962,1.4593396916205472e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
3,0.6894992335920263,0.68955763340222,0.625,0.5161290322580645,0.5883838383838383,0.008559646057639503,1.4929880799427106e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
4,0.6890896639450037,0.6891842974373756,0.65,0.5333333333333333,0.5934343434343434,0.008568102679077231,1.5042737474308644e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
5,0.6886915007462041,0.688831359462542,0.675,0.5517241379310345,0.6060606060606061,0.008527720891430944,1.4977324899653197e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
6,0.6883077926054975,0.6885059538538357,0.675,0.5517241379310345,0.6111111111111112,0.008459307339056187,1.4802996041327598e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
7,0.6879387293972741,0.6882120487894754,0.675,0.5517241379310345,0.6111111111111112,0.008382583978881517,1.4585775363433394e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
8,0.6875826720451561,0.687950732917719,0.675,0.5517241379310345,0.6161616161616162,0.008311117502913697,1.4371105169281827e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
9,0.6872375915231239,0.6877218331537509,0.675,0.5517241379310345,0.6161616161616162,0.008251040312321559,1.4180428139691471e-06,0.16666666666666666,2,16,1.0,keep,none,0,0
10,0.6896923151196743,0.6875250735853927,0.675,0.5517241379310345,0.6237373737373737,0.020717294954446647,5.92293355103251e-06,0.1111111111111111,3,24,1.0,add_layer,committed,1,0
11,0.6883736831706567,0.6926318169149676,0.6,0.6363636363636364,0.5151515151515151,0.020856560159399604,6.0053086586006605e-06,0.1111111111111111,3,24,1.0,keep,none,1,0
