epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6972406004466857,0.6566051440653483,0.6486666666666666,0.11428571428571428,0.6225794665692365,0.02229703728260874,1.035679747140229e-05,0.25,2,14,1.0,keep,none,0,0
1,0.6962096850014414,0.6555607903172264,0.6546666666666666,0.11604095563139932,0.6295484377325811,0.02412862935273344,1.2122500228474457e-05,0.25,2,14,1.0,keep,none,0,0
2,0.6951981871799942,0.654631445715802,0.6513333333333333,0.11505922165820642,0.6364903449302426,0.02296700854776254,1.0985128973096335e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
3,0.6942076492723444,0.6537502312074951,0.6546666666666666,0.11604095563139932,0.6434999120421114,0.024269605406627606,1.2247900986729084e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
4,0.6932441303153828,0.6529468793266383,0.6553333333333333,0.11925042589437819,0.649251004749726,0.023261543040998586,1.1272006804941544e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
5,0.6923055247977689,0.6522153312862629,0.658,0.12006861063464837,0.654961501508816,0.02241369640655348,1.0465976727169529e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
6,0.6913974835558652,0.6516295539655933,0.6586666666666666,0.12027491408934708,0.6599818671429925,0.019169685107559425,7.64278300781481e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
7,0.6905162520998543,0.6511138570988637,0.6566666666666666,0.11965811965811966,0.6657194278677655,0.020206661692061877,8.505359811609241e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
8,0.6896615342601571,0.6507018014322505,0.6553333333333333,0.11925042589437819,0.6717817561807331,0.021015272250198874,9.159599038156859e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
9,0.688821461334668,0.6503503973425833,0.652,0.11824324324324324,0.6770998254374213,0.022272485363722647,1.0323724102157643e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
10,0.6960353329654192,0.6500759975193924,0.7233333333333334,0.129979035639413,0.6822690428828536,0.04304506484689663,2.571169728358175e-05,0.1527777777777778,3,21,1.0,add_layer,committed,1,0
11,0.6941259537709659,0.6905463890008877,0.686,0.1261595547309833,0.6605637424051747,0.037430964743597056,1.943661616472189e-05,0.1527777777777778,3,21,1.0,keep,none,1,0
12,0.6922640672093991,0.6879126578838656,0.7193333333333334,0.13552361396303902,0.6710104331587708,0.037549112585061974,1.9567953171213017e-05,0.1527777777777778,3,21,1.0,keep,none,1,0
13,0.690463264692397,0.6854075991114505,0.7226666666666667,0.13692946058091288,0.6806181409761972,0.03414308619898447,1.6184469044747015e-05,0.1527777777777778,3,21,1.0,keep,none,1,0
14,0.6887140344097167,0.6829261210192669,0.7106666666666667,0.13545816733067728,0.6900634649995263,0.03415388754691777,1.6178377110982747e-05,0.18055555555555555,3,21,1.0,keep,none,1,0
15,0.7007843310456863,0.6805261663915124,0.7286666666666667,0.1431578947368421,0.6985344862582714,0.045969419890287536,2.1528443106296912e-05,0.11458333333333333,4,28,1.0,add_layer,committed,2,0
16,0.6980991376641335,0.691493847235896,0.9473333333333334,0.09195402298850575,0.33204779496339604,0.043434063046469865,1.9328855222805218e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
17,0.6955324581280226,0.6858818933186441,0.8986666666666666,0.08433734939759036,0.3575826465852041,0.04294359076157363,1.8664491644105892e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
18,0.6930376316961517,0.6807148856912425,0.8833333333333333,0.09326424870466321,0.3819672796654894,0.04249262560043126,1.838100115501934e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
19,0.6905949456729987,0.6761684993651691,0.8526666666666667,0.10526315789473684,0.4052828861013004,0.041587450257217315,1.7616536181441845e-05,0.125,4,28,1.0,keep,none,2,0
20,0.6882017493807745,0.6722116382579784,0.8733333333333333,0.12037037037037036,0.4284902366743799,0.04159488426074757,1.7470989332003497e-05,0.11458333333333333,4,28,1.0,propose_reduce_entanglement,in_progress,2,0
