epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.697240606810967,0.656605529642977,0.6486666666666666,0.11428571428571428,0.6225794665692365,0.023439635792112192,1.141451838769633e-05,0.25,2,14,1.0,keep,none,0,0
1,0.696205374926932,0.6555293584421118,0.654,0.11584327086882454,0.6295890336811053,0.023418639060638093,1.1420719338553852e-05,0.25,2,14,1.0,keep,none,0,0
2,0.6951874059710427,0.6544967909805244,0.6513333333333333,0.11505922165820642,0.636774516569913,0.02310149002236905,1.111378043113699e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
3,0.6942051760334911,0.6538411487893498,0.6546666666666666,0.11604095563139932,0.6437028917847333,0.021550875064432137,9.675779381426486e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
4,0.6932483251894076,0.653171643438498,0.656,0.11945392491467577,0.6490209610414214,0.021047096089222003,9.22692548763429e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
5,0.692328453356761,0.652573790318185,0.6573333333333333,0.11986301369863013,0.6547314578005115,0.02229550372927227,1.0350499764741515e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
6,0.6914290225676613,0.6519829660783633,0.66,0.1206896551724138,0.6596300355891148,0.02205698129066979,1.0124149137395892e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
7,0.6905532390195928,0.6514394665086155,0.658,0.12006861063464837,0.6655976400221925,0.020324974617241733,8.595690209151687e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
8,0.6897011290935396,0.6509605605036418,0.6566666666666666,0.11965811965811966,0.6712810728155998,0.020526178376258558,8.773447579940233e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
9,0.6888755399417722,0.6505939611469906,0.654,0.11884550084889643,0.6763826303468248,0.019514893607824494,7.916398962741945e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
10,0.6959459849307545,0.6503102206708251,0.6506666666666666,0.11784511784511785,0.6819442752946588,0.037718660473158194,1.9759551542786447e-05,0.1527777777777778,3,21,1.0,add_layer,committed,1,0
11,0.6940337405768007,0.6907749043300198,0.686,0.1261595547309833,0.6610508937874666,0.03862627616459027,2.071090738087847e-05,0.1527777777777778,3,21,1.0,keep,none,1,0
12,0.692166671155695,0.6882374820746181,0.7193333333333334,0.13552361396303902,0.6714840525582213,0.037855434754898366,1.9892331234402898e-05,0.1527777777777778,3,21,1.0,keep,none,1,0
13,0.6903567375391245,0.6857331063578895,0.7226666666666667,0.13692946058091288,0.6811458883070136,0.03570363008478425,1.7689290680637265e-05,0.1527777777777778,3,21,1.0,keep,none,1,0
14,0.6885974121563398,0.6832683764635135,0.7113333333333334,0.13572854291417166,0.6905235524161355,0.036693140519012055,1.86717121319534e-05,0.19444444444444445,3,21,1.0,keep,none,1,0
15,0.7008997569822619,0.6809209269513596,0.7286666666666667,0.1431578947368421,0.6989539777263563,0.04475262972631494,2.0492635527207987e-05,0.11458333333333333,4,28,1.0,add_layer,committed,2,0
16,0.6981903526027946,0.6920605214776748,0.9333333333333333,0.09090909090909091,0.3271356851919512,0.045002240706140305,2.0612117505677323e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
17,0.6955705533279007,0.6864244783738649,0.9366666666666666,0.09523809523809523,0.3526570048309179,0.045237323097204,2.0813824068136678e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
18,0.6930234067157218,0.6813408599329702,0.934,0.10810810810810811,0.3774205334307636,0.041718632272907584,1.765167481213167e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
19,0.6905352907683724,0.6767294148754477,0.8513333333333334,0.10441767068273092,0.4016292507341101,0.04291978048885226,1.867134868112174e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
20,0.7070735031774907,0.6727126819599989,0.8946666666666667,0.13186813186813187,0.4266228230422604,0.04192148388693457,1.4573983112918206e-05,0.09166666666666666,5,35,1.0,add_layer,committed,3,0
21,0.7036875116862101,0.7384746857183573,0.966,0.0,0.39706897251654283,0.04956763313135195,2.0368865380247833e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
22,0.7001255927373249,0.7334055272159695,0.49533333333333335,0.07343941248470012,0.48172505717262754,0.054573228715898356,2.4720816008324636e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
23,0.6964856952880698,0.7281248353196795,0.6346666666666667,0.10163934426229508,0.5780186470723554,0.053659332580633094,2.3927915134989428e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
24,0.6928477897236323,0.7221532007319138,0.7106666666666667,0.132,0.6632972029391467,0.056990565658244605,2.699664721328383e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
25,0.6982413092010085,0.7156717846876348,0.752,0.15454545454545454,0.7340830051827494,0.04534553481243693,1.4102255935987533e-05,0.0763888888888889,6,42,1.0,add_layer,committed,4,0
26,0.6947143031682501,0.692750113905774,0.792,0.08771929824561403,0.5195469492144684,0.04286395741502986,1.2638071711591843e-05,0.0763888888888889,6,42,1.0,keep,none,4,0
27,0.6911410121703021,0.6844270286551761,0.8033333333333333,0.11411411411411411,0.6119297960730186,0.043447018401602255,1.297531035580879e-05,0.0763888888888889,6,42,1.0,keep,none,4,0
28,0.6874943151446674,0.6766585620729924,0.7613333333333333,0.13106796116504854,0.704745666382495,0.04375409890947165,1.3186333732076854e-05,0.0763888888888889,6,42,1.0,keep,none,4,0
29,0.6837913959881784,0.6696967736781296,0.6986666666666667,0.14393939393939395,0.7786032287311059,0.0451582029847286,1.4088071297888058e-05,0.0763888888888889,6,42,1.0,keep,none,4,0
30,0.7032618397862148,0.663559938771993,0.6713333333333333,0.1514629948364888,0.8252209096198866,0.034005460151141545,6.731828312643018e-06,0.06547619047619048,7,49,1.0,add_layer,committed,5,0
31,0.6998445659862699,0.7153902994047879,0.2773333333333333,0.06712564543889846,0.4312101652255105,0.03474906894978573,7.015772095972214e-06,0.06547619047619048,7,49,1.0,keep,none,5,0
32,0.6965357499009804,0.7109858836468415,0.33466666666666667,0.07763401109057301,0.5113330356297108,0.033874267982020756,6.607593844858062e-06,0.06547619047619048,7,49,1.0,keep,none,5,0
33,0.6934310283921408,0.706814304854431,0.41,0.09044193216855087,0.5868414998849781,0.03223521804115557,6.04941097067508e-06,0.06547619047619048,7,49,1.0,keep,none,5,0
34,0.690549050422056,0.7036019100414191,0.43933333333333335,0.09472551130247578,0.6500223277716884,0.02915819358069105,4.891348917942537e-06,0.06547619047619048,7,49,1.0,keep,none,5,0
35,0.6950144995967703,0.701175793882199,0.45066666666666666,0.10043668122270742,0.6971948199569683,0.04316003090303352,9.679291063096229e-06,0.057291666666666664,8,56,1.0,add_layer,committed,6,0
36,0.6907174541889919,0.6881047127640748,0.9066666666666666,0.1566265060240964,0.5645001962137512,0.042333415978589514,9.314809368757766e-06,0.057291666666666664,8,56,1.0,keep,none,6,0
37,0.6866933270678103,0.6873572578568622,0.8106666666666666,0.16470588235294117,0.7180340735327948,0.04083090600187689,8.676808288111686e-06,0.057291666666666664,8,56,1.0,keep,none,6,0
38,0.6829721407299947,0.6866831929989076,0.8326666666666667,0.21316614420062696,0.8246390343577045,0.0392855479767534,8.033291651510227e-06,0.057291666666666664,8,56,1.0,keep,none,6,0
39,0.6795996857366292,0.6861189709993131,0.7826666666666666,0.20098039215686275,0.8708236917955589,0.03572049057932707,6.64324345132439e-06,0.057291666666666664,8,56,1.0,keep,none,6,0
