epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6972412245813941,0.6565950258940113,0.648,0.11409395973154363,0.622592998552078,0.023822947968613298,1.1820573719957723e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
1,0.6962083877944788,0.6554687061075534,0.654,0.11584327086882454,0.6295755016982638,0.02369804672455912,1.1696928037656433e-05,0.25,2,14,1.0,keep,none,0,0
2,0.6951927043946388,0.6544393029046351,0.6513333333333333,0.11505922165820642,0.6368286445012787,0.024558014196615144,1.255344219958738e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
3,0.6942074027798442,0.6535227180395132,0.6553333333333333,0.11623931623931624,0.6439599994587206,0.021852079784992443,9.94244045528256e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
4,0.6932448354179459,0.6527829753130382,0.656,0.11945392491467577,0.649643432252128,0.02049166090291981,8.748063565361338e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
5,0.6923098673936957,0.6521573581322835,0.656,0.11945392491467577,0.6552862690970108,0.022325061154692873,1.0378721658667618e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
6,0.6913970854726476,0.6516230306984571,0.6573333333333333,0.11986301369863013,0.6605908063708575,0.02303794785228401,1.105531470716966e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
7,0.6905038169694934,0.6511472789261051,0.656,0.11945392491467577,0.6662336432157404,0.020090688804732706,8.408876681293981e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
8,0.6896247727333211,0.6507432618806454,0.6526666666666666,0.11844331641285956,0.6724989512713297,0.02131417849333834,9.46435451366906e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
9,0.6887579455870317,0.6503878328656812,0.7226666666666667,0.1297071129707113,0.6781417881162126,0.021447857643509597,9.572961842148342e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
10,0.6958892185500292,0.6501048672340729,0.728,0.13191489361702127,0.6832433456474376,0.03799081004065652,2.0029366511095264e-05,0.1527777777777778,3,21,1.0,add_layer,committed,1,0
11,0.6939951569941184,0.6894682635594203,0.7033333333333334,0.12915851272015655,0.6618222168094291,0.03761456682815199,1.9636278077394915e-05,0.18055555555555555,3,21,1.0,keep,none,1,0
12,0.6921644592682418,0.6868967783055826,0.7206666666666667,0.1360824742268041,0.6720929917860865,0.03918018404272655,2.1251469712959778e-05,0.1527777777777778,3,21,1.0,keep,none,1,0
13,0.6903826578126436,0.684316504487863,0.724,0.1375,0.6816059757236228,0.03547825847716697,1.7430893929660497e-05,0.1527777777777778,3,21,1.0,keep,none,1,0
14,0.6886595996410583,0.681835735947936,0.7106666666666667,0.13545816733067728,0.6908889159528545,0.03657766456097491,1.85500948744442e-05,0.18055555555555555,3,21,1.0,keep,none,1,0
15,0.7008671754862006,0.679487013385481,0.7293333333333333,0.14345991561181434,0.6992787453145508,0.04644561297280664,2.2064978335703853e-05,0.11458333333333333,4,28,1.0,add_layer,committed,2,0
16,0.6981795365471578,0.6915764290182622,0.9486666666666667,0.09411764705882353,0.32905722675543647,0.04832331934690335,2.378577015080929e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
17,0.6955681016523756,0.6864952455453631,0.91,0.09395973154362416,0.35215632146578435,0.04505130561321378,2.066190850576317e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
18,0.69304525304735,0.6821149755400204,0.92,0.1044776119402985,0.3739428138405121,0.03951765028414033,1.590911523074975e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
19,0.6905870832218652,0.6779832086037958,0.8673333333333333,0.10762331838565023,0.3981515311438585,0.04050480041309652,1.677306278123844e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
20,0.7075410867073468,0.6740284041585212,0.8886666666666667,0.1256544502617801,0.42351046698872785,0.0448051975304888,1.6635855695964826e-05,0.09166666666666666,5,35,1.0,add_layer,committed,3,0
21,0.704258894054011,0.7420943430034522,0.966,0.0,0.3800592700848455,0.04698568088814856,1.830836835299647e-05,0.1,5,35,1.0,keep,none,3,0
22,0.7008137973145091,0.7372675844424745,0.48133333333333334,0.06937799043062201,0.4619548302412752,0.045069446736565634,1.687259597988557e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
23,0.6972940362773934,0.7318755799564389,0.6006666666666667,0.09379727685325265,0.5603729414471103,0.05398208730938014,2.4185839240792105e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
24,0.6937480339474819,0.7259333415600446,0.6933333333333334,0.11877394636015326,0.6469640996495216,0.05345261988589906,2.3742514572119548e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
25,0.6902290193293571,0.7195251643336626,0.6553333333333333,0.1281618887015177,0.7173439424078809,0.051836935188127174,2.233327247107967e-05,0.09166666666666666,5,35,1.0,propose_reduce_entanglement,in_progress,3,0
26,0.686778002388265,0.7126350150533193,0.714,0.15384615384615385,0.7728115400749671,0.05242516599806904,2.2850490742278706e-05,0.09166666666666666,5,32,0.9045084971874737,keep,in_progress,3,0
27,0.6834367694854545,0.7053639165077036,0.8013333333333333,0.20320855614973263,0.8165063126699955,0.05052786960241052,2.123884799156897e-05,0.09166666666666666,5,23,0.6545084971874737,keep,in_progress,3,0
28,0.6802487537850846,0.6981938198388561,0.826,0.23460410557184752,0.8478599169136254,0.04729692019310852,1.8590438107772188e-05,0.09166666666666666,5,12,0.34549150281252633,keep,in_progress,3,0
29,0.6772465354064573,0.6912322284849759,0.8706666666666667,0.2971014492753623,0.8696058133398287,0.043978772605660854,1.6083250674021198e-05,0.09166666666666666,5,3,0.09549150281252633,keep,in_progress,3,0
30,0.6936544750865633,0.6847438404220442,0.8766666666666667,0.30711610486891383,0.8829077524729698,0.03931647798827132,1.0686310128639563e-05,0.0763888888888889,6,0,0.0,add_layer,committed,5,0
31,0.6903184133645263,0.6862597190390447,0.5706666666666667,0.10555555555555556,0.6735544459329624,0.039537675236976294,1.0782453988866178e-05,0.0763888888888889,6,0,0.0,keep,none,5,0
32,0.6869572366923827,0.6809503516237622,0.612,0.12612612612612611,0.7472631564703175,0.04103188875693941,1.1644671961692409e-05,0.08333333333333333,6,0,0.0,keep,none,5,0
33,0.6836084325322963,0.6761973593043652,0.6713333333333333,0.1514629948364888,0.7945439045183291,0.03900419015745653,1.0522033833044072e-05,0.0763888888888889,6,0,0.0,keep,none,5,0
34,0.6803153093768594,0.6716605054878373,0.6886666666666666,0.1615798922800718,0.822893408571158,0.041198552929081055,1.177071710624216e-05,0.08333333333333333,6,0,0.0,keep,none,5,0
35,0.7000309858307466,0.6674171900808709,0.7266666666666667,0.17670682730923695,0.8413916291154143,0.03702084431895888,8.139350950533184e-06,0.06547619047619048,7,0,0.0,add_layer,committed,6,0
