epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6972406224055587,0.6566056821068424,0.6486666666666666,0.11428571428571428,0.6225794665692365,0.023535158622241887,1.1529766998259358e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
1,0.6962213634085436,0.6559200275311813,0.6553333333333333,0.11623931623931624,0.6291018822988133,0.022961167175381294,1.0972717569394411e-05,0.25,2,14,1.0,keep,none,0,0
2,0.6952211375514112,0.6550682165669351,0.6553333333333333,0.11623931623931624,0.6361520453592064,0.024969809095623578,1.2989285524821623e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
3,0.694245402677435,0.6543214516322069,0.6546666666666666,0.11604095563139932,0.6432157404024412,0.023403607885882537,1.1398432043967107e-05,0.25,2,14,1.0,keep,none,0,0
4,0.6932928756675586,0.6535700452524768,0.6546666666666666,0.11904761904761904,0.6488179812987998,0.0219721296297027,1.0057695355714673e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
5,0.6923707543854621,0.6528463261184649,0.6586666666666666,0.12027491408934708,0.6540683906412808,0.020774738996019834,8.991263855927884e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
6,0.6914690968567262,0.6521892573973295,0.66,0.1206896551724138,0.659237608086713,0.02171806888260271,9.8183701302141e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
7,0.6905956274493142,0.6516335762189134,0.6593333333333333,0.12048192771084337,0.6653946602795707,0.020087042242306084,8.384292971793694e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
8,0.6897375815427188,0.6511276836117812,0.6586666666666666,0.12027491408934708,0.6713081367812825,0.02235080016574389,1.0406774389553596e-05,0.22916666666666666,2,14,1.0,keep,none,0,0
9,0.6889006008334152,0.6507292173381939,0.6546666666666666,0.11904761904761904,0.6764908862095562,0.01915296028117787,7.614250974090257e-06,0.22916666666666666,2,14,1.0,keep,none,0,0
10,0.6958911253121538,0.6504027628015772,0.7253333333333334,0.1308016877637131,0.6821201910715977,0.04059068299974228,2.2876363596686358e-05,0.1527777777777778,3,21,1.0,add_layer,committed,1,0
11,0.6939879124245889,0.6907856342599128,0.7046666666666667,0.12966601178781925,0.6619169406893192,0.037007173237018694,1.9012868018708957e-05,0.1527777777777778,3,21,1.0,keep,none,1,0
12,0.6921328457648627,0.6881101862749888,0.7193333333333334,0.13552361396303902,0.6720929917860864,0.03613678099883858,1.812722923807681e-05,0.1527777777777778,3,21,1.0,keep,none,1,0
13,0.6903301783213855,0.6855358119089384,0.7246666666666667,0.13778705636743216,0.6815518477922569,0.0376770863215894,1.967746210449817e-05,0.1527777777777778,3,21,1.0,keep,none,1,0
14,0.6885849910282169,0.6830293083401184,0.712,0.136,0.6908483200043302,0.03439633832752718,1.63941646523321e-05,0.18055555555555555,3,21,1.0,keep,none,1,0
15,0.70069708355352,0.6805937173845829,0.73,0.14376321353065538,0.699522321005697,0.04188255459086216,1.7898986398029866e-05,0.125,4,28,1.0,add_layer,committed,2,0
16,0.6980131870699217,0.6913632674775402,0.9333333333333333,0.09090909090909091,0.3291519506353266,0.04511843968423264,2.0709781203665458e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
17,0.6954284506349414,0.6861383853109518,0.902,0.08695652173913043,0.35313062423036845,0.043709048339267045,1.9403128815499758e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
18,0.6929037754851292,0.6811005802323539,0.8813333333333333,0.09183673469387756,0.3780024086929458,0.04214922347508349,1.8103562248605993e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
19,0.6904423870817321,0.6768220053162101,0.8473333333333334,0.10196078431372549,0.4008579277121477,0.045042455338211336,2.0485801941361266e-05,0.11458333333333333,4,28,1.0,keep,none,2,0
20,0.7070705440031917,0.6730643385052131,0.892,0.12903225806451613,0.4252831567409573,0.043529203570244535,1.5718222746913204e-05,0.09166666666666666,5,35,1.0,add_layer,committed,3,0
21,0.7036180911704005,0.7398139416375701,0.966,0.0,0.3932529533552551,0.05157408574588188,2.203771300125962e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
22,0.699967528860194,0.7343468231637683,0.51,0.07547169811320754,0.4874355539317176,0.05556126361476861,2.560818588013563e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
23,0.696257480542103,0.7283836644374961,0.636,0.10491803278688525,0.5883164860146958,0.051952706958072574,2.2417257672328884e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
24,0.6925256140747316,0.7219667376361167,0.71,0.1317365269461078,0.6734326580873895,0.05778139980726924,2.7754481814980243e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
25,0.6888375116428261,0.7150484862854737,0.7126666666666667,0.14653465346534653,0.7412143601401914,0.05713997406812512,2.7126273931049943e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
26,0.6852333698165074,0.7076788180618324,0.8013333333333333,0.1945945945945946,0.7946115644325363,0.053681115637944574,2.396262375172014e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
27,0.681754617705079,0.700119564527586,0.84,0.24050632911392406,0.8348286174373131,0.051717775247473105,2.223692264959476e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
28,0.6784504396398252,0.6926042322752548,0.8753333333333333,0.2943396226415094,0.8622308826912408,0.04815691207172995,1.9288885807634267e-05,0.09166666666666666,5,35,1.0,keep,none,3,0
29,0.6753678522725518,0.6853916811419161,0.8753333333333333,0.3048327137546468,0.8797412684880715,0.04686223756452541,1.8271155813875076e-05,0.1,5,35,1.0,keep,none,3,0
30,0.6930221698780197,0.678825222150599,0.9086666666666666,0.3686635944700461,0.8909592822636301,0.03757508976101503,9.757761068660802e-06,0.0763888888888889,6,42,1.0,add_layer,committed,4,0
31,0.6896553080941494,0.6834463028987032,0.5866666666666667,0.11174785100286533,0.693148757087376,0.03978480673223004,1.095064611114639e-05,0.0763888888888889,6,42,1.0,keep,none,4,0
32,0.6862837118332322,0.678039737743654,0.618,0.13050075872534142,0.7616747181964573,0.04191826112267595,1.2159121198707862e-05,0.0763888888888889,6,42,1.0,keep,none,4,0
33,0.6829206244013106,0.6733970697551799,0.6386666666666667,0.14511041009463724,0.8051529790660226,0.04175601555369818,1.2081292480760074e-05,0.08333333333333333,6,42,1.0,keep,none,4,0
34,0.6796324269929152,0.6692777455372443,0.6946666666666667,0.16423357664233576,0.8320274969891338,0.03893674915130527,1.0505882595515968e-05,0.0763888888888889,6,42,1.0,keep,none,4,0
35,0.676461689582889,0.665910099451078,0.6926666666666667,0.16636528028933092,0.8483200043302346,0.03804521451444278,1.004424499412623e-05,0.0763888888888889,6,42,1.0,stop_growth,none,4,0
36,0.6734166172520387,0.6630064942055103,0.6773333333333333,0.16262975778546712,0.8560332345498586,0.03932873977542212,1.07297556430476e-05,0.0763888888888889,6,42,1.0,keep,none,4,0
37,0.6705159976531251,0.6605444667955552,0.708,0.17045454545454544,0.8615001556178026,0.03645974500819274,9.21806755422444e-06,0.0763888888888889,6,42,1.0,keep,none,4,0
38,0.6677578598104429,0.6583502219837687,0.7253333333333334,0.176,0.8666152451318692,0.03914726725561139,1.0631169321565693e-05,0.0763888888888889,6,42,1.0,keep,none,4,0
39,0.6651447980312131,0.6562365738703643,0.6733333333333333,0.15807560137457044,0.8702418165333766,0.03520778425674525,8.591453941950863e-06,0.0763888888888889,6,42,1.0,keep,none,4,0
