epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.6783985078204975,0.6735781644755103,0.7191011235955056,0.7663551401869159,0.7666666666666667,0.034086508378395275,2.370152664817506e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0015444168238572286
1,0.677068506976587,0.672303529447705,0.7191011235955056,0.7663551401869159,0.7873737373737374,0.032749225634343127,2.1892027246859814e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0015603425491774454
2,0.675790513440667,0.6710932699216838,0.7528089887640449,0.725,0.7964646464646464,0.031393029060050676,2.0127373950479366e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0015853985772178395
3,0.6745689224774924,0.669949222688355,0.7415730337078652,0.735632183908046,0.805050505050505,0.03002742826679488,1.8422631170148465e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.001615432636885699
4,0.6734065923364408,0.6688717535321999,0.7640449438202247,0.7469879518072289,0.813131313131313,0.028675724334748715,1.680778841016638e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0016478968173675888
5,0.6723044520046092,0.667858599294972,0.7752808988764045,0.7619047619047619,0.8212121212121212,0.027363892466489417,1.531072521711503e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.001681242827082608
6,0.6712616594834855,0.6669052977626809,0.7752808988764045,0.7619047619047619,0.8232323232323231,0.026116530162115254,1.3952252390780162e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0017145568994834945
7,0.6702763007255552,0.666006488681118,0.7865168539325843,0.7764705882352941,0.8262626262626264,0.02495391926302014,1.274384200324527e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0017473248593110101
8,0.6693460085851783,0.6651566663522679,0.7865168539325843,0.7764705882352941,0.8328282828282828,0.023892146309430064,1.1689377258655228e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0017792810000797404
9,0.6684678891498212,0.6643498154438041,0.797752808988764,0.7906976744186046,0.8343434343434344,0.022944931128381543,1.0788544392753615e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0018103226047522939
10,0.6676381764549713,0.6635788629851799,0.797752808988764,0.7906976744186046,0.8404040404040405,0.022123819829439118,1.0038225339646827e-05,0.16666666666666666,2,14,1.0,propose_prune_layer,in_progress,0,0,propose_prune_layer,False,False,False,False,True,False,False,[],0.0018404671141692137
11,0.6726539191823022,0.662835542161641,0.7865168539325843,0.8041237113402062,0.8429292929292929,0.01854726476147643,7.08691217208698e-06,0.16666666666666666,2,14,1.0,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.001869829309046373
12,0.6827574877899557,0.6684140498709694,0.7415730337078652,0.7722772277227723,0.7838383838383838,0.019755459711868623,8.095922208641145e-06,0.16666666666666666,2,14,1.0,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.0018067649511429198
13,0.6834238682706094,0.6770629189948225,0.6853932584269663,0.6744186046511628,0.7015151515151515,0.03106197756386471,1.8603943211503897e-05,0.16666666666666666,2,14,1.0,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.0016602964198710916
14,0.6760885635575361,0.6810335582606821,0.6741573033707865,0.7339449541284404,0.6757575757575757,0.026716606756518553,1.4770862004538957e-05,0.16666666666666666,2,14,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.0015284830532871336
15,0.6676381764549713,0.6722067814948469,0.7640449438202247,0.7961165048543689,0.7585858585858586,0.022123819829439118,1.0038225339646827e-05,0.16666666666666666,2,14,1.0,propose_prune_layer,in_progress,0,1,propose_prune_layer,False,False,False,False,False,False,False,[],0.001552007694673614
16,0.6725859768442688,0.662599573840321,0.7865168539325843,0.8,0.8434343434343434,0.01883543224633028,7.3071945429880665e-06,0.16666666666666666,2,14,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.001700368138821773
17,0.6823372978905364,0.6680496734269843,0.7415730337078652,0.7722772277227723,0.7848484848484848,0.018717410216037157,7.258932611678393e-06,0.16666666666666666,2,14,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.0017100888307141674
18,0.6821034574397135,0.6760788168849865,0.6966292134831461,0.7157894736842105,0.7111111111111111,0.029752368671534236,1.7001497399842338e-05,0.16666666666666666,2,14,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.0016137277976276192
19,0.6752375924645474,0.6788769305928479,0.6966292134831461,0.7272727272727273,0.6888888888888889,0.02654524584509377,1.4579223600457271e-05,0.16666666666666666,2,14,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.001523971317174977
20,0.6796403992367833,0.6709513247202602,0.7640449438202247,0.7961165048543689,0.764141414141414,0.017583822493222264,1.2087391820716722e-05,0.3333333333333333,1,7,1.0,keep,committed,1,1,keep,False,False,False,False,False,False,False,[],0.0015654184493941463
21,0.6792688350225166,0.6770461963760954,0.7191011235955056,0.7663551401869159,0.7267676767676767,0.017593902935628923,1.2112202740184153e-05,0.3333333333333333,1,7,1.0,keep,none,1,1,keep,False,False,False,False,False,False,False,[],0.0015156809972609697
22,0.6788986436476462,0.676575336719503,0.7191011235955056,0.7663551401869159,0.7323232323232324,0.017593938667632678,1.2124061006529848e-05,0.3333333333333333,1,7,1.0,keep,none,1,1,keep,False,False,False,False,False,False,False,[],0.0014912845844114746
23,0.6785300762851343,0.676107707972738,0.7191011235955056,0.7663551401869159,0.7348484848484849,0.01758420403555295,1.2123207029672435e-05,0.3333333333333333,1,7,1.0,keep,none,1,1,keep,False,False,False,False,True,False,False,[],0.0014821062752838005
24,0.678163342342802,0.6756435985047473,0.7191011235955056,0.7663551401869159,0.7348484848484849,0.01756498192386795,1.210987461196553e-05,0.3333333333333333,1,7,1.0,keep,none,1,1,keep,False,False,False,False,True,False,False,[],0.0014820683127813148
25,0.677798585944942,0.675183225630643,0.7191011235955056,0.7663551401869159,0.7363636363636363,0.017536563562306758,1.208426119338213e-05,0.3333333333333333,1,7,1.0,keep,none,1,1,keep,False,False,False,False,True,False,False,[],0.0014875207618633857
26,0.6774358594519042,0.6747266981617333,0.7191011235955056,0.7663551401869159,0.7393939393939393,0.017499189717518442,1.204644690962315e-05,0.3333333333333333,1,7,1.0,keep,none,1,1,keep,False,False,False,False,True,False,False,[],0.001496271585753381
27,0.6770751246221072,0.6742739911334159,0.7191011235955056,0.7663551401869159,0.7439393939393939,0.017452932861590914,1.1996286657854124e-05,0.3333333333333333,1,7,1.0,keep,none,1,1,keep,False,False,False,False,True,False,False,[],0.0015070050583923015
28,0.6767163133952833,0.6738249835744032,0.7191011235955056,0.6835443037974683,0.7474747474747475,0.017397595483378,1.1933371538598645e-05,0.3333333333333333,1,7,1.0,keep,none,1,1,keep,False,False,False,False,True,False,False,[],0.0015189324215317537
29,0.6763594166593496,0.6733795598640729,0.7191011235955056,0.6835443037974683,0.7520202020202021,0.017332749979452396,1.1857144175845428e-05,0.3333333333333333,1,7,1.0,keep,none,1,1,keep,False,False,False,False,True,False,False,[],0.0015315810764019101
30,0.676004527069908,0.672937693129776,0.7191011235955056,0.6835443037974683,0.7606060606060607,0.017257892788258032,1.176707852782318e-05,0.3333333333333333,1,7,1.0,keep,none,1,1,keep,False,False,False,False,True,False,False,[],0.001544667054006573
