epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.6783985078204975,0.6735781644755103,0.7191011235955056,0.7663551401869159,0.7666666666666667,0.034086508378395275,2.370152664817506e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0015444168238572286
1,0.677068506976587,0.672303529447705,0.7191011235955056,0.7663551401869159,0.7873737373737374,0.032749225634343127,2.1892027246859814e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0015603425491774454
2,0.675790513440667,0.6710932699216838,0.7528089887640449,0.725,0.7964646464646464,0.031393029060050676,2.0127373950479366e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0015853985772178395
3,0.6745689224774924,0.669949222688355,0.7415730337078652,0.735632183908046,0.805050505050505,0.03002742826679488,1.8422631170148465e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.001615432636885699
4,0.6734065923364408,0.6688717535321999,0.7640449438202247,0.7469879518072289,0.813131313131313,0.028675724334748715,1.680778841016638e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0016478968173675888
5,0.6723044520046092,0.667858599294972,0.7752808988764045,0.7619047619047619,0.8212121212121212,0.027363892466489417,1.531072521711503e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.001681242827082608
6,0.6712616594834855,0.6669052977626809,0.7752808988764045,0.7619047619047619,0.8232323232323231,0.026116530162115254,1.3952252390780162e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0017145568994834945
7,0.6702763007255552,0.666006488681118,0.7865168539325843,0.7764705882352941,0.8262626262626264,0.02495391926302014,1.274384200324527e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0017473248593110101
8,0.6693460085851783,0.6651566663522679,0.7865168539325843,0.7764705882352941,0.8328282828282828,0.023892146309430064,1.1689377258655228e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0017792810000797404
9,0.6684678891498212,0.6643498154438041,0.797752808988764,0.7906976744186046,0.8343434343434344,0.022944931128381543,1.0788544392753615e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0018103226047522939
10,0.6676381764549713,0.6635788629851799,0.797752808988764,0.7906976744186046,0.8404040404040405,0.022123819829439118,1.0038225339646827e-05,0.16666666666666666,2,14,1.0,propose_reduce_entanglement,in_progress,0,0,propose_reduce_entanglement,False,False,False,False,True,False,False,[],0.0018404671141692137
11,0.6668520375268395,0.662835542161641,0.7865168539325843,0.8041237113402062,0.8429292929292929,0.021436781480441654,9.432356850299451e-06,0.16666666666666666,2,13,0.9045084971874737,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.001869829309046373
12,0.6661036460252577,0.6621107678180183,0.7865168539325843,0.8041237113402062,0.8434343434343434,0.02088625392896469,8.961391693678688e-06,0.1875,2,9,0.6545084971874737,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.0018986027456363128
13,0.6653865328720189,0.6613954035318339,0.7865168539325843,0.8041237113402062,0.8429292929292929,0.020467608762402955,8.61200829455473e-06,0.16666666666666666,2,5,0.34549150281252633,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.0019270371803004624
14,0.6646941095054228,0.6606810917300188,0.797752808988764,0.8043478260869565,0.8449494949494949,0.020168992522291457,8.367544624284403e-06,0.16666666666666666,2,1,0.09549150281252633,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.00195541175236293
15,0.6948063913902163,0.6599608046458414,0.7865168539325843,0.8,0.8449494949494949,0.030876797039603044,1.239965964464081e-05,0.1111111111111111,3,0,0.0,add_layer,committed,2,0,add_layer,False,False,False,False,True,False,False,[],0.0019840092334965096
16,0.693169144652453,0.6953299956187443,0.5617977528089888,0.6213592233009708,0.5176767676767677,0.03136670759287938,1.2796417078523385e-05,0.1111111111111111,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.0015904674294434408
17,0.6914893005444375,0.6933238768842088,0.6179775280898876,0.6046511627906976,0.557070707070707,0.031916599965962265,1.3264085445528832e-05,0.1111111111111111,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.0013707030907897815
18,0.6897758197815796,0.6912666342862551,0.6292134831460674,0.5822784810126582,0.5838383838383838,0.032350326955431476,1.3649596923127698e-05,0.1111111111111111,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.0012563165271372264
19,0.6880421572967501,0.6891768093219441,0.6292134831460674,0.6024096385542169,0.6227272727272727,0.03265757291686348,1.3939354299432545e-05,0.1111111111111111,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.001206183253394244
20,0.6906690705694667,0.687069900808704,0.6292134831460674,0.6024096385542169,0.6409090909090909,0.03719895800682445,1.4400974986228347e-05,0.08333333333333333,4,0,0.0,add_layer,committed,3,0,add_layer,False,False,False,False,False,False,False,[],0.0011955506912797518
21,0.6882229228860957,0.6819047936434665,0.6853932584269663,0.7454545454545455,0.6868686868686869,0.03933424453663136,1.6099319124601147e-05,0.08333333333333333,4,0,0.0,keep,none,3,0,keep,False,False,False,False,False,False,False,[],0.0012404527208314856
22,0.6856702808546898,0.6785411583211236,0.6966292134831461,0.7567567567567568,0.7146464646464648,0.041390119384059565,1.782364928404787e-05,0.08333333333333333,4,0,0.0,keep,none,3,0,keep,False,False,False,False,False,False,False,[],0.0013037455984103745
23,0.683023081300537,0.6751039032603323,0.7078651685393258,0.7678571428571429,0.753030303030303,0.04338610822140005,1.9581828837388253e-05,0.08333333333333333,4,0,0.0,keep,none,3,0,keep,False,False,False,False,False,False,False,[],0.0013814756029086452
24,0.6802927147057001,0.6715975710354275,0.7191011235955056,0.7787610619469026,0.7722222222222223,0.045246807128828385,2.1294708169457418e-05,0.08333333333333333,4,0,0.0,keep,none,3,0,keep,False,False,False,False,False,False,False,[],0.0014715740112615115
25,0.6856601180149011,0.6680423497392214,0.7415730337078652,0.6461538461538462,0.7914141414141415,0.0490096348668242,1.952364126150142e-05,0.06666666666666667,5,0,0.0,add_layer,committed,4,0,add_layer,False,False,False,False,False,False,False,[],0.0015729132348157567
26,0.6822921320102138,0.6822877645784279,0.7640449438202247,0.7469879518072289,0.7742424242424243,0.046389739355862006,1.7516618744233214e-05,0.06666666666666667,5,0,0.0,keep,none,4,0,keep,False,False,False,False,False,False,False,[],0.001462883920342713
27,0.6791638114807448,0.6785208210863636,0.797752808988764,0.8301886792452831,0.8358585858585857,0.04377478038712888,1.562858506777178e-05,0.06666666666666667,5,0,0.0,keep,none,4,0,keep,False,False,False,False,False,False,False,[],0.0014374316089880552
28,0.6762742989158806,0.6750758020665252,0.8089887640449438,0.8380952380952381,0.8535353535353535,0.04124441792461573,1.3906532555481472e-05,0.06666666666666667,5,0,0.0,keep,none,4,0,keep,False,False,False,False,False,False,False,[],0.0014620235795464796
29,0.6736165958709601,0.671957748019111,0.8426966292134831,0.8627450980392157,0.8691919191919192,0.0388232317419895,1.235359430627618e-05,0.06666666666666667,5,0,0.0,keep,none,4,0,keep,False,False,False,False,True,False,False,[],0.0015152971576549627
30,0.6836743668395913,0.6691430562457755,0.8202247191011236,0.8431372549019608,0.8702020202020202,0.035132840023233254,8.469501788049004e-06,0.05555555555555555,6,0,0.0,add_layer,committed,5,0,add_layer,False,False,False,False,False,False,False,[],0.001584149376381746
