episode,return,return_ma100
1,-0.2674626921742114,-0.2674626921742114
2,-0.31008868141353035,-0.2887756867938709
3,-0.25611059056828617,-0.2778873213853426
4,-0.27124672604285316,-0.2762271725497203
5,-0.26367865830556964,-0.27371746970089017
6,-2.9469512039652517,-0.719256425411617
7,-1.4057783216504882,-0.8173309820171701
8,-2.9819149046423292,-1.087903972345315
9,-0.29555459929226563,-0.9998651531171983
10,-2.2485425228310034,-1.124732890088579
11,-0.2842024976863405,-1.04832103623383
12,-6.702044921064111,-1.5194646933030203
13,-1.2674626921742118,-1.5000799239854195
14,-0.31008868141353035,-1.4150805495159988
15,-0.27124672604285316,-1.3388249612844556
16,-1.2917705654236242,-1.3358840615431538
17,-0.2674626921742114,-1.2730357456979218
18,-0.2371904212250776,-1.2154887832272083
19,-0.26367865830556964,-1.1653935134944904
20,-7.377835619372167,-1.4760156187883742
21,-5.937005378253295,-1.688443702572418
22,-2.3100886814135304,-1.7167002925197414
23,-8.48376284559738,-2.010920403523117
24,-4.257528566131335,-2.104529076965126
25,-7.058039697738838,-2.3026695017960743
26,-0.31008868141353035,-2.2260317779352077
27,-0.25611059056828617,-2.153071733958655
28,-0.4664581195804982,-2.0928355334451494
29,-6.438065972523119,-2.2426710658271483
30,-0.5443698799039817,-2.186061026296376
31,-2.2297391131720667,-2.1874699968407527
32,-2.998074168347156,-2.212801377200328
33,-4.8459777032798135,-2.2925945992027366
34,-2.783875571721312,-2.30704403957093
35,-0.2674626921742114,-2.248770286788167
36,-3.722374451277595,-2.289703735801762
37,-0.2879865315549822,-2.235603270822119
38,-2.99191001379797,-2.2555060798477995
39,-4.683692749644629,-2.317767276509257
40,-5.357889071879571,-2.393770321393515
41,-3.5835045211133467,-2.4227882287037543
42,-4.6719839477593155,-2.476340507728887
43,-0.45054821700380093,-2.429229059107373
44,-1.8158918304010176,-2.415289576636774
45,-7.186568067940517,-2.521317987554635
46,-2.1666660741733863,-2.513608163350695
47,-0.37694884463599454,-2.4681473267822973
48,-0.2674626921742114,-2.422299730227962
49,-7.402035846357918,-2.5239269979040837
50,-1.288996330236536,-2.4992283845507326
51,-1.366272495649639,-2.4770135631997308
52,-2.000835073985539,-2.4678562845609964
53,-1.942639399469341,-2.4579465320120972
54,-0.9435792962250822,-2.4299026943123376
55,-0.3413625690469239,-2.39192923748933
56,-0.8000932334951337,-2.363503594560862
57,-4.20814625953559,-2.3958657465779627
58,-8.308424996044028,-2.497806423292895
59,-0.3662724956496386,-2.4616787296040266
60,-2.1402088407790565,-2.45632089812361
61,-1.3381805885315847,-2.4379907291139045
62,-0.40896030216582724,-2.405264431905065
63,-6.191277855273077,-2.465359883069636
64,-1.0084031417228219,-2.442594933986092
65,-0.2598946244369279,-2.409014929223798
66,-1.2636786583055701,-2.3916613493614003
67,-1.7207454346771753,-2.381647678992979
68,-1.3173523067261064,-2.3659962764596427
69,-0.4121422826811667,-2.3376795519121285
70,-0.8305643833241244,-2.316149335218014
71,-1.997051040116897,-2.3116549930334913
72,-3.0749513808524087,-2.3222563317531986
73,-0.8517039891508574,-2.30211177911481
74,-0.3047263370671112,-2.2751200839520034
75,-0.26367865830556964,-2.2483008649433844
76,-6.237289406224357,-2.300787556276029
77,-1.2674626921742118,-2.287367752846135
78,-0.8795644453423901,-2.269318992493523
79,-0.6517760967150036,-2.248843765964681
80,-2.215032807424291,-2.248421128982926
81,-0.46327613906515874,-2.2263823019469045
82,-2.310088681413531,-2.227403111452595
83,-0.9781308707736882,-2.2123516386733306
84,-0.31008868141353035,-2.1897056510869044
85,-0.9588129436707657,-2.175224560411421
86,-3.2447584889623617,-2.1876610014410827
87,-0.27124672604285316,-2.165633251149149
88,-0.738737536201478,-2.1494185271156527
89,-0.33818058853158445,-2.1290675390416745
90,-0.24097445509371934,-2.108088726997808
91,-0.9892840934997563,-2.095794170585742
92,-0.26367865830556964,-2.075879871539218
93,-0.9892840934997563,-2.0641960459689015
94,-1.948261774297999,-2.0629627026532535
95,-1.2955545992922661,-2.054884722617875
96,-1.2955545992922661,-2.046975033833233
97,-0.24097445509371934,-2.0283564711658153
98,-1.4801570219153912,-2.0227625992346887
99,-6.2967403496597605,-2.0659340916632245
100,-0.6992455139302605,-2.052267205885895
101,-2.0046191078541806,-2.069638770042695
102,-0.09376493826673109,-2.0674755326112266
103,-0.735968953321813,-2.072274116238762
104,-0.8158918304010184,-2.0777205672823436
105,-1.795179498990541,-2.093035575689193
106,-1.9183926778223108,-2.082749990427764
107,-0.5290252586184333,-2.0739824597974432
108,-1.8839542096335355,-2.0630028528473554
109,-0.8642175136684545,-2.0686894819911172
110,-0.97096597750985,-2.0559137165379058
111,-2.4664581195804987,-2.077736272756847
112,-1.9892840934997573,-2.030608664481204
113,-0.3662724956496386,-2.0215967625159577
114,-0.49773200721389177,-2.0234731957739616
115,-0.31008868141353035,-2.0238616153276685
116,-0.33818058853158445,-2.014325715558748
117,-0.8831729491182932,-2.0204828181281886
118,-0.9086327861853011,-2.027197241777791
119,-0.10682732183910382,-2.0256287284131265
120,-0.23433108578588727,-1.954193683077264
121,-0.3198624725416781,-1.8980222540201475
122,-0.1387032628257997,-1.8763083998342702
123,-0.5570978019653394,-1.79704174939795
124,-0.8969937537153099,-1.7634364012737893
125,-0.4121422826811667,-1.6969774271232128
126,-0.10682732183910382,-1.6949448135274687
127,-0.7262845409739533,-1.6996465530315255
128,-0.26367865830556964,-1.697618758418776
129,-0.9588129436707657,-1.6428262281302524
130,-0.7860227339253301,-1.645242756670466
131,-0.3517384135283739,-1.626462749674029
132,-0.38427822514524196,-1.6003247902420097
133,-0.3413625690469239,-1.555278638899681
134,-0.2371904212250776,-1.5298117873947186
135,-0.49136804618321284,-1.5320508409348086
136,-1.7391606157227268,-1.51221870257926
137,-0.25611059056828617,-1.5118999431693931
138,-0.9283417938417751,-1.4912642609698312
139,-0.3880622590138837,-1.4483079560635235
140,-0.9671819436412082,-1.40440088478114
141,-0.6992455139302605,-1.3755582947093092
142,-0.0749513808524078,-1.32958796904024
143,-0.42882027091642566,-1.3293706895793662
144,-1.557066523989581,-1.3267824365152519
145,-2.722362205347883,-1.2821403778893257
146,-0.29555459929226563,-1.2634292631405144
147,-0.2674626921742114,-1.2623344016158964
148,-0.0749513808524078,-1.2604092885026785
149,-0.5403254170275867,-1.1917921842093753
150,-1.2371904212250775,-1.1912741251192605
151,-0.1387032628257997,-1.1789984327910221
152,-0.8158918304010184,-1.167149000355177
153,-3.9054478137511177,-1.1867770844979946
154,-0.2409744550937193,-1.179751036086681
155,-0.3403863119224488,-1.1797412735154365
156,-0.9819149046423299,-1.1815594902269084
157,-2.7597535688944412,-1.1670755633204968
158,-0.31008868141353035,-1.0870922001741918
159,-0.27124672604285316,-1.086141942478124
160,-0.93731284716552,-1.0741129825419886
161,-0.7561536374496417,-1.0682927130311692
162,-0.7262845409739533,-1.0714659554192503
163,-0.1387032628257997,-1.0109402094947777
164,-0.8064571945258127,-1.0089207500228077
165,-0.10682732183910382,-1.0073900769968294
166,-2.800407158382643,-1.0227573619976003
167,-0.31607843867303637,-1.0087106920375586
168,-0.0749513808524078,-0.9962866827788217
169,-0.8158918304010184,-1.0003241782560202
170,-0.36305820520354576,-0.9956491164748144
171,-0.3413625690469239,-0.9790922317641146
172,-1.294240833079393,-0.9612851262863846
173,-0.9297447794282365,-0.9620655341891583
174,-0.7896977515333824,-0.966915248333821
175,-0.3299589087459748,-0.9675780508382252
176,-0.36945447616497806,-0.9088997015376313
177,0.05031603458433789,-0.8957219142700459
178,-0.8828224960250557,-0.8957544947768724
179,-0.827382402808785,-0.8975105578378104
180,-0.2417728585164562,-0.8777779583487321
181,-0.020974944424064695,-0.873354946402321
182,-0.27663442994905707,-0.8530204038876762
183,-0.23433108578588727,-0.8455824060377982
184,-0.8158918304010184,-0.850640437527673
185,0.21820660005092016,-0.8388702420904562
186,-0.33818058853158445,-0.8098044630861484
187,-0.5915633519996464,-0.8130076293457164
188,-0.31008868141353035,-0.8087211407978369
189,0.040770093038319494,-0.8049316339821379
190,-0.27285039608041534,-0.8052503933920048
191,-0.43144389022624097,-0.7996719913592698
192,-0.8242004222934455,-0.8052772089991486
193,-0.7118617645235014,-0.8025029857093859
194,-0.4351842319471046,-0.787372210285877
195,-0.42882027091642566,-0.7787048670021186
196,-0.25611059056828617,-0.7683104269148786
197,-0.8212328393218667,-0.7741130107571602
198,-1.3445497760509175,-0.7727569382985154
