epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.688735761627549,0.6846459255836997,0.5784313725490197,0.38571428571428573,0.6371587850826606,0.03489014142120262,3.381387757248781e-05,0.16666666666666666,2,10,1.0,keep,none,0,0
1,0.6872867384130001,0.6830967412036952,0.5931372549019608,0.4195804195804196,0.6573433294886581,0.03488147146761879,3.379755555344853e-05,0.16666666666666666,2,10,1.0,keep,none,0,0
2,0.6858459059397827,0.6815478390222041,0.6127450980392157,0.46258503401360546,0.6756055363321799,0.03490438499483793,3.3841302596804584e-05,0.16666666666666666,2,10,1.0,keep,none,0,0
3,0.6844136985348254,0.6800038985593648,0.6225490196078431,0.48322147651006714,0.695117262591311,0.03493023968091777,3.389108846935782e-05,0.16666666666666666,2,10,1.0,keep,none,0,0
4,0.68298964227241,0.678466898799687,0.6470588235294118,0.5324675324675324,0.7122260668973471,0.034957090746659425,3.3943343740525624e-05,0.16666666666666666,2,10,1.0,keep,none,0,0
5,0.6815733207783753,0.6769372493754429,0.6372549019607843,0.5194805194805194,0.7286620530565167,0.0349791803878771,3.398673372041551e-05,0.16666666666666666,2,10,1.0,keep,none,0,0
6,0.6801655408561303,0.6754156401574369,0.6519607843137255,0.5359477124183006,0.7425990003844675,0.034985134316073516,3.3998781276402285e-05,0.16666666666666666,2,10,1.0,keep,none,0,0
7,0.6787680799672682,0.6739037145561323,0.6666666666666666,0.5584415584415584,0.7579777008842753,0.03496497132572095,3.395961672767899e-05,0.16666666666666666,2,10,1.0,keep,none,0,0
8,0.6773830664658804,0.6724037545166379,0.6813725490196079,0.5859872611464968,0.7708573625528643,0.034911963193493066,3.3855751188871706e-05,0.16666666666666666,2,10,1.0,keep,none,0,0
9,0.6760125628220119,0.6709182362984943,0.696078431372549,0.6025641025641025,0.7837370242214533,0.034821655794161126,3.36782899994271e-05,0.16666666666666666,2,10,1.0,keep,none,0,0
10,0.6984428303831088,0.6694495010631161,0.696078431372549,0.6025641025641025,0.7938292964244522,0.035069916915067105,2.2709630290983897e-05,0.1111111111111111,3,15,1.0,add_layer,committed,1,0
11,0.6967353678108436,0.6996245977606768,0.44607843137254904,0.24161073825503357,0.4242599000384468,0.03480676069604568,2.2369860319194132e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
12,0.6950434752335811,0.6980914008659005,0.45098039215686275,0.2328767123287671,0.4487697039600154,0.03467443420206162,2.2197437204001732e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
13,0.6933715912031398,0.6965861042604693,0.46078431372549017,0.2361111111111111,0.4779892349096501,0.03455599701939015,2.204361266259466e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
14,0.6917162965308281,0.6951084846678931,0.4803921568627451,0.2638888888888889,0.5079777008842753,0.03451448735267549,2.199083125977092e-05,0.1111111111111111,3,15,1.0,keep,none,1,0
15,0.7066959466199376,0.6936525991543504,0.4803921568627451,0.2535211267605634,0.5363321799307958,0.05638009464769594,4.3371567048250364e-05,0.08333333333333333,4,20,1.0,add_layer,committed,2,0
16,0.7030843979342039,0.7094131182732085,0.49019607843137253,0.10344827586206896,0.3689926951172626,0.05477197956805709,4.095671504009388e-05,0.08333333333333333,4,20,1.0,keep,none,2,0
17,0.6995763780013738,0.7057554486490273,0.4852941176470588,0.10256410256410256,0.39359861591695505,0.05256530831804931,3.776077057965045e-05,0.08333333333333333,4,20,1.0,keep,none,2,0
18,0.6962250632188468,0.7021604944884023,0.47058823529411764,0.11475409836065574,0.42435601691657054,0.04999410411564762,3.420951108777332e-05,0.08333333333333333,4,20,1.0,keep,none,2,0
19,0.693064785476727,0.6986915185638645,0.47549019607843135,0.144,0.46039984621299496,0.04727677688590303,3.065292038172314e-05,0.08333333333333333,4,20,1.0,keep,none,2,0
20,0.695509717182124,0.6953971141999062,0.4803921568627451,0.18461538461538463,0.5013456362937332,0.04636674043881563,2.3719142251656585e-05,0.06666666666666667,5,25,1.0,add_layer,committed,3,0
21,0.6920523947130076,0.6942907539303073,0.5245098039215687,0.4121212121212121,0.5033640907343329,0.04878423558375477,2.611146090364253e-05,0.06666666666666667,5,25,1.0,keep,none,3,0
22,0.688477388946014,0.6910454420827122,0.5637254901960784,0.44025157232704404,0.5508458285274894,0.05066720248163741,2.8011196619249565e-05,0.06666666666666667,5,25,1.0,keep,none,3,0
23,0.6848441381690976,0.6876885715159965,0.6029411764705882,0.49056603773584906,0.6015955401768551,0.05190430412085796,2.9251303013642147e-05,0.06666666666666667,5,25,1.0,keep,none,3,0
24,0.6812036624176588,0.6842579485925196,0.6029411764705882,0.4774193548387097,0.6422529796232218,0.05241770975631374,2.9713815191856e-05,0.06666666666666667,5,25,1.0,keep,none,3,0
25,0.6854694521767295,0.680810791966981,0.6323529411764706,0.5222929936305732,0.6831026528258362,0.06245567564062387,3.5888830207065305e-05,0.05555555555555555,6,30,1.0,add_layer,committed,4,0
26,0.6806732935347579,0.688167914035776,0.5098039215686274,0.13793103448275862,0.632160707420223,0.0573617142145734,3.0229706264738053e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
27,0.6763652616319076,0.6837872176737616,0.5196078431372549,0.20967741935483872,0.6761822376009227,0.05191979846783443,2.4711477245373545e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
28,0.6725641383122775,0.6798516682257318,0.5735294117647058,0.37410071942446044,0.7178969627066513,0.04673789162150486,1.9970621625153645e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
29,0.6692493368249819,0.6763520757846541,0.6421568627450981,0.5228758169934641,0.7478854286812765,0.04223574788232946,1.626404840895879e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
30,0.6663687219222296,0.6732402472491875,0.6715686274509803,0.593939393939394,0.7706651287966166,0.03857632717102314,1.3538346090549956e-05,0.05555555555555555,6,30,1.0,stop_growth,none,4,0
31,0.663859969898839,0.6704495590364453,0.7156862745098039,0.6741573033707865,0.7920991926182237,0.03573272411658904,1.1601592071909174e-05,0.05555555555555555,6,30,1.0,keep,none,4,0
32,0.6616620629730616,0.6679203286282105,0.7254901960784313,0.6923076923076923,0.8093041138023838,0.033594764322044904,1.0252825067747473e-05,0.06481481481481481,6,30,1.0,keep,none,4,0
33,0.6597192481778456,0.6656095842119376,0.7352941176470589,0.7127659574468085,0.8228565936178392,0.03203306084705486,9.328561547172373e-06,0.05555555555555555,6,30,1.0,keep,none,4,0
34,0.657981092398145,0.6634872546760735,0.7352941176470589,0.7157894736842105,0.8338139177239523,0.030922952465070375,8.70489602579826e-06,0.05555555555555555,6,30,1.0,keep,none,4,0
35,0.6563999038621988,0.6615281926525995,0.7401960784313726,0.7225130890052356,0.8427527873894656,0.030148921934453045,8.28745850392536e-06,0.05555555555555555,6,30,1.0,stop_growth,none,4,0
36,0.6549310759998108,0.6597083870961915,0.7401960784313726,0.7225130890052356,0.8527489427143407,0.02960990262777929,8.005233868051637e-06,0.05555555555555555,6,30,1.0,keep,none,4,0
37,0.6535357923276494,0.6580054971667085,0.75,0.7357512953367875,0.8588043060361399,0.02922792627403765,7.808693511550086e-06,0.05555555555555555,6,30,1.0,keep,none,4,0
38,0.6521832069141233,0.6564004764831673,0.7450980392156863,0.7263157894736842,0.864475201845444,0.028951404084429654,7.667099643729304e-06,0.05555555555555555,6,30,1.0,keep,none,4,0
