epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.7079662400460889,0.7374606901170553,0.21666666666666667,0.0,0.017241379310344862,0.04369215773799151,3.907314570401419e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004308955714771897
1,0.7061459112340813,0.7352155909699538,0.2,0.0,0.017241379310344862,0.04311194164309507,3.8183972732987214e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00043880761372690354
2,0.7044041636692221,0.733007744064292,0.21666666666666667,0.0,0.017241379310344862,0.04256478011802595,3.735660000943946e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004516895532225937
3,0.7027279369180555,0.7308663436925402,0.23333333333333334,0.0,0.017241379310344862,0.04210126203861349,3.66695822440986e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00046765895721487033
4,0.7011089867450134,0.7287456387009572,0.23333333333333334,0.0,0.017241379310344862,0.0417307885660212,3.6129507320600364e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004857561654259614
5,0.6995414006816887,0.7266401827522097,0.25,0.0,0.03448275862068961,0.04146187617388611,3.574295323849065e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005054333838466379
6,0.6980214206261712,0.7245823382965144,0.25,0.0,0.06896551724137928,0.04128203913622622,3.548297891183523e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005262251826816813
7,0.6965470653168571,0.7226070985991435,0.25,0.0,0.08620689655172414,0.04117485420729133,3.5319447931267915e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005476795414019326
8,0.695115991559735,0.7207417314268679,0.26666666666666666,0.0,0.1293103448275862,0.04112897724700447,3.5233750978937496e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005693635212501423
9,0.6937243720265933,0.719007484376781,0.2833333333333333,0.0,0.1724137931034483,0.041135760952017646,3.521400244624218e-05,0.1875,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005908657240654117
10,0.6923667186818369,0.7174208708072964,0.2833333333333333,0.0,0.18965517241379315,0.04118628496992098,3.5249418279721414e-05,0.16666666666666666,2,14,1.0,stop_growth,none,0,0,stop_growth,False,False,False,False,False,False,False,[],0.0006117978961306999
11,0.6910362688035457,0.7159932162426653,0.2833333333333333,0.044444444444444446,0.25,0.041269889061616896,3.5327210074470795e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0006318042451715975
12,0.6897257500276177,0.7147295048332526,0.2833333333333333,0.044444444444444446,0.25862068965517243,0.04137395715950505,3.543152724884289e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.000650579456724882
13,0.6884282961021709,0.7136277139434897,0.2833333333333333,0.044444444444444446,0.2931034482758621,0.04148465257344747,3.554405247049923e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0006678894461387072
14,0.6871382004977774,0.7126793395183296,0.2833333333333333,0.044444444444444446,0.33620689655172414,0.041588243942346045,3.564579767049736e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0006835861942472334
15,0.6858512841165573,0.7118710061475687,0.2833333333333333,0.044444444444444446,0.3706896551724138,0.041672469908883236,3.571924929822632e-05,0.16666666666666666,2,14,1.0,stop_growth,none,0,0,stop_growth,False,False,False,False,True,False,False,[],0.000697610876236508
16,0.6845648712489345,0.711186532821599,0.26666666666666666,0.043478260869565216,0.4482758620689655,0.04172742775833772,3.5749952614620466e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007099850197800695
17,0.6832775310402572,0.7106088788618076,0.2833333333333333,0.0851063829787234,0.49137931034482757,0.0417457827274132,3.572708152738491e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007207933145774504
18,0.6819887690553492,0.7101217013268123,0.2833333333333333,0.0851063829787234,0.49137931034482757,0.041722433364007896,3.564312042759883e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007301626038384885
19,0.6806987876561246,0.709710418874504,0.2833333333333333,0.0851063829787234,0.5172413793103449,0.04165394798490869,3.5493129867090606e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007382410966633508
20,0.6794083441354775,0.7093626834547835,0.2833333333333333,0.0851063829787234,0.5862068965517242,0.04153808648621564,3.527409570441853e-05,0.16666666666666666,2,14,1.0,stop_growth,none,0,0,stop_growth,False,False,False,False,True,False,False,[],0.0007451812959120254
21,0.6781186697298184,0.709068260604554,0.31666666666666665,0.08888888888888889,0.6206896551724138,0.04137361380797141,3.4984684884029503e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007511290164161577
22,0.6768313888726523,0.7088185507075592,0.3333333333333333,0.09090909090909091,0.6810344827586207,0.0411604406577829,3.462545238506782e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007562186210398518
23,0.6755483896471622,0.7086060693581954,0.35,0.09302325581395349,0.6810344827586207,0.040899914599556095,3.419921928937219e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007605725846835149
24,0.6742716153503017,0.7084240704620625,0.3333333333333333,0.09090909090909091,0.6810344827586207,0.04059501247685264,3.37112535996016e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007643030325786555
25,0.6730027709115165,0.7082663424845047,0.3333333333333333,0.09090909090909091,0.7068965517241379,0.04025030538501761,3.3169093414116774e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007675135602585888
26,0.6717429994326459,0.7081271435267158,0.3333333333333333,0.09090909090909091,0.7155172413793104,0.0398716709230661,3.2582013454255174e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007703004676712266
27,0.6704926489818047,0.7080012629232306,0.3333333333333333,0.09090909090909091,0.7327586206896552,0.03946579976593817,3.196023849659659e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007727529253148623
28,0.6692512479067858,0.7078842416568314,0.35,0.09302325581395349,0.7155172413793103,0.039039668214292965,3.131418384895974e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.000774951556893467
29,0.668017726497846,0.7077727757665698,0.38333333333333336,0.0975609756097561,0.7327586206896552,0.038600258831916125,3.06541380735646e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007769649542617102
30,0.6667908002415687,0.7076652539183904,0.38333333333333336,0.0975609756097561,0.75,0.03815479897379399,2.999073797503965e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007788441130624074
31,0.6655693252619576,0.7075622808593865,0.38333333333333336,0.0975609756097561,0.75,0.03771162373625331,2.933631030956355e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007806156886971238
32,0.664352413205812,0.7074669135059194,0.38333333333333336,0.0975609756097561,0.75,0.03728149276686836,2.8706749682834382e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007822763243537322
33,0.6631391960081552,0.7073840686677703,0.38333333333333336,0.0975609756097561,0.75,0.03687875718706221,2.8123005353400108e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.000783792839034539
34,0.6619283864610088,0.7073182655214442,0.38333333333333336,0.0975609756097561,0.75,0.03652116120443123,2.761044406930562e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007851165001142258
35,0.6607180288763753,0.7072697796291124,0.4,0.1,0.7758620689655172,0.036227273425366524,2.7194856025848985e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007862159109228298
36,0.6595056011431455,0.7072316936324707,0.43333333333333335,0.10526315789473684,0.7758620689655172,0.03601285348736343,2.6897349314118775e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007871155125105365
37,0.6582881328722666,0.7071898271438051,0.45,0.10810810810810811,0.7672413793103448,0.0358886812517583,2.673179526220098e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007879192576342984
38,0.6570621396377432,0.7071240767821999,0.45,0.10810810810810811,0.7586206896551725,0.035860009163798404,2.6704639882691806e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007888165315154251
39,0.6558235212378223,0.707009379288369,0.4666666666666667,0.1111111111111111,0.7586206896551725,0.035926473733060627,2.6815081115858852e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0007900801904237552
