epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.7079662400460889,0.7374606901170553,0.21666666666666667,0.0,0.017241379310344862,0.04369215773799151,3.907314570401419e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004308955714771897
1,0.7061459112340813,0.7352155909699538,0.2,0.0,0.017241379310344862,0.04311194164309507,3.8183972732987214e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00043880761372690354
2,0.7044041636692221,0.733007744064292,0.21666666666666667,0.0,0.017241379310344862,0.04256478011802595,3.735660000943946e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004516895532225937
3,0.7027279369180555,0.7308663436925402,0.23333333333333334,0.0,0.017241379310344862,0.04210126203861349,3.66695822440986e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00046765895721487033
4,0.7011089867450134,0.7287456387009572,0.23333333333333334,0.0,0.017241379310344862,0.0417307885660212,3.6129507320600364e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004857561654259614
5,0.6995414006816887,0.7266401827522097,0.25,0.0,0.03448275862068961,0.04146187617388611,3.574295323849065e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005054333838466379
6,0.6980214206261712,0.7245823382965144,0.25,0.0,0.06896551724137928,0.04128203913622622,3.548297891183523e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005262251826816813
7,0.6965470653168571,0.7226070985991435,0.25,0.0,0.08620689655172414,0.04117485420729133,3.5319447931267915e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005476795414019326
8,0.695115991559735,0.7207417314268679,0.26666666666666666,0.0,0.1293103448275862,0.04112897724700447,3.5233750978937496e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005693635212501423
9,0.6937243720265933,0.719007484376781,0.2833333333333333,0.0,0.1724137931034483,0.041135760952017646,3.521400244624218e-05,0.1875,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005908657240654117
10,0.7032334736782354,0.7174208708072964,0.2833333333333333,0.0,0.18965517241379315,0.038503083916240126,2.0568004238186354e-05,0.4444444444444444,3,21,1.0,add_layer,in_progress,0,0,add_layer,False,False,False,False,False,False,False,[],0.0006117978961306999
11,0.7065136962343209,0.7330186516345605,0.13333333333333333,0.07142857142857142,0.5517241379310345,0.04448618789886516,2.7416610845674965e-05,0.125,3,21,1.0,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.0005554426456880553
12,0.7029980860145785,0.7201215831657585,0.2,0.07692307692307693,0.7586206896551724,0.051644693661137483,3.704035108456277e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.0005770242335064396
13,0.6859006122142576,0.7344114550186263,0.08333333333333333,0.06779661016949153,0.6293103448275862,0.06888371858463273,6.580557375835949e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.000529406147822357
14,0.690437907366604,0.7207500233748582,0.15,0.07272727272727272,0.7586206896551724,0.08469039961018002,9.961235259760944e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.0005583595857475516
15,0.7032334736782354,0.6669554014044448,0.8833333333333333,0.2222222222222222,0.7155172413793103,0.038503083916240126,2.0568004238186354e-05,0.4444444444444444,3,21,1.0,add_layer,in_progress,0,1,add_layer,False,False,False,False,False,False,False,[],0.0010401212808336458
16,0.7065136962343209,0.7330186516345605,0.13333333333333333,0.07142857142857142,0.5517241379310345,0.04448618789886516,2.7416610845674965e-05,0.125,3,21,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.0008124366765098228
17,0.7029980860145785,0.7201215831657585,0.2,0.07692307692307693,0.7586206896551724,0.051644693661137483,3.704035108456277e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.0007312206519995
18,0.6859006122142576,0.7344114550186263,0.08333333333333333,0.06779661016949153,0.6293103448275862,0.06888371858463273,6.580557375835949e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.0006219239989181932
19,0.690437907366604,0.7207500233748582,0.15,0.07272727272727272,0.7586206896551724,0.08469039961018002,9.961235259760944e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.0006138702964050534
20,0.7032334736782354,0.6669554014044448,0.8833333333333333,0.2222222222222222,0.7155172413793103,0.038503083916240126,2.0568004238186354e-05,0.4444444444444444,3,21,1.0,add_layer,in_progress,0,2,add_layer,False,False,False,False,False,False,False,[],0.0010734277072281468
21,0.7065136962343209,0.7330186516345605,0.13333333333333333,0.07142857142857142,0.5517241379310345,0.04448618789886516,2.7416610845674965e-05,0.125,3,21,1.0,keep,in_progress,0,2,keep,False,False,False,False,False,False,False,[],0.0008324205323465234
22,0.7029980860145785,0.7201215831657585,0.2,0.07692307692307693,0.7586206896551724,0.051644693661137483,3.704035108456277e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,2,keep,False,False,False,False,False,False,False,[],0.0007432109655015204
23,0.6859006122142576,0.7344114550186263,0.08333333333333333,0.06779661016949153,0.6293103448275862,0.06888371858463273,6.580557375835949e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,2,keep,False,False,False,False,False,False,False,[],0.0006291181870194054
24,0.690437907366604,0.7207500233748582,0.15,0.07272727272727272,0.7586206896551724,0.08469039961018002,9.961235259760944e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,2,keep,False,False,False,False,False,False,False,[],0.0006181868092657808
25,0.7032334736782354,0.6669554014044448,0.8833333333333333,0.2222222222222222,0.7155172413793103,0.038503083916240126,2.0568004238186354e-05,0.4444444444444444,3,21,1.0,add_layer,in_progress,0,3,add_layer,False,False,False,False,False,False,False,[],0.0010760176149445834
26,0.7065136962343209,0.7330186516345605,0.13333333333333333,0.07142857142857142,0.5517241379310345,0.04448618789886516,2.7416610845674965e-05,0.125,3,21,1.0,keep,in_progress,0,3,keep,False,False,False,False,False,False,False,[],0.0008339744769763854
27,0.7029980860145785,0.7201215831657585,0.2,0.07692307692307693,0.7586206896551724,0.051644693661137483,3.704035108456277e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,3,keep,False,False,False,False,False,False,False,[],0.0007441433322794376
28,0.6859006122142576,0.7344114550186263,0.08333333333333333,0.06779661016949153,0.6293103448275862,0.06888371858463273,6.580557375835949e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,3,keep,False,False,False,False,False,False,False,[],0.0006296776070861558
29,0.690437907366604,0.7207500233748582,0.15,0.07272727272727272,0.7586206896551724,0.08469039961018002,9.961235259760944e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,3,keep,False,False,False,False,False,False,False,[],0.000618522461305831
30,0.7032334736782354,0.6669554014044448,0.8833333333333333,0.2222222222222222,0.7155172413793103,0.038503083916240126,2.0568004238186354e-05,0.4444444444444444,3,21,1.0,add_layer,in_progress,0,4,add_layer,False,False,False,False,False,False,False,[],0.0010762190061686136
31,0.7065136962343209,0.7330186516345605,0.13333333333333333,0.07142857142857142,0.5517241379310345,0.04448618789886516,2.7416610845674965e-05,0.125,3,21,1.0,keep,in_progress,0,4,keep,False,False,False,False,False,False,False,[],0.0008340953117108035
32,0.7029980860145785,0.7201215831657585,0.2,0.07692307692307693,0.7586206896551724,0.051644693661137483,3.704035108456277e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,4,keep,False,False,False,False,False,False,False,[],0.0007442158331200885
33,0.6859006122142576,0.7344114550186263,0.08333333333333333,0.06779661016949153,0.6293103448275862,0.06888371858463273,6.580557375835949e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,4,keep,False,False,False,False,False,False,False,[],0.0006297211075905463
34,0.690437907366604,0.7207500233748582,0.15,0.07272727272727272,0.7586206896551724,0.08469039961018002,9.961235259760944e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,4,keep,False,False,False,False,False,False,False,[],0.0006185485616084653
35,0.7032334736782354,0.6669554014044448,0.8833333333333333,0.2222222222222222,0.7155172413793103,0.038503083916240126,2.0568004238186354e-05,0.4444444444444444,3,21,1.0,add_layer,in_progress,0,5,add_layer,False,False,False,False,False,False,False,[],0.001076234666350194
36,0.7065136962343209,0.7330186516345605,0.13333333333333333,0.07142857142857142,0.5517241379310345,0.04448618789886516,2.7416610845674965e-05,0.125,3,21,1.0,keep,in_progress,0,5,keep,False,False,False,False,False,False,False,[],0.0008341047078197517
37,0.7029980860145785,0.7201215831657585,0.2,0.07692307692307693,0.7586206896551724,0.051644693661137483,3.704035108456277e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,5,keep,False,False,False,False,False,False,False,[],0.0007442214707854574
38,0.6859006122142576,0.7344114550186263,0.08333333333333333,0.06779661016949153,0.6293103448275862,0.06888371858463273,6.580557375835949e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,5,keep,False,False,False,False,False,False,False,[],0.0006297244901897676
39,0.690437907366604,0.7207500233748582,0.15,0.07272727272727272,0.7586206896551724,0.08469039961018002,9.961235259760944e-05,0.1111111111111111,3,21,1.0,keep,in_progress,0,5,keep,False,False,False,False,False,False,False,[],0.0006185505911679981
