epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.7023193294574017,0.6986334237262165,0.4362745098039216,0.4748858447488584,0.449923106497501,0.038547701727421,3.0300249639831886e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
1,0.7007211411551726,0.6971303905012033,0.45098039215686275,0.48623853211009177,0.4631872356785851,0.03797243672415538,2.956006442962957e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
2,0.6991648342519576,0.6956904627166217,0.46078431372549017,0.4954128440366973,0.4778931180315263,0.03722104795318076,2.8537964307821173e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
3,0.6976660779284335,0.6943290864828204,0.4803921568627451,0.5267857142857143,0.4917339484813533,0.03631181962228548,2.727458492603852e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
4,0.6962373398291279,0.6930569530723849,0.4950980392156863,0.5381165919282511,0.5053825451749328,0.0352844277141236,2.584075084530403e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
5,0.6948882636972477,0.6918808225236667,0.5147058823529411,0.5560538116591929,0.5236447520184544,0.03418262506338991,2.431053961868025e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
6,0.6936254450696182,0.6908038261592855,0.5245098039215687,0.5488372093023256,0.5413302575932334,0.03305738734982727,2.2763905339897087e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
7,0.6924511096619617,0.6898247571360712,0.5392156862745098,0.5607476635514018,0.5619953863898501,0.03196272864570576,2.127834055886714e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
8,0.6913623720373432,0.6889375538416206,0.5441176470588235,0.5714285714285714,0.5798731257208766,0.030947541283231066,1.99172835513945e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
9,0.6903516174717375,0.6881318790368492,0.5686274509803921,0.5963302752293578,0.5982314494425222,0.030048321418541527,1.872249246917066e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
10,0.6894080418734732,0.6873948808199204,0.5784313725490197,0.6055045871559633,0.6173587081891581,0.029284210932838995,1.771105517301265e-05,0.16666666666666666,2,14,1.0,stop_growth,none,0,0
11,0.6885197196823606,0.6867132118381828,0.5980392156862745,0.6272727272727273,0.6327374086889658,0.028656693920306744,1.6878331353325752e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
12,0.6876752566889804,0.6860743061876677,0.6372549019607843,0.6696428571428571,0.6468665897731641,0.028153925634442696,1.62053309702938e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
13,0.6868646529041338,0.6854668231197318,0.6519607843137255,0.6844444444444444,0.65840061514802,0.027756894593783957,1.566670518419279e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
14,0.6860795599599535,0.6848807227837886,0.6617647058823529,0.6986899563318777,0.6713763936947328,0.02744463567906433,1.5236568507257881e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
15,0.685313220883089,0.6843072954241941,0.6813725490196079,0.721030042918455,0.6856978085351787,0.02719738473288093,1.4891572509173956e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
16,0.6845602896244325,0.6837391985577608,0.7107843137254902,0.7510548523206751,0.6977124183006536,0.026998014351288575,1.4612039321570543e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
17,0.6838166374810241,0.6831704636615037,0.7205882352941176,0.7654320987654321,0.7079008073817763,0.02683261708754044,1.4382252968223218e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
18,0.6830791803144166,0.6825964400358306,0.7352941176470589,0.775,0.7193387158785083,0.026690910949268034,1.4190643670881797e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
19,0.68234570343888,0.682013650091488,0.7156862745098039,0.7622950819672131,0.7286620530565167,0.026566715579768866,1.4030095861225378e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
20,0.6816146327455187,0.6814195268624591,0.7058823529411765,0.7560975609756098,0.7379853902345253,0.02645840549873734,1.3898248810309947e-05,0.16666666666666666,2,14,1.0,keep,none,0,0
