epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6932297436964716,0.692073647063876,0.5060240963855421,0.0,0.5897212543554007,0.07304309140031376,5.5572789279202863e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
1,0.6889848176662102,0.6879154727444581,0.5060240963855421,0.0,0.68931475029036,0.06984977043145946,5.081018707365115e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
2,0.6849495898377903,0.683991308935445,0.5060240963855421,0.0,0.7558072009291521,0.06594081970721714,4.526835737221112e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
3,0.6811771584985753,0.6803525384539904,0.5060240963855421,0.0,0.8005226480836237,0.06147601720621877,3.933054986471456e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
4,0.6777061942421307,0.6770324898212494,0.5542168674698795,0.17777777777777778,0.8365272938443671,0.05671878311782872,3.346595830259095e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
5,0.6745639503785766,0.6740539890124281,0.6987951807228916,0.5901639344262295,0.8452380952380952,0.05202528895444176,2.814797519530031e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
6,0.6717559099035861,0.671417553503284,0.7108433734939759,0.625,0.8481416957026713,0.04779918786259781,2.3757732902665325e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
7,0.6692556591641259,0.6690882112895168,0.7228915662650602,0.6567164179104478,0.8501742160278746,0.04437130710916754,2.0474428261808358e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
8,0.6670137853363537,0.6670075994773796,0.7228915662650602,0.6567164179104478,0.84465737514518,0.041875067653005915,1.824088601646343e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
9,0.6649761679766873,0.6651169849243577,0.7228915662650602,0.6666666666666666,0.8463995354239257,0.04021830576792077,1.6832603267715636e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
10,0.6630946605175561,0.6633658066128727,0.7228915662650602,0.6666666666666666,0.84465737514518,0.039174636253984235,1.5976279318782555e-05,0.09375,4,28,1.0,keep,none,0,0
11,0.6613289297680016,0.6617115084160909,0.7228915662650602,0.676056338028169,0.8440766550522648,0.038483081588325904,1.5421610449170688e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
12,0.6596465561382977,0.6601200054951304,0.7469879518072289,0.7123287671232876,0.8423344947735192,0.037909421352374906,1.4967979005517875e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
13,0.6580228424567538,0.6585659032491479,0.7349397590361446,0.7027027027027027,0.8429152148664344,0.03727774385847206,1.4474673102741612e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
14,0.6564403610167702,0.6570320844304367,0.7349397590361446,0.7027027027027027,0.8429152148664344,0.03647916028675548,1.386165005206158e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
15,0.6548882018184684,0.6555087993602894,0.7469879518072289,0.72,0.8405923344947736,0.035467058849859324,1.3103250501445824e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
16,0.6533609098176661,0.6539924401114457,0.7469879518072289,0.72,0.8388501742160278,0.03424685667539531,1.221715432280275e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
17,0.651857274470838,0.6524841833510394,0.7469879518072289,0.72,0.8394308943089431,0.03286497750415791,1.125111184720772e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
18,0.6503790515970868,0.6509884773696419,0.7469879518072289,0.72,0.8400116144018583,0.031398827199726836,1.0269616080865698e-05,0.08333333333333333,4,28,1.0,keep,none,0,0
19,0.648929473796976,0.6495112818857559,0.7469879518072289,0.72,0.8394308943089431,0.029946701466694294,9.341484380451665e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
20,0.647511533532433,0.6480581752155345,0.7469879518072289,0.72,0.8376887340301974,0.028614644447197628,8.528412406490653e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
21,0.6461264124662129,0.6466327031555148,0.7469879518072289,0.72,0.8356562137049942,0.02749844621606609,7.875125145525583e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
22,0.6447725800143105,0.645235432364315,0.7469879518072289,0.72,0.8371080139372822,0.026663387682259343,7.4028356105503705e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
23,0.6434458236396804,0.6438639470601156,0.7469879518072289,0.72,0.8376887340301975,0.026128946672853738,7.1076408152772126e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
24,0.6421400441242606,0.642513627919941,0.7469879518072289,0.72,0.8365272938443671,0.02586605774720993,6.964087234428806e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
25,0.6408483412783053,0.6411787428585904,0.7469879518072289,0.72,0.8359465737514518,0.025808753553232436,6.932493266908354e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
26,0.6395638965618516,0.6398533581711137,0.7349397590361446,0.7105263157894737,0.8371080139372822,0.025874320810448367,6.967728174000105e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
27,0.6382804916333449,0.6385319381537042,0.7469879518072289,0.7272727272727273,0.8371080139372822,0.02598304369997119,7.0272246669432615e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
28,0.6369930929466249,0.6372101063697786,0.7349397590361446,0.717948717948718,0.837979094076655,0.026071822935633877,7.076884288302927e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
29,0.6356989591348448,0.6358859466597037,0.7349397590361446,0.717948717948718,0.8405923344947736,0.026101698090570967,7.095001282117712e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
30,0.634398554239477,0.634560924770453,0.7469879518072289,0.7341772151898734,0.8437862950058073,0.026061474351370503,7.074664862110675e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
31,0.6330951999112778,0.6332393405410851,0.7469879518072289,0.7341772151898734,0.8434959349593496,0.025966995147917542,7.023641909658282e-06,0.08333333333333333,4,28,1.0,keep,none,0,0
