epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.6915536387306489,0.688986719485663,0.49019607843137253,0.6533333333333333,0.5794886582083814,0.02956092999731228,1.800755614438977e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.001135286404580274
1,0.6902023523559392,0.6879051429864793,0.49019607843137253,0.6533333333333333,0.5879469434832756,0.029653611841571902,1.8180212317601884e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0011452050930617858
2,0.688841438335949,0.6868149065471556,0.49019607843137253,0.6533333333333333,0.5981353325643983,0.02966701473583397,1.8246513058597246e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0011613734148557962
3,0.6874771616546607,0.6857206274283378,0.4852941176470588,0.6488294314381271,0.6092848904267589,0.029596767506454322,1.8199894698938522e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.001181555347762654
4,0.6861160286353392,0.6846268960343523,0.4852941176470588,0.6488294314381271,0.6167820069204153,0.029446336609510397,1.804393459877148e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012043713684385862
5,0.6847649154450353,0.6835384273416579,0.4852941176470588,0.6488294314381271,0.6242791234140714,0.029224209704282474,1.778911073113015e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012289508093329686
6,0.6834305607767167,0.682459660356224,0.4852941176470588,0.6488294314381271,0.6321607074202229,0.02894387246915571,1.7452546831906245e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012547270881947835
7,0.6821190776332281,0.6813943709409812,0.49019607843137253,0.6510067114093959,0.6401384083044983,0.028622449716092416,1.7055936691376256e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012813190882070876
8,0.6808354707783224,0.6803451916077157,0.49019607843137253,0.6510067114093959,0.644463667820069,0.02827902715750332,1.6623155180569922e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0013084658002286845
9,0.6795833319250316,0.6793133580561134,0.4950980392156863,0.6531986531986532,0.6519607843137255,0.02793278449052616,1.6177811985380078e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0013359911219143405
10,0.6783648178069726,0.678298897533431,0.5,0.6577181208053692,0.6590734332948867,0.027601469608988287,1.5741391006527226e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0013637821697403832
11,0.6771808258978136,0.6773011994766368,0.4950980392156863,0.6531986531986532,0.6638792772010765,0.027300586387816364,1.5332388650765726e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0013917710892801648
12,0.6760312059126744,0.6763196808349313,0.5,0.6530612244897959,0.6697424067666282,0.027043104034305064,1.4966190252292475e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0014199170979885916
13,0.6749148691389663,0.6753541859585179,0.5,0.6530612244897959,0.672241445597847,0.026839234455487727,1.465511700292862e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0014481909281451033
14,0.6738297427842903,0.6744049327218443,0.5049019607843137,0.6552901023890785,0.6768550557477894,0.026696005264036864,1.4408268320850615e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.00147656566919816
15,0.6727726208662537,0.6734720941101539,0.5147058823529411,0.6597938144329897,0.682237600922722,0.02661667359867568,1.4231128560406048e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0015050160265318645
16,0.6717390375222898,0.6725552684953693,0.5147058823529411,0.6597938144329897,0.6874279123414071,0.026600253105312697,1.4125157988454716e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0015335246028692676
