epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.6995632118053947,0.6863896822235456,0.5333333333333333,0.46153846153846156,0.5755555555555556,0.02968997704368478,1.2230988011227726e-05,0.16666666666666666,2,22,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.001195739926493285
1,0.6983089907045237,0.6859187449217876,0.5333333333333333,0.46153846153846156,0.5933333333333334,0.029319969525541896,1.1925197467215035e-05,0.18055555555555555,2,22,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.001200260693667083
2,0.6970840334396315,0.6854440375858228,0.55,0.47058823529411764,0.6022222222222222,0.028951991790621825,1.1624881013248662e-05,0.18055555555555555,2,22,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.001207573303897341
3,0.6958892721920903,0.6849656296582441,0.55,0.47058823529411764,0.6144444444444445,0.028585439415216518,1.132955901869831e-05,0.16666666666666666,2,22,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.001216641169854399
4,0.6947248580446285,0.6844821709054504,0.5666666666666667,0.48,0.6222222222222222,0.028220906190057776,1.1039824508061191e-05,0.18055555555555555,2,22,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0012268572022278048
5,0.69359018572185,0.6839929508743299,0.5666666666666667,0.48,0.6355555555555555,0.02785982761941055,1.0756796657666114e-05,0.20833333333333334,2,22,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012378661547099682
6,0.6924845654787175,0.6834993674777281,0.5666666666666667,0.48,0.6455555555555555,0.02750395194262516,1.0481574030672717e-05,0.18055555555555555,2,22,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.001249442876409153
7,0.6914072082457029,0.6830029150253226,0.5666666666666667,0.48,0.6555555555555554,0.027154712543863577,1.0214960881822476e-05,0.16666666666666666,2,22,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012614387803099626
8,0.6903569918157556,0.6825046224338017,0.5833333333333334,0.5098039215686274,0.6677777777777778,0.026813495950517196,9.957726654305602e-06,0.16666666666666666,2,22,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012737554522529778
9,0.6893325328002747,0.6820053097860109,0.5833333333333334,0.5098039215686274,0.68,0.026481939392323347,9.710792611557244e-06,0.18055555555555555,2,22,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012863263602642231
