epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.6886940488267528,0.6873387330205158,0.5900621118012422,0.5147058823529411,0.5587962962962963,0.02969972815904777,1.8367540664563517e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0011732839896073832
1,0.6873637326048742,0.6861209874838055,0.5900621118012422,0.5074626865671642,0.575,0.030025479201921917,1.877265548523901e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.001184840496986898
2,0.6860093616629804,0.6848936232265243,0.6024844720496895,0.5428571428571428,0.5895061728395061,0.030316805002579886,1.913959490153662e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0012037098057648375
3,0.6846299346801079,0.6836602884679092,0.6149068322981367,0.5753424657534246,0.6040123456790123,0.03057359081219021,1.946712095285797e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0012273228967072125
4,0.6832274763865755,0.6824275798341995,0.6211180124223602,0.6064516129032258,0.6143518518518519,0.03077543962944043,1.9727376774412484e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0012540819587850936
5,0.6818081669855738,0.6812035803959028,0.6335403726708074,0.5986394557823129,0.6243827160493828,0.030904442620035957,1.989529185515784e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.001282949773872544
6,0.6803799592016421,0.6799965826378336,0.6459627329192547,0.6174496644295302,0.6341049382716049,0.03095208658537347,1.9958281396561896e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0013132149357406157
7,0.6789515574215325,0.6788148688429396,0.6521739130434783,0.6164383561643836,0.6427469135802469,0.030916567377538652,1.9913201370188157e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0013443528654583379
8,0.6775320326354706,0.6776665566720598,0.6645962732919255,0.625,0.6473765432098765,0.03080100336264199,1.9764117968036922e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0013759440632280361
9,0.6761305329587297,0.6765593236304992,0.6645962732919255,0.6301369863013698,0.6549382716049382,0.030612543788020728,1.952100610527813e-05,0.16666666666666666,2,14,1.0,keep,none,0,0,keep,False,False,False,False,True,False,False,[],0.0014076285352593444
10,0.6747559490582649,0.6755000037368054,0.6708074534161491,0.6394557823129252,0.6611111111111111,0.030361611292642067,1.9198467766498453e-05,0.16666666666666666,2,14,1.0,propose_prune_layer,in_progress,0,0,propose_prune_layer,False,False,False,False,True,False,False,[],0.0014390840544328404
11,0.6736405243462542,0.6744940805690545,0.6708074534161491,0.6344827586206897,0.6671296296296295,0.03734749210998239,2.8990293983486784e-05,0.16666666666666666,2,14,1.0,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.0014700207359243512
12,0.6774490418829258,0.675470582126043,0.6583850931677019,0.6496815286624203,0.6570987654320988,0.07734454007543662,0.00012295172231396512,0.16666666666666666,2,14,1.0,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.001476868784413346
13,0.6846042187439768,0.6906903314323791,0.6273291925465838,0.6153846153846154,0.6439814814814815,0.039026488517257506,3.1729597755443275e-05,0.16666666666666666,2,14,1.0,keep,in_progress,0,0,keep,False,False,False,False,True,False,False,[],0.0013250404511397239
14,0.6997178043453545,0.6904443537792224,0.6211180124223602,0.6064516129032258,0.5871913580246914,0.024191668283327222,1.2192103796384513e-05,0.16666666666666666,2,14,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.0012361056705375666
15,0.6747559490582649,0.7003503122671637,0.515527950310559,0.6722689075630253,0.4121913580246914,0.030361611292642067,1.9198467766498453e-05,0.16666666666666666,2,14,1.0,propose_prune_layer,in_progress,0,1,propose_prune_layer,False,False,False,False,False,False,False,[],0.0011035418860106919
16,0.6736808255680783,0.6745010860751679,0.6708074534161491,0.6344827586206897,0.666820987654321,0.0375195836359846,2.9256872321219845e-05,0.16666666666666666,2,14,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.0012686105830340476
17,0.6765387718003791,0.6751124171394711,0.6645962732919255,0.6538461538461539,0.6578703703703704,0.07532699285948366,0.00011655931627573206,0.16666666666666666,2,14,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.0013602927200494501
18,0.684134618540748,0.6880346934645689,0.6273291925465838,0.6052631578947368,0.6461419753086419,0.03842817328447603,3.076327725668896e-05,0.16666666666666666,2,14,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.0012790095133937468
19,0.6994457081633016,0.689366842227355,0.6086956521739131,0.6086956521739131,0.5930555555555556,0.024257479468576763,1.2258676914748045e-05,0.16666666666666666,2,14,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.0012180848495781994
20,0.7100139430973771,0.6998833442670875,0.5217391304347826,0.07228915662650602,0.41496913580246914,0.06628796700273297,9.136424587046014e-05,0.16666666666666666,2,14,1.0,add_layer,committed,2,1,add_layer,False,False,False,False,False,False,False,[],0.001096121837563475
21,0.7076250432493052,0.6988664399647111,0.5403726708074534,0.6636363636363637,0.44459876543209875,0.0654405894739023,8.90539287939157e-05,0.16666666666666666,2,14,1.0,keep,none,2,1,keep,False,False,False,False,False,False,False,[],0.0010304420075477499
