epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6918745898392605,0.6942968846292783,0.5196078431372549,0.5242718446601942,0.4891387927720108,0.02432588957645142,8.135650263467795e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
1,0.6908276725764387,0.6933246043431581,0.5392156862745098,0.5523809523809524,0.5088427527873896,0.02399229353723582,7.919391513696957e-06,0.18055555555555555,2,22,1.0,keep,none,0,0
2,0.6898098832609507,0.6923800219567927,0.553921568627451,0.5687203791469194,0.5272971933871587,0.023745793698433243,7.761871324291761e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
3,0.6888160909624814,0.6914534157063812,0.5686274509803921,0.5887850467289719,0.5447904652056902,0.023554356653492384,7.64051926716141e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
4,0.6878403403311152,0.6905362032278978,0.5735294117647058,0.5953488372093023,0.5611303344867359,0.02340607923917373,7.5465922225595905e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
5,0.6868779741654167,0.6896221804219076,0.5686274509803921,0.5925925925925926,0.5749711649365629,0.0232795570207649,7.465759398802364e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
6,0.6859267686701652,0.688708696659219,0.5686274509803921,0.5925925925925926,0.5884275278738947,0.023153563715156422,7.384313915964374e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
7,0.6849861314459202,0.6877953652735317,0.5686274509803921,0.5925925925925926,0.6025567089580931,0.0230141603798062,7.2935147742517155e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
8,0.6840566043053575,0.6868832902159931,0.5735294117647058,0.5953488372093023,0.6157247212610535,0.022852214185385356,7.187855532857887e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
9,0.6831396012156584,0.6859746806403237,0.5833333333333334,0.6046511627906976,0.6284121491733949,0.02266236165597533,7.064332196358595e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
10,0.6966095154667609,0.6850723665644933,0.5833333333333334,0.6046511627906976,0.6382160707420222,0.02578937123275158,6.0558837124956745e-06,0.1111111111111111,3,33,1.0,add_layer,committed,1,0
11,0.6949985997657809,0.6919677299177563,0.45098039215686275,0.5130434782608696,0.5265282583621684,0.02651129167588821,6.421968955520699e-06,0.1111111111111111,3,33,1.0,keep,none,1,0
12,0.6933351102669897,0.6903754450432679,0.47549019607843135,0.5407725321888412,0.5583429450211458,0.02745678857847134,6.91081538378672e-06,0.12037037037037036,3,33,1.0,keep,none,1,0
13,0.6916019492239143,0.6887414806144744,0.5098039215686274,0.5726495726495726,0.5886197616301422,0.02857677066101075,7.506843240129303e-06,0.1111111111111111,3,33,1.0,keep,none,1,0
14,0.6897996360656109,0.6870627591154329,0.5343137254901961,0.602510460251046,0.6188965782391388,0.029754145791458752,8.156178701329465e-06,0.1111111111111111,3,33,1.0,keep,none,1,0
15,0.6879371668251828,0.6853474699233333,0.5637254901960784,0.6307053941908713,0.646482122260669,0.030932563325968148,8.830065853121948e-06,0.12037037037037036,3,33,1.0,propose_reduce_entanglement,in_progress,1,0
16,0.6860216977042687,0.6836034434770241,0.5882352941176471,0.65,0.667916186082276,0.0320915983538378,9.516201415829456e-06,0.1111111111111111,3,30,0.9045084971874737,keep,in_progress,1,0
17,0.6840595608703539,0.6818382618909857,0.5931372549019608,0.6527196652719666,0.6866589773164167,0.033219009208338125,1.0205668026973509e-05,0.12037037037037036,3,22,0.6545084971874737,keep,in_progress,1,0
18,0.6820568182826241,0.6800568122154369,0.6078431372549019,0.6581196581196581,0.7035755478662054,0.034302414714548986,1.0888618641640978e-05,0.12037037037037036,3,11,0.34549150281252633,keep,in_progress,1,0
19,0.6800179584179271,0.678258761925487,0.6225490196078431,0.6695278969957081,0.7207804690503653,0.035323230887810024,1.1550358338149704e-05,0.1111111111111111,3,3,0.09549150281252633,keep,in_progress,1,0
20,0.6779443306013577,0.676438541480898,0.6470588235294118,0.6842105263157895,0.7360630526720492,0.03625191937617385,1.216777342737958e-05,0.1111111111111111,3,0,0.0,stop_growth,committed,2,0
21,0.6758347231736637,0.6745891410972098,0.6568627450980392,0.6902654867256637,0.7512495194156094,0.03704429908526276,1.2706240561862937e-05,0.12037037037037036,3,0,0.0,keep,none,2,0
22,0.6736885679938918,0.672707000844904,0.6715686274509803,0.6968325791855203,0.7683583237216456,0.03764207159309038,1.3119627003495142e-05,0.1111111111111111,3,0,0.0,keep,none,2,0
23,0.6715094655966406,0.6707947592015657,0.7009803921568627,0.7214611872146118,0.7827758554402152,0.03797855990460803,1.3355011372562566e-05,0.1111111111111111,3,0,0.0,keep,none,2,0
24,0.6693077367618188,0.668862551295062,0.7107843137254902,0.728110599078341,0.797770088427528,0.03798920363244724,1.3362369158973725e-05,0.1111111111111111,3,0,0.0,keep,none,2,0
25,0.6671014401870012,0.6669281008119178,0.7205882352941176,0.7323943661971831,0.8137254901960783,0.03762462356970277,1.3107195342616604e-05,0.12037037037037036,3,0,0.0,propose_reduce_entanglement,in_progress,2,0
26,0.66491552760823,0.6650152188331575,0.7303921568627451,0.7368421052631579,0.8269896193771626,0.03686223830627834,1.2581592577945133e-05,0.1111111111111111,3,30,0.9045084971874737,keep,in_progress,2,0
27,0.6627793587311614,0.6631509253143947,0.7303921568627451,0.7368421052631579,0.8392925797770089,0.035713614547483105,1.1809834747366812e-05,0.1111111111111111,3,22,0.6545084971874737,keep,in_progress,2,0
28,0.6607231499621029,0.6613617813220155,0.75,0.7536231884057971,0.8493848519800078,0.03422704941682412,1.0846859709391054e-05,0.1111111111111111,3,11,0.34549150281252633,keep,in_progress,2,0
29,0.6587740275577674,0.6596700740587434,0.7598039215686274,0.7609756097560976,0.8575547866205306,0.03248582127058414,9.77030751292912e-06,0.1111111111111111,3,3,0.09549150281252633,keep,in_progress,2,0
30,0.6569525721133157,0.6580907430009332,0.7696078431372549,0.7707317073170732,0.8627450980392157,0.030601360567238813,8.667608033650498e-06,0.1111111111111111,3,0,0.0,keep,committed,3,0
31,0.6552704737217379,0.6566296704880744,0.7892156862745098,0.7902439024390244,0.8699538638985005,0.028699801412924837,7.620556830238033e-06,0.1111111111111111,3,0,0.0,keep,none,3,0
32,0.653729572509073,0.6552834332917783,0.7941176470588235,0.7941176470588235,0.8748558246828143,0.026903782059316938,6.69203439420603e-06,0.1111111111111111,3,0,0.0,keep,none,3,0
33,0.6523226491732756,0.6540407100319738,0.7990196078431373,0.8,0.8790849673202613,0.025313723166764036,5.91881832388315e-06,0.1111111111111111,3,0,0.0,keep,none,3,0
34,0.6510355805825727,0.6528848431706091,0.8088235294117647,0.8097560975609757,0.8823529411764706,0.02399399815573134,5.311765319978742e-06,0.1111111111111111,3,0,0.0,keep,none,3,0
35,0.6498501491172892,0.651796782289566,0.8235294117647058,0.8252427184466019,0.883986928104575,0.022969368851600842,4.862109767743518e-06,0.12962962962962962,3,0,0.0,keep,none,3,0
36,0.648746895927485,0.6507578153628236,0.8235294117647058,0.8269230769230769,0.8849480968858131,0.022232948776872756,4.550666968800593e-06,0.1111111111111111,3,0,0.0,keep,none,3,0
37,0.6477074686813608,0.6497516201340403,0.8284313725490197,0.8325358851674641,0.886485966935794,0.021760147079335275,4.356031569904446e-06,0.1111111111111111,3,0,0.0,keep,none,3,0
38,0.6467160039979376,0.6487652823314425,0.8333333333333334,0.8380952380952381,0.8885044213763936,0.02151971202815328,4.25895557054132e-06,0.1111111111111111,3,0,0.0,keep,none,3,0
39,0.6457593563744637,0.6477891681160276,0.8137254901960784,0.822429906542056,0.8896578239138793,0.02147707257814652,4.242570857245462e-06,0.1111111111111111,3,0,0.0,keep,none,3,0
