epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6918745898392605,0.6942968846292783,0.5196078431372549,0.5242718446601942,0.4891387927720108,0.02432588957645142,8.135650263467795e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
1,0.6908276725764387,0.6933246043431581,0.5392156862745098,0.5523809523809524,0.5088427527873896,0.02399229353723582,7.919391513696957e-06,0.18055555555555555,2,22,1.0,keep,none,0,0
2,0.6898098832609507,0.6923800219567927,0.553921568627451,0.5687203791469194,0.5272971933871587,0.023745793698433243,7.761871324291761e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
3,0.6888160909624814,0.6914534157063812,0.5686274509803921,0.5887850467289719,0.5447904652056902,0.023554356653492384,7.64051926716141e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
4,0.6878403403311152,0.6905362032278978,0.5735294117647058,0.5953488372093023,0.5611303344867359,0.02340607923917373,7.5465922225595905e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
5,0.6868779741654167,0.6896221804219076,0.5686274509803921,0.5925925925925926,0.5749711649365629,0.0232795570207649,7.465759398802364e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
6,0.6859267686701652,0.688708696659219,0.5686274509803921,0.5925925925925926,0.5884275278738947,0.023153563715156422,7.384313915964374e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
7,0.6849861314459202,0.6877953652735317,0.5686274509803921,0.5925925925925926,0.6025567089580931,0.0230141603798062,7.2935147742517155e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
8,0.6840566043053575,0.6868832902159931,0.5735294117647058,0.5953488372093023,0.6157247212610535,0.022852214185385356,7.187855532857887e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
9,0.6831396012156584,0.6859746806403237,0.5833333333333334,0.6046511627906976,0.6284121491733949,0.02266236165597533,7.064332196358595e-06,0.16666666666666666,2,22,1.0,keep,none,0,0
10,0.6966095154667609,0.6850723665644933,0.5833333333333334,0.6046511627906976,0.6382160707420222,0.02578937123275158,6.0558837124956745e-06,0.1111111111111111,3,33,1.0,add_layer,committed,1,0
11,0.6949985997657809,0.6919677299177563,0.45098039215686275,0.5130434782608696,0.5265282583621684,0.02651129167588821,6.421968955520699e-06,0.1111111111111111,3,33,1.0,keep,none,1,0
12,0.6933351102669897,0.6903754450432679,0.47549019607843135,0.5407725321888412,0.5583429450211458,0.02745678857847134,6.91081538378672e-06,0.12037037037037036,3,33,1.0,keep,none,1,0
13,0.6916019492239143,0.6887414806144744,0.5098039215686274,0.5726495726495726,0.5886197616301422,0.02857677066101075,7.506843240129303e-06,0.1111111111111111,3,33,1.0,keep,none,1,0
14,0.6897996360656109,0.6870627591154329,0.5343137254901961,0.602510460251046,0.6188965782391388,0.029754145791458752,8.156178701329465e-06,0.1111111111111111,3,33,1.0,keep,none,1,0
15,0.6950218808553239,0.6853474699233333,0.5637254901960784,0.6307053941908713,0.646482122260669,0.025508292209335648,4.419137999455554e-06,0.08333333333333333,4,44,1.0,add_layer,committed,2,0
16,0.6931664554018014,0.6924125482972183,0.4852941176470588,0.5783132530120482,0.5167243367935409,0.024971546403320843,4.23117125199991e-06,0.08333333333333333,4,44,1.0,keep,none,2,0
17,0.6913667832201321,0.6908765469637248,0.5147058823529411,0.5892116182572614,0.5650711264898115,0.02425389070825775,3.989618393410171e-06,0.09027777777777778,4,44,1.0,keep,none,2,0
18,0.6896452635606115,0.6894098585126602,0.5490196078431373,0.6166666666666667,0.6085159554017685,0.02341891477021036,3.720161779657747e-06,0.08333333333333333,4,44,1.0,keep,none,2,0
19,0.6880131818623157,0.6880144873860887,0.5784313725490197,0.6416666666666667,0.6485966935793925,0.022548309061416666,3.451799582960578e-06,0.08333333333333333,4,44,1.0,keep,none,2,0
20,0.6960843381733022,0.6866821099384813,0.6078431372549019,0.6581196581196581,0.6846405228758171,0.038200281429278685,8.006700787518587e-06,0.06666666666666667,5,55,1.0,add_layer,committed,3,0
21,0.6930803339580043,0.6941142816401041,0.46078431372549017,0.56,0.4684736639753941,0.03768881014799533,7.789952708144122e-06,0.06666666666666667,5,55,1.0,keep,none,3,0
22,0.6901887709041726,0.6913808351618954,0.5196078431372549,0.5983606557377049,0.5606497500961168,0.0366574316507627,7.3672680832341564e-06,0.06666666666666667,5,55,1.0,keep,none,3,0
23,0.6874249391394017,0.6887251864439605,0.5588235294117647,0.628099173553719,0.637831603229527,0.03530865551147044,6.834792206536638e-06,0.07222222222222222,5,55,1.0,keep,none,3,0
24,0.684793389935356,0.6861466981722579,0.5931372549019608,0.6556016597510373,0.6980968858131488,0.03367291104380642,6.2177760088078376e-06,0.06666666666666667,5,55,1.0,keep,none,3,0
25,0.6823130545364545,0.6836663542715739,0.6176470588235294,0.675,0.7439446366782008,0.031815860445924486,5.5547349304406535e-06,0.06666666666666667,5,55,1.0,propose_prune_layer,in_progress,3,0
26,0.680913597139531,0.6813130956986931,0.6666666666666666,0.7043478260869566,0.7793156478277586,0.03389996646650581,6.3274053717732325e-06,0.06666666666666667,5,55,1.0,keep,in_progress,3,0
27,0.6831623885950198,0.680163354008541,0.7303921568627451,0.7263681592039801,0.7995001922337563,0.030611720986930192,5.1646777062810024e-06,0.06666666666666667,5,55,1.0,keep,in_progress,3,0
28,0.6920277034926173,0.6807881155554165,0.7107843137254902,0.7467811158798283,0.8161284121491733,0.028885921454212666,4.631005602604602e-06,0.06666666666666667,5,55,1.0,keep,in_progress,3,0
29,0.7001353787274638,0.6904255660313384,0.5,0.6304347826086957,0.6206266820453672,0.024404927778421032,3.3052736429496063e-06,0.06666666666666667,5,55,1.0,keep,in_progress,3,0
30,0.6823130545364545,0.6988249381692705,0.43137254901960786,0.5538461538461539,0.3695693963860054,0.031815860445924486,5.5547349304406535e-06,0.06666666666666667,5,55,1.0,propose_prune_layer,in_progress,3,1
31,0.680690253927178,0.6811505200380705,0.6666666666666666,0.7043478260869566,0.7796039984621299,0.03422767430393942,6.4517537818618185e-06,0.07222222222222222,5,55,1.0,keep,in_progress,3,1
32,0.683155841859778,0.679772329731179,0.7352941176470589,0.73,0.8053633217993081,0.030559910734246673,5.152453080169469e-06,0.06666666666666667,5,55,1.0,keep,in_progress,3,1
33,0.6921402489566003,0.6805622317143967,0.7058823529411765,0.7413793103448276,0.820165321030373,0.02924491022436485,4.747696612270558e-06,0.06666666666666667,5,55,1.0,keep,in_progress,3,1
34,0.7001330706038235,0.6903890468257847,0.5,0.6304347826086957,0.621683967704729,0.024270304732427993,3.270310871275257e-06,0.07222222222222222,5,55,1.0,keep,in_progress,3,1
35,0.6826495124131089,0.6987657866407372,0.43137254901960786,0.5639097744360902,0.3775470972702807,0.03036520358647683,6.38004765711524e-06,0.08333333333333333,4,44,1.0,propose_prune_layer,in_progress,4,1
36,0.6806771934545671,0.6802166174068521,0.6911764705882353,0.7385892116182573,0.7995001922337563,0.027047514050835313,5.06337440656646e-06,0.08333333333333333,4,44,1.0,keep,in_progress,4,1
37,0.6879439092633327,0.6790516605347264,0.696078431372549,0.743801652892562,0.8026720492118417,0.02426336250018028,4.087217022474382e-06,0.08333333333333333,4,44,1.0,keep,in_progress,4,1
38,0.6954496470992092,0.6895726769349563,0.5392156862745098,0.6618705035971223,0.6089004229142637,0.02322026828668801,3.7428332708202487e-06,0.08333333333333333,4,44,1.0,keep,in_progress,4,1
39,0.7008947134141529,0.6985205110586216,0.46078431372549017,0.2948717948717949,0.3796616685890042,0.021318356838499593,3.151679596795674e-06,0.08333333333333333,4,44,1.0,keep,in_progress,4,1
