epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.7324624972757994,0.7124624972757994,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
1,0.7330253495587957,0.7130253495587957,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
2,0.7215692621479312,0.7015692621479311,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
3,0.7204470047446883,0.7004470047446882,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
4,0.7142489910203279,0.6942489910203279,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
5,0.7028251602692579,0.6828251602692579,0.01482446938499804,0.014527979997298079,0.507412234692499,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
6,0.7048508859936151,0.6848508859936151,0.011901765988147406,0.011663730668384458,0.5059508829940738,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
7,0.7002605937574873,0.6802605937574873,0.01852460863152905,0.01815411645889847,0.5092623043157645,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
8,0.6919802616504488,0.6719802616504488,0.030471415884506192,0.02986198756681607,0.5152357079422532,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
9,0.6835943564069296,0.6635943564069295,0.04257054334593924,0.041719132479020454,0.5212852716729697,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
10,0.6856997964416541,0.6656997964416541,0.039532828680343246,0.03874217210673638,0.5197664143401717,5.258971254922356e-06,8.965976460185992e-09,0.5938224985186997,3,57,1.0,add_layer,in_progress,0,0
11,0.6988135026582896,0.6788135026582895,0.02061246189829824,0.020200212660332274,0.5103062309491491,5.430029206882535e-06,8.965976460185992e-09,0.5806108518505086,3,57,1.0,keep,in_progress,0,0
12,0.688518951172172,0.668518951172172,0.03546537127085281,0.03475606384543575,0.5177326856354264,5.877864739160227e-06,8.965976460185992e-09,0.5460223118258303,3,57,1.0,keep,in_progress,0,0
13,0.6837975801149736,0.6637975801149736,0.042277333552195207,0.0414317868811513,0.5211386667760975,6.431419899795255e-06,8.965976460185992e-09,0.5032685251128557,3,57,1.0,keep,in_progress,0,0
14,0.6799773694649964,0.6599773694649964,0.04778910768287925,0.04683332552922166,0.5238945538414397,6.879255432072947e-06,8.965976460185992e-09,0.46867998508817743,3,57,1.0,keep,in_progress,0,0
15,0.6846258073563963,0.6646258073563963,0.04108237288068639,0.040260725423072664,0.5205411864403432,4.985324403340097e-06,5.331201499700046e-09,0.5916013093510358,4,76,1.0,add_layer,in_progress,1,0
16,0.6760657056821974,0.6560657056821974,0.053432829776082325,0.05236417318056068,0.5267164148880412,5.0914228028539545e-06,5.331201499700046e-09,0.5829097284628606,4,76,1.0,keep,in_progress,1,0
17,0.6732626272118966,0.6532626272118965,0.05747709246588295,0.05632755061656529,0.5287385462329415,5.369192018933198e-06,5.331201499700046e-09,0.5601548742816491,4,76,1.0,keep,in_progress,1,0
18,0.6731796499082786,0.6531796499082786,0.057596811559257666,0.05644487532807251,0.5287984057796289,5.71253365206397e-06,5.331201499700046e-09,0.5320283276955762,4,76,1.0,keep,in_progress,1,0
19,0.6792836937995864,0.6592836937995864,0.04878993824904576,0.04781413948406484,0.5243949691245229,5.990302868143214e-06,5.331201499700046e-09,0.5092734735143646,4,76,1.0,keep,in_progress,1,0
20,0.6743596706184841,0.6543596706184841,0.055894285646394426,0.05477639993346654,0.5279471428231972,6.096401267657071e-06,5.331201499700046e-09,0.5005818926261894,4,76,1.0,propose_prune_layer,in_progress,2,0
21,0.6826487753690422,0.6626487753690422,0.043934821282582415,0.043056124856930764,0.5219674106412913,5.990302868143214e-06,5.331201499700046e-09,0.5092734735143646,4,76,1.0,keep,in_progress,2,0
22,0.676357253023047,0.6563572530230469,0.053012187241311626,0.051951943496485395,0.5265060936206558,5.71253365206397e-06,5.331201499700046e-09,0.5320283276955762,4,76,1.0,keep,in_progress,2,0
23,0.665619805899371,0.645619805899371,0.06850410344918345,0.06713402138019978,0.5342520517245917,5.369192018933198e-06,5.331201499700046e-09,0.5601548742816491,4,76,1.0,keep,in_progress,2,0
24,0.657779174164531,0.637779174164531,0.07981651397412937,0.07822018369464678,0.5399082569870647,5.0914228028539545e-06,5.331201499700046e-09,0.5829097284628606,4,76,1.0,keep,in_progress,2,0
25,0.6575715390195057,0.6375715390195057,0.08011608855936281,0.07851376678817555,0.5400580442796814,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,stop_growth,committed,3,0
26,0.6689072558644225,0.6489072558644224,0.06376099283736492,0.06248577298061762,0.5318804964186825,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
27,0.6724774282777124,0.6524774282777124,0.05860997218624686,0.057437772742521924,0.5293049860931234,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
28,0.6694375729240981,0.6494375729240981,0.0629958549645101,0.0617359378652199,0.5314979274822551,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
29,0.6676289720644987,0.6476289720644987,0.06560529207257448,0.064293186231123,0.5328026460362872,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
30,0.6633494171944225,0.6433494171944225,0.0717798049424001,0.07034420884355211,0.5358899024712,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
31,0.6552846316050892,0.6352846316050892,0.08341562313506112,0.0817473106723599,0.5417078115675306,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
32,0.6501192211648954,0.6301192211648954,0.09086824243991443,0.08905087759111614,0.5454341212199572,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
33,0.655934323685515,0.635934323685515,0.08247825178832069,0.08082868675255428,0.5412391258941603,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
34,0.6465267660211828,0.6265267660211827,0.09605141246402726,0.09413038421474672,0.5480257062320136,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
35,0.6350092031467189,0.6150092031467189,0.11266887440958173,0.11041549692139009,0.5563344372047909,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
36,0.6394650733679919,0.6194650733679918,0.10623997494157866,0.1041151754427471,0.5531199874707893,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
37,0.6370887027276031,0.6170887027276031,0.10966858645562971,0.10747521472651711,0.5548342932278149,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
38,0.6394557289429608,0.6194557289429607,0.10625345701491751,0.10412838787461916,0.5531267285074588,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
39,0.6293247355053657,0.6093247355053657,0.12087038593945221,0.11845297822066315,0.5604351929697261,7.050313384033125e-06,8.965976460185992e-09,0.45546833841998646,3,57,1.0,keep,none,3,0
