epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.7324624972757994,0.7124624972757994,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
1,0.7330253495587957,0.7130253495587957,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
2,0.7215692621479312,0.7015692621479311,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
3,0.7204470047446883,0.7004470047446882,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
4,0.7142489910203279,0.6942489910203279,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
5,0.7028251602692579,0.6828251602692579,0.01482446938499804,0.014527979997298079,0.507412234692499,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
6,0.7048508859936151,0.6848508859936151,0.011901765988147406,0.011663730668384458,0.5059508829940738,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
7,0.7002605937574873,0.6802605937574873,0.01852460863152905,0.01815411645889847,0.5092623043157645,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
8,0.6919802616504488,0.6719802616504488,0.030471415884506192,0.02986198756681607,0.5152357079422532,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
9,0.6835943564069296,0.6635943564069295,0.04257054334593924,0.041719132479020454,0.5212852716729697,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
10,0.6856997964416541,0.6656997964416541,0.039532828680343246,0.03874217210673638,0.5197664143401717,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,stop_growth,none,0,0
11,0.6855465824905147,0.6655465824905147,0.03975388473450492,0.038958807039814816,0.5198769423672525,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
12,0.6938394039612705,0.6738394039612705,0.027789057911887904,0.027233276753650146,0.513894528955944,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
13,0.705015625972504,0.685015625972504,0.011664080258975695,0.011430798653796181,0.5058320401294878,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
14,0.7141750544587548,0.6941750544587548,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
15,0.6952107266055924,0.6752107266055923,0.025810522860204466,0.025294312403000375,0.5129052614301022,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,stop_growth,none,0,0
16,0.6985590008254724,0.6785590008254724,0.02097965542422109,0.020560062315736666,0.5104898277121106,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
17,0.7014869235644158,0.6814869235644158,0.01675526826660556,0.01642016290127345,0.5083776341333028,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
18,0.7045070842436352,0.6845070842436352,0.012397800831575378,0.012149844814943871,0.5061989004157876,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
19,0.7070205014027074,0.6870205014027074,0.008771459525743208,0.008596030335228344,0.5043857297628715,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
20,0.7041072983314518,0.6841072983314518,0.01297460924621019,0.012715117061285985,0.5064873046231051,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,stop_growth,none,0,0
21,0.6976355469403397,0.6776355469403397,0.022312008454278387,0.021865768285192818,0.5111560042271392,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
22,0.7062349576376961,0.686234957637696,0.009904836765696201,0.009706740030382277,0.5049524183828481,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
23,0.7038829289867863,0.6838829289867863,0.013298327821690603,0.013032361265256791,0.5066491639108452,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
24,0.7045088352326956,0.6845088352326956,0.012395274516382115,0.012147369026054473,0.5061976372581911,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
25,0.6976700909848677,0.6776700909848676,0.022262168540084226,0.02181692516928254,0.5111310842700421,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,stop_growth,none,0,0
26,0.6857451929078126,0.6657451929078125,0.03946733096549926,0.03867798434618927,0.5197336654827496,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
27,0.6881087772192227,0.6681087772192227,0.03605716748056176,0.03533602413095052,0.5180285837402809,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
28,0.687218302588694,0.667218302588694,0.03734193826476129,0.03659509949946606,0.5186709691323806,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
29,0.6776906475457054,0.6576906475457054,0.05108837462746307,0.05006660713491381,0.5255441873137315,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
30,0.6584628880195765,0.6384628880195765,0.07883005624069184,0.077253455115878,0.5394150281203459,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,stop_growth,none,0,0
31,0.6541809241108846,0.6341809241108846,0.08500804485516589,0.08330788395806257,0.542504022427583,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
32,0.6522497904691144,0.6322497904691143,0.08779427143397156,0.08603838600529212,0.5438971357169857,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
33,0.6667397013932168,0.6467397013932168,0.06688832579250215,0.0655505592766521,0.5334441628962511,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
34,0.666299397037793,0.6462993970377929,0.06752359394345275,0.0661731220645837,0.5337617969717263,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
35,0.6669504545387546,0.6469504545387545,0.06658425257718292,0.06525256752563927,0.5332921262885915,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,stop_growth,none,0,0
36,0.6742484618033622,0.6542484618033622,0.056054736973940145,0.054933642234461344,0.5280273684869701,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
37,0.6827420441364569,0.6627420441364569,0.04380025373473262,0.04292424866003797,0.5219001268673663,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
38,0.6830815293832035,0.6630815293832035,0.04331044671302342,0.04244423777876295,0.5216552233565117,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
39,0.6903728710908535,0.6703728710908535,0.032790548130351316,0.03213473716774429,0.5163952740651756,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
