epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.7324624972757994,0.7124624972757994,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
1,0.7330253495587957,0.7130253495587957,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
2,0.7215692621479312,0.7015692621479311,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
3,0.7204470047446883,0.7004470047446882,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
4,0.7142489910203279,0.6942489910203279,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
5,0.7028251602692579,0.6828251602692579,0.01482446938499804,0.014527979997298079,0.507412234692499,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
6,0.7048508859936151,0.6848508859936151,0.011901765988147406,0.011663730668384458,0.5059508829940738,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
7,0.7002605937574873,0.6802605937574873,0.01852460863152905,0.01815411645889847,0.5092623043157645,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
8,0.6919802616504488,0.6719802616504488,0.030471415884506192,0.02986198756681607,0.5152357079422532,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
9,0.6835943564069296,0.6635943564069295,0.04257054334593924,0.041719132479020454,0.5212852716729697,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0
10,0.6856997964416541,0.6656997964416541,0.039532828680343246,0.03874217210673638,0.5197664143401717,5.258971254922356e-06,8.965976460185992e-09,0.5938224985186997,3,57,1.0,add_layer,in_progress,0,0
11,0.6988135026582896,0.6788135026582895,0.02061246189829824,0.020200212660332274,0.5103062309491491,5.430029206882535e-06,8.965976460185992e-09,0.5806108518505086,3,57,1.0,keep,in_progress,0,0
12,0.688518951172172,0.668518951172172,0.03546537127085281,0.03475606384543575,0.5177326856354264,5.877864739160227e-06,8.965976460185992e-09,0.5460223118258303,3,57,1.0,keep,in_progress,0,0
13,0.6837975801149736,0.6637975801149736,0.042277333552195207,0.0414317868811513,0.5211386667760975,6.431419899795255e-06,8.965976460185992e-09,0.5032685251128557,3,57,1.0,keep,in_progress,0,0
14,0.6799773694649964,0.6599773694649964,0.04778910768287925,0.04683332552922166,0.5238945538414397,6.879255432072947e-06,8.965976460185992e-09,0.46867998508817743,3,57,1.0,keep,in_progress,0,0
15,0.6846258073563963,0.6646258073563963,0.04108237288068639,0.040260725423072664,0.5205411864403432,4.985324403340097e-06,5.331201499700046e-09,0.5916013093510358,4,76,1.0,add_layer,in_progress,1,0
16,0.6760657056821974,0.6560657056821974,0.053432829776082325,0.05236417318056068,0.5267164148880412,5.0914228028539545e-06,5.331201499700046e-09,0.5829097284628606,4,76,1.0,keep,in_progress,1,0
17,0.6732626272118966,0.6532626272118965,0.05747709246588295,0.05632755061656529,0.5287385462329415,5.369192018933198e-06,5.331201499700046e-09,0.5601548742816491,4,76,1.0,keep,in_progress,1,0
18,0.6731796499082786,0.6531796499082786,0.057596811559257666,0.05644487532807251,0.5287984057796289,5.71253365206397e-06,5.331201499700046e-09,0.5320283276955762,4,76,1.0,keep,in_progress,1,0
19,0.6792836937995864,0.6592836937995864,0.04878993824904576,0.04781413948406484,0.5243949691245229,5.990302868143214e-06,5.331201499700046e-09,0.5092734735143646,4,76,1.0,keep,in_progress,1,0
20,0.6743596706184841,0.6543596706184841,0.055894285646394426,0.05477639993346654,0.5279471428231972,4.310806677194579e-06,3.169951377478236e-09,0.6004655991472334,5,95,1.0,add_layer,in_progress,2,0
21,0.6766805152134533,0.6566805152134533,0.052545786735747724,0.05149487100103277,0.5262728933678739,4.395831344385083e-06,3.169951377478236e-09,0.5925853514431363,5,95,1.0,keep,in_progress,2,0
22,0.664570221413604,0.644570221413604,0.07001843685816778,0.06861806812100442,0.5350092184290839,4.618428812971968e-06,3.169951377478236e-09,0.5719545951140416,5,95,1.0,keep,in_progress,2,0
23,0.6696900057202996,0.6496900057202996,0.06263164663064569,0.061379013698032774,0.5313158233153228,4.893574415764734e-06,3.169951377478236e-09,0.5464535778640465,5,95,1.0,keep,in_progress,2,0
24,0.6678147959155998,0.6478147959155998,0.06533718667493904,0.06403044294144025,0.5326685933374695,5.116171884351619e-06,3.169951377478236e-09,0.5258228215349519,5,95,1.0,keep,in_progress,2,0
25,0.6706462843216631,0.650646284321663,0.06125193432165199,0.06002689563521895,0.530625967160826,3.6778013518795214e-06,1.884864366154897e-09,0.5982855599083681,6,114,1.0,add_layer,in_progress,3,0
26,0.6677334630440221,0.6477334630440221,0.06545453319286965,0.06414544252901225,0.5327272665964349,3.770063579056481e-06,1.884864366154897e-09,0.588208064374586,6,114,1.0,keep,in_progress,3,0
27,0.6723717011286455,0.6523717011286455,0.058762514603021954,0.05758726431096151,0.529381257301511,4.0116092256835265e-06,1.884864366154897e-09,0.5618248385456692,6,114,1.0,keep,in_progress,3,0
28,0.6608315606825715,0.6408315606825715,0.07541255131644575,0.07390430029011684,0.5377062756582229,4.3101760645836974e-06,1.884864366154897e-09,0.5292133779554,6,114,1.0,keep,in_progress,3,0
29,0.6777476470842813,0.6577476470842812,0.05100613607808224,0.049986013356520594,0.5255030680390411,4.5517217112107414e-06,1.884864366154897e-09,0.5028301521264833,6,114,1.0,keep,in_progress,3,0
30,0.666975029294153,0.646975029294153,0.06654879628602961,0.06521782036030901,0.5332743981430148,4.643983938387701e-06,1.884864366154897e-09,0.4927526565927013,6,114,1.0,stop_growth,committed,4,0
31,0.67574390486579,0.6557439048657899,0.053897121821108285,0.05281917938468612,0.5269485609105542,4.643983938387701e-06,1.884864366154897e-09,0.4927526565927013,6,114,1.0,keep,none,4,0
32,0.6731345280760851,0.6531345280760851,0.05766191303407153,0.056508674773390104,0.5288309565170357,4.643983938387701e-06,1.884864366154897e-09,0.4927526565927013,6,114,1.0,keep,none,4,0
33,0.6493600612076521,0.6293600612076521,0.09196355330017014,0.09012428223416674,0.5459817766500851,4.643983938387701e-06,1.884864366154897e-09,0.4927526565927013,6,114,1.0,keep,none,4,0
34,0.6432425936985752,0.6232425936985752,0.10078979411545941,0.09877399823315022,0.5503948970577297,4.643983938387701e-06,1.884864366154897e-09,0.4927526565927013,6,114,1.0,keep,none,4,0
35,0.6446752950947253,0.6246752950947253,0.09872270221508406,0.09674824817078237,0.549361351107542,4.643983938387701e-06,1.884864366154897e-09,0.4927526565927013,6,114,1.0,stop_growth,none,4,0
36,0.6533027259070184,0.6333027259070184,0.08627510329387045,0.08454960122799304,0.5431375516469352,4.643983938387701e-06,1.884864366154897e-09,0.4927526565927013,6,114,1.0,keep,none,4,0
37,0.6508721996443209,0.6308721996443208,0.08978185017411511,0.08798621317063281,0.5448909250870575,4.643983938387701e-06,1.884864366154897e-09,0.4927526565927013,6,114,1.0,keep,none,4,0
38,0.6677015097469015,0.6477015097469014,0.06550063519419791,0.06419062249031394,0.5327503175970989,4.643983938387701e-06,1.884864366154897e-09,0.4927526565927013,6,114,1.0,keep,none,4,0
39,0.6648735088775987,0.6448735088775986,0.06958085575299577,0.06818923863793586,0.5347904278764979,4.643983938387701e-06,1.884864366154897e-09,0.4927526565927013,6,114,1.0,keep,none,4,0
