epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.6882545218877647,0.6682545218877647,0.035846888056897064,0.03512995029575912,0.5179234440284486,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,"[3, 9]",0.0017176305156853054
1,0.6950351741587414,0.6750351741587414,0.026063808745143136,0.02554253257024027,0.5130319043725715,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0016306295715359177
2,0.6812582720755048,0.6612582720755048,0.045941030045441145,0.04502220944453232,0.5229705150227206,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0017684128184144434
3,0.6667216772155887,0.6467216772155887,0.06691433095427979,0.06557604433519419,0.5334571654771398,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0021169416658734165
4,0.666774951198486,0.6467749511984859,0.06683746761147613,0.06550071825924661,0.5334187338057381,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0023249375049913114
5,0.6865368199911756,0.6665368199911755,0.038325176754904766,0.037558673219806674,0.5191625883774524,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0021059851544691175
6,0.6780784628573424,0.6580784628573424,0.05052883731446778,0.04951826056817842,0.525264418657234,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.002105392264551244
7,0.6729808671586592,0.6529808671586592,0.05788361396817321,0.05672594168880974,0.5289418069840865,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.00219517673447572
8,0.6818842375396064,0.6618842375396063,0.04503789130052471,0.044137133474514215,0.5225189456502624,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0020973312496492757
9,0.6888715448658826,0.6688715448658826,0.034956651470375744,0.03425751844096823,0.5174783257351878,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0019370388124012186
10,0.6817244052911894,0.6617244052911894,0.04526849618930984,0.04436312626552364,0.5226342480946549,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0019449417017652496
11,0.6820342469058702,0.6620342469058702,0.04482145879978339,0.04392502962378772,0.5224107293998916,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0019448574616299996
12,0.6792485592168392,0.6592485592168392,0.048840630187795164,0.04786381758403926,0.5244203150938975,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,True,False,True,"[3, 9]",0.001989284628805368
13,0.6809625803936337,0.6609625803936336,0.046367652007454074,0.04544029896730499,0.523183826003727,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,True,False,True,"[3, 9]",0.0019882825211664287
14,0.6916293271287098,0.6716293271287098,0.030977741842865725,0.03035818700600841,0.5154888709214329,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,True,False,True,"[3, 9]",0.0018352507614152588
15,0.7005632629356765,0.6805632629356765,0.01808791958494238,0.017726161193243533,0.5090439597924712,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.001638479334481411
16,0.6915051994976891,0.671505199497689,0.031156832350758945,0.030533695703743764,0.5155784161753795,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0016269627574204287
17,0.6831443577477541,0.663144357747754,0.043219798372884144,0.042355402405426464,0.5216098991864421,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0017370219630777162
18,0.659702019729236,0.639702019729236,0.07704224537694992,0.07550140046941092,0.538521122688475,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.002256774705994306
19,0.6569594036048971,0.6369594036048971,0.08099927340225499,0.07937928793420988,0.5404996367011274,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0026368892885812803
20,0.6564478354911519,0.6364478354911519,0.08173736042251933,0.08010261321406895,0.5408686802112597,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0028781077105041906
21,0.6502947021502306,0.6302947021502305,0.09061505965916827,0.08880275846598491,0.5453075298295842,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0031919318268677447
22,0.6597483008059397,0.6397483008059397,0.07697547135198435,0.07543596192494466,0.5384877356759922,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.003128600328978438
23,0.6545116593169,0.6345116593169,0.084530862333141,0.08284024508647818,0.5422654311665704,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0032241310401252624
24,0.6482367231391276,0.6282367231391276,0.09358429788035272,0.09171261192274566,0.5467921489401764,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,True,False,True,"[3, 9]",0.0034608706610100163
25,0.6606464094366776,0.6406464094366776,0.07567968628382982,0.07416609255815322,0.5378398431419149,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,True,False,True,"[3, 9]",0.003268426541066467
26,0.6592538540310953,0.6392538540310952,0.07768885582009055,0.07613507870368874,0.5388444279100453,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,True,False,True,"[3, 9]",0.003186519382302289
27,0.6479519561349382,0.6279519561349381,0.09399515779117285,0.09211525463534939,0.5469975788955864,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,True,False,True,"[3, 9]",0.003446988333369409
28,0.6589851227488969,0.6389851227488968,0.07807657949949964,0.07651504790950965,0.5390382897497499,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,True,False,True,"[3, 9]",0.0033002402549709357
29,0.6716609643462896,0.6516609643462896,0.05978796083351667,0.05859220161684634,0.5298939804167584,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,True,False,True,"[3, 9]",0.0029369549300160285
30,0.6743616974247968,0.6543616974247968,0.055891361383932026,0.054773534156253384,0.527945680691966,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.002668786948436187
31,0.6795481522065783,0.6595481522065783,0.04840837944513321,0.04744021185623055,0.5242041897225667,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.002418739567444887
32,0.6699658583485774,0.6499658583485773,0.06223364832119849,0.060988975354774516,0.5311168241605992,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.002440966917646026
33,0.6769610392578178,0.6569610392578178,0.052141048538713375,0.05109822756793911,0.5260705242693566,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0023253651471777273
34,0.6722296170266052,0.6522296170266052,0.05896751258605515,0.057788162334334044,0.5294837562930276,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.002341235241392677
35,0.6852996466150837,0.6652996466150837,0.040110162148198514,0.039307958905234544,0.5200550810740993,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,True,False,True,"[3, 9]",0.0021335439717845095
36,0.6804564608838523,0.6604564608838522,0.04709787781870989,0.04615592026233569,0.5235489389093549,1.3148388224713043e-06,8.330002343281321e-11,0.425538095649679,12,228,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0020829071345543288
