epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.7324624972757994,0.7124624972757994,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007102025120627794
1,0.7313402398725565,0.7113402398725565,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007166461649975493
2,0.7333659655969137,0.7133659655969137,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007089851866844102
3,0.7249800603533945,0.7049800603533944,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007552924142064119
4,0.7355178235085824,0.7155178235085824,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007204282414963665
5,0.7466940455198159,0.7266940455198159,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.000646006365955843
6,0.7564816186704966,0.7364816186704966,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005633688315299418
7,0.75940954140944,0.7394095414094399,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005037934864491789
8,0.7564963383381843,0.7364963383381843,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00047798939011735493
9,0.7500245869470722,0.7300245869470722,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004867757629207414
10,0.7506504931929815,0.7306504931929815,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,propose_prune_layer,in_progress,0,0,propose_prune_layer,False,False,False,False,False,False,False,[],0.000489561017421899
11,0.7530140775043916,0.7330140775043916,0.0,0.0,0.5,7.222202307575065e-06,1.5078914929239177e-08,0.40835535590876365,2,38,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.00048211774315586064
12,0.7337875297362032,0.7137875297362032,0.0,0.0,0.5,6.659047055718018e-06,1.5078914929239177e-08,0.45448903414089287,2,38,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.0005659273356488968
13,0.7295099500089259,0.7095099500089259,0.0,0.0,0.5,5.962948882536695e-06,1.5078914929239177e-08,0.5115133964879067,2,38,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[0],0.000640904831655335
14,0.7290779511659843,0.7090779511659843,0.0,0.0,0.5,5.3997936306796486e-06,1.5078914929239177e-08,0.557647074720036,2,38,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[0],0.0006885042658067805
15,0.7422262450298428,0.7222262450298428,0.0,0.0,0.5,7.332255330253225e-06,2.5359611019825887e-08,0.15053821616431898,1,19,1.0,stop_growth,committed,1,0,stop_growth,False,False,False,False,False,False,False,[],0.000646819438138128
16,0.7425697502046114,0.7225697502046113,0.0,0.0,0.5,7.332255330253225e-06,2.5359611019825887e-08,0.15053821616431898,1,19,1.0,keep,none,1,0,keep,False,False,False,False,False,False,False,[],0.0006202093138664121
