epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.7324624972757994,0.7124624972757994,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007102025120627794
1,0.7313402398725565,0.7113402398725565,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007166461649975493
2,0.7333659655969137,0.7133659655969137,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007089851866844102
3,0.7249800603533945,0.7049800603533944,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007552924142064119
4,0.7355178235085824,0.7155178235085824,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007204282414963665
5,0.7466940455198159,0.7266940455198159,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.000646006365955843
6,0.7564816186704966,0.7364816186704966,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005633688315299418
7,0.75940954140944,0.7394095414094399,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005037934864491789
8,0.7564963383381843,0.7364963383381843,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00047798939011735493
9,0.7500245869470722,0.7300245869470722,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004867757629207414
10,0.7506504931929815,0.7306504931929815,0.0,0.0,0.5,5.258971254922356e-06,8.965976460185992e-09,0.5938224985186997,3,57,1.0,add_layer,in_progress,0,0,add_layer,False,False,False,False,False,False,False,[],0.000489561017421899
11,0.7551447292703001,0.7351447292703001,0.0,0.0,0.5,5.440862251127557e-06,8.965976460185992e-09,0.5797741625807842,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[2],0.0004742624321902708
12,0.7796395991000502,0.7596395991000502,0.0,0.0,0.5,5.917059061440348e-06,8.965976460185992e-09,0.5429951416099452,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.00039518302777203376
13,0.7850275674816156,0.7650275674816156,0.0,0.0,0.5,6.505670689655532e-06,8.965976460185992e-09,0.4975337715440977,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.000336437083857022
14,0.7837688930246942,0.7637688930246942,0.0,0.0,0.5,6.981867499968323e-06,8.965976460185992e-09,0.46075475057325865,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.0003037210244137237
15,0.7506504931929815,0.7519408577042563,0.0,0.0,0.5,5.258971254922356e-06,8.965976460185992e-09,0.5938224985186997,3,57,1.0,add_layer,in_progress,0,1,add_layer,False,False,False,False,False,False,False,[],0.00031126714344549924
16,0.7530285239081038,0.7330285239081038,0.0,0.0,0.5,5.42897737556272e-06,8.965976460185992e-09,0.5806920899548627,3,57,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[2],0.00037508702365654197
