epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.7325003686099227,0.7125003686099227,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007096651710016883
1,0.7314157418220507,0.7114157418220507,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007158857057782068
2,0.7334791368497802,0.7134791368497801,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007078985743425299
3,0.7251308273095428,0.7051308273095428,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007536479975025865
4,0.7357064839473171,0.7157064839473171,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0007184357608972683
5,0.7469202222136679,0.7269202222136679,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0006438466716588245
6,0.7567449116319996,0.7367449116319996,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005611502972889278
7,0.7597096001976852,0.7397096001976852,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0005014709255708664
8,0.7568330572044696,0.7368330572044696,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004754170240605876
9,0.7503980684959988,0.7303980684959988,0.0,0.0,0.5,7.43730847284145e-06,1.5078914929239177e-08,0.3907338588501414,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0004837448542697465
10,0.7510609669568221,0.7310609669568221,0.0,0.0,0.5,5.258971254922356e-06,8.965976460185992e-09,0.5938224985186997,3,57,1.0,add_layer,in_progress,0,0,add_layer,False,False,False,False,False,False,False,[],0.00048612856502115275
11,0.7555828879833987,0.7355828879833987,0.0,0.0,0.5,5.440862251127557e-06,8.965976460185992e-09,0.5797741625807842,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[2],0.0004706285975434704
12,0.7801064500492128,0.7601064500492127,0.0,0.0,0.5,5.917059061440348e-06,8.965976460185992e-09,0.5429951416099452,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.00039197490283748415
13,0.785525438926469,0.765525438926469,0.0,0.0,0.5,6.505670689655532e-06,8.965976460185992e-09,0.4975337715440977,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.00033352831451912356
14,0.7843012689600413,0.7643012689600412,0.0,0.0,0.5,6.981867499968323e-06,8.965976460185992e-09,0.46075475057325865,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.00030089724481914375
15,0.7510609669568221,0.7525106932886467,0.0,0.0,0.5,5.258971254922356e-06,8.965976460185992e-09,0.5938224985186997,3,57,1.0,add_layer,in_progress,0,1,add_layer,False,False,False,False,False,False,False,[],0.00030811112079895446
16,0.7534666826212024,0.7334666826212024,0.0,0.0,0.5,5.42897737556272e-06,8.965976460185992e-09,0.5806920899548627,3,57,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[2],0.0003715510469479644
17,0.7585585881844394,0.7385585881844394,0.0,0.0,0.5,5.874059177694706e-06,8.965976460185992e-09,0.5463162340485648,3,57,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[2],0.0003915470484012802
18,0.7583502213527659,0.7383502213527658,0.0,0.0,0.5,6.4242105406779516e-06,8.965976460185992e-09,0.5038253393636429,3,57,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.0004042484987831006
19,0.7616423613689195,0.7416423613689195,0.0,0.0,0.5,6.869292342809938e-06,8.965976460185992e-09,0.46944948345734516,3,57,1.0,keep,in_progress,0,1,keep,False,False,False,False,False,False,False,[],0.000401084225020719
20,0.7527945451297451,0.7327945451297451,0.0,0.0,0.5,4.9775356783017515e-06,5.331201499700046e-09,0.5922393617061772,4,76,1.0,add_layer,in_progress,1,1,add_layer,False,False,False,False,False,False,False,[],0.0004298602092034678
