epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6843700967773885,0.6643700967773885,0.04145131037745142,0.04062228416990239,0.5207256551887257,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
1,0.6601559761348451,0.6401559761348451,0.07638728014017448,0.074859534537371,0.5381936400700873,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
2,0.6144248239964957,0.5944248239964957,0.14236787765618875,0.13952052010306498,0.5711839388280944,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
3,0.580357468144775,0.5603574681447749,0.1915200286469847,0.187689628074045,0.5957600143234923,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
4,0.5469420234966992,0.5269420234966992,0.23973160655504377,0.2349369744239429,0.6198658032775219,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
5,0.5070911262835229,0.4870911262835229,0.2972282119701012,0.29128364773069915,0.6486141059850505,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
6,0.47479202345733584,0.4547920234573358,0.3438291394353834,0.3369525566466757,0.6719145697176917,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
7,0.4263164664201633,0.4063164664201633,0.41376934580845004,0.405493958892281,0.7068846729042251,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
8,0.40629951482074883,0.3862995148207488,0.4426496684161755,0.43379667504785197,0.7213248342080878,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
9,0.3585957833492082,0.3385957833492082,0.511476290074725,0.5012467642732304,0.7557381450373625,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
10,0.32898686558847906,0.30898686558847904,0.5541958366924267,0.5431119199585781,0.7770979183462133,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
11,0.2830505083117162,0.26305050831171617,0.6204725027965429,0.608063052740612,0.8102362513982715,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
12,0.25529019671632114,0.23529019671632112,0.6605248929211931,0.6473143950627692,0.8302624464605965,0.0015268844102958288,2.7295751678464234e-06,0.5113383949553352,16,112,1.0,keep,none,0,0
