epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.680989443064584,0.660989443064584,0.04632889472719104,0.04540231683264722,0.5231644473635955,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
1,0.6544621939092855,0.6344621939092855,0.08460223068924333,0.08291018607545846,0.5423011153446217,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
2,0.6332223772995584,0.6132223772995584,0.1152468946767301,0.1129419567831955,0.557623447338365,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
3,0.5964238694992242,0.5764238694992242,0.16833953325750373,0.16497274259235364,0.5841697666287519,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
4,0.5730932298903425,0.5530932298903425,0.20200082255036433,0.19796080609935704,0.6010004112751821,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
5,0.5500405233585826,0.5300405233585825,0.23526111187623355,0.23055588963870888,0.6176305559381168,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
6,0.537280469842843,0.5172804698428429,0.2536712309293855,0.24859780631079778,0.6268356154646928,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
7,0.537280469842843,0.5172804698428429,0.2536712309293855,0.24859780631079778,0.6268356154646928,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
8,0.537280469842843,0.5172804698428429,0.2536712309293855,0.24859780631079778,0.6268356154646928,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
9,0.537280469842843,0.5172804698428429,0.2536712309293855,0.24859780631079778,0.6268356154646928,0.04163930459789636,0.003952847075210475,0.15971390804207314,2,14,1.0,keep,none,0,0
10,0.537280469842843,0.5172804698428429,0.2536712309293855,0.24859780631079778,0.6268356154646928,0.029443434645064704,0.0023503769331789967,0.43950597116914963,3,21,1.0,add_layer,in_progress,0,0
11,0.5233440213325062,0.5033440213325062,0.27377864473740265,0.2683030718426546,0.6368893223687013,0.030581782348741354,0.0023503769331789967,0.41804108101933907,3,21,1.0,keep,in_progress,0,0
12,0.49207503845165856,0.47207503845165855,0.3188933221011997,0.3125154556591757,0.6594466610505998,0.033562015327982225,0.0023503769331789967,0.3618452690423523,3,21,1.0,keep,in_progress,0,0
13,0.47789685822213657,0.45789685822213655,0.339349504801419,0.3325625147053906,0.6696747524007095,0.037245785879110656,0.0023503769331789967,0.2923834253879997,3,21,1.0,keep,in_progress,0,0
14,0.4448673450837948,0.42486734508379476,0.3870042633331485,0.37926417806648555,0.6935021316665743,0.04022601885835153,0.0023503769331789967,0.23618761341101288,3,21,1.0,keep,in_progress,0,0
15,0.4339183958275801,0.41391839582758005,0.40280133338972723,0.3947453067219327,0.7014006666948636,0.0292490240954962,0.0013975424859373688,0.4112695180900762,4,28,1.0,add_layer,in_progress,1,0
16,0.40892309953101125,0.38892309953101123,0.43886437811136747,0.4300870905491401,0.7194321890556837,0.030262975783556266,0.0013975424859373688,0.3909904843288749,4,28,1.0,keep,in_progress,1,0
17,0.3832948143276568,0.36329481432765676,0.4758406949536045,0.4663238810545324,0.7379203474768022,0.03291753576584786,0.0013975424859373688,0.33789928468304303,4,28,1.0,keep,in_progress,1,0
18,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.03619875235431091,0.0013975424859373688,0.2722749529137822,4,28,1.0,keep,in_progress,1,0
19,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.03885331233660249,0.0013975424859373688,0.2191837532679504,4,28,1.0,keep,in_progress,1,0
20,0.35341993164460883,0.3334199316446088,0.5189439739653603,0.508565094486053,0.7594719869826801,0.02819041273919339,0.0008309837338976547,0.3594721251759497,5,35,1.0,add_layer,in_progress,2,0
21,0.31421070098377996,0.29421070098377994,0.5755147872113981,0.5640044914671701,0.7877573936056991,0.02848313478838181,0.0008309837338976547,0.3528485813044631,5,35,1.0,keep,in_progress,2,0
22,0.29072766470286543,0.2707276647028654,0.6093959533936439,0.5972080343257711,0.804697976696822,0.029249491062413632,0.0008309837338976547,0.335507918322935,5,35,1.0,keep,in_progress,2,0
23,0.29072766470286543,0.2707276647028654,0.6093959533936439,0.5972080343257711,0.804697976696822,0.03019675951210041,0.0008309837338976547,0.31407368010285214,5,35,1.0,keep,in_progress,2,0
24,0.29072766470286543,0.2707276647028654,0.6093959533936439,0.5972080343257711,0.804697976696822,0.030963115786132228,0.0008309837338976547,0.2967330171213239,5,35,1.0,keep,in_progress,2,0
25,0.29072766470286543,0.2707276647028654,0.6093959533936439,0.5972080343257711,0.804697976696822,0.031255837835320655,0.0008309837338976547,0.2901094732498373,5,35,1.0,propose_reduce_entanglement,in_progress,3,0
26,0.29072766470286543,0.2707276647028654,0.6093959533936439,0.5972080343257711,0.804697976696822,0.029465037679385023,0.0007605999744826911,0.29026139930050227,5,32,0.9045084971874737,keep,in_progress,3,0
27,0.29072766470286543,0.2707276647028654,0.6093959533936439,0.5972080343257711,0.804697976696822,0.024776662004086923,0.0005864891739366184,0.2906591468649197,5,23,0.6545084971874737,keep,in_progress,3,0
28,0.29072766470286543,0.2707276647028654,0.6093959533936439,0.5972080343257711,0.804697976696822,0.018981510965361992,0.00039327104803185263,0.29115078989242466,5,12,0.34549150281252633,keep,in_progress,3,0
29,0.29072766470286543,0.2707276647028654,0.6093959533936439,0.5972080343257711,0.804697976696822,0.014293135290063895,0.0002569727440199065,0.29154853745684206,5,3,0.09549150281252633,keep,in_progress,3,0
30,0.29072766470286543,0.2707276647028654,0.6093959533936439,0.5972080343257711,0.804697976696822,0.008840485954008919,0.00012500000000000003,0.4098842697327391,6,0,0.0,add_layer,in_progress,4,0
31,0.2637896788794422,0.2437896788794422,0.6482618974470608,0.6352966594981195,0.8241309487235304,0.008926004251926316,0.00012500000000000003,0.4041830498715793,6,0,0.0,keep,in_progress,4,0
32,0.24190287811611402,0.22190287811611403,0.6798400258027499,0.6662432252866949,0.839920012901375,0.0091498940625341,0.00012500000000000003,0.389257062497727,6,0,0.0,keep,in_progress,4,0
33,0.24190287811611402,0.22190287811611403,0.6798400258027499,0.6662432252866949,0.839920012901375,0.009426637087914875,0.00012500000000000003,0.3708075274723421,6,0,0.0,keep,in_progress,4,0
34,0.24190287811611402,0.22190287811611403,0.6798400258027499,0.6662432252866949,0.839920012901375,0.00965052689852266,0.00012500000000000003,0.35588154009848977,6,0,0.0,keep,in_progress,4,0
35,0.24190287811611402,0.22190287811611403,0.6798400258027499,0.6662432252866949,0.839920012901375,0.006884423580341476,7.43254446876701e-05,0.4431242301175357,7,0,0.0,add_layer,in_progress,5,0
36,0.20387809608905785,0.18387809608905786,0.7347019245577004,0.7200078860665464,0.8673509622788502,0.006905213576480798,7.43254446876701e-05,0.4414441447174265,7,0,0.0,keep,in_progress,5,0
37,0.20387809608905785,0.18387809608905786,0.7347019245577004,0.7200078860665464,0.8673509622788502,0.006959642492999521,7.43254446876701e-05,0.4370456240359379,7,0,0.0,keep,in_progress,5,0
38,0.20387809608905785,0.18387809608905786,0.7347019245577004,0.7200078860665464,0.8673509622788502,0.007026920333758322,7.43254446876701e-05,0.43160875347317923,7,0,0.0,keep,in_progress,5,0
39,0.20387809608905785,0.18387809608905786,0.7347019245577004,0.7200078860665464,0.8673509622788502,0.0070813492502770446,7.43254446876701e-05,0.42721023279169074,7,0,0.0,keep,in_progress,5,0
40,0.20387809608905785,0.18387809608905786,0.7347019245577004,0.7200078860665464,0.8673509622788502,0.007102139246416366,7.43254446876701e-05,0.4255301473915814,7,0,0.0,propose_reduce_entanglement,in_progress,6,0
41,0.20387809608905785,0.18387809608905786,0.7347019245577004,0.7200078860665464,0.8673509622788502,0.016738057191304737,0.00026891269986351296,0.42481061528807906,7,44,0.9045084971874737,keep,in_progress,6,0
42,0.20387809608905785,0.18387809608905786,0.7347019245577004,0.7200078860665464,0.8673509622788502,0.014074754973898594,0.0002073552359915397,0.42500948907028774,7,32,0.6545084971874737,keep,in_progress,6,0
