scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,simulate,0,100,0.0504,0.6094,0.559,0.5972,0.8047,2,5,3,0,97,3,0,0,0
greedy,simulate,0,100,0.0504,0.5189,0.4685,0.5086,0.7595,2,4,3,0,97,2,0,0,1
fixed_k2,simulate,0,100,0.0504,0.2537,0.2033,0.2486,0.6268,2,2,0,0,100,0,0,0,0
fixed_k4,simulate,0,100,0.02,0.5189,0.4989,0.5086,0.7595,4,4,0,0,100,0,0,0,0
fixed_k6,simulate,0,100,0.0077,0.6798,0.6721,0.6662,0.8399,6,6,0,0,100,0,0,0,0
fixed_k8,simulate,0,100,0.0189,0.7774,0.7585,0.7619,0.8887,8,8,0,0,100,0,0,0,0
fixed_k12,simulate,0,100,0.0218,0.8725,0.8507,0.8551,0.9363,12,12,0,0,100,0,0,0,0
fixed_k16,simulate,0,100,0.0,0.5055,0.5055,0.4954,0.7527,16,16,0,0,100,0,0,0,0
ppo,simulate,0,100,0.0504,0.6094,0.559,0.5972,0.8047,2,5,4,0,96,3,0,0,1
dqn,simulate,0,100,0.0504,0.6094,0.559,0.5972,0.8047,2,5,3,0,97,3,0,0,0
