epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.6975505498976049,0.6775505498976049,0.02243464161361297,0.021985948781340713,0.5112173208068065,0.013853096194919055,0.0001746928107421711,0.4449386522032381,8,56,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[3],0.0014266322975366838
1,0.6905394593206174,0.6705394593206174,0.03255019575729712,0.031899191842151176,0.5162750978786486,0.013853096194919055,0.0001746928107421711,0.4449386522032381,8,56,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.0015123911302344789
2,0.6658054594189623,0.6458054594189623,0.06823624380470028,0.06687151892860628,0.5341181219023501,0.013853096194919055,0.0001746928107421711,0.4449386522032381,8,56,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.001982803096253063
3,0.6476461248298977,0.6276461248298977,0.09443640913302898,0.09254768095036839,0.5472182045665145,0.013853096194919055,0.0001746928107421711,0.4449386522032381,8,56,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.002734140461312204
4,0.617183253440045,0.597183253440045,0.1383880342807028,0.13562027359508874,0.5691940171403513,0.013853096194919055,0.0001746928107421711,0.4449386522032381,8,56,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.004471672077463212
5,0.6035121026688265,0.5835121026688265,0.15811267830208275,0.1549504247360411,0.5790563391510414,0.013853096194919055,0.0001746928107421711,0.4449386522032381,8,56,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.0063962109704275
6,0.5951561102881435,0.5751561102881435,0.17016864768699547,0.16676527473325556,0.5850843238434977,0.013853096194919055,0.0001746928107421711,0.4449386522032381,8,56,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.008218953691521879
7,0.5778813957810249,0.5578813957810249,0.19509248913428812,0.19119063935160235,0.597546244567144,0.013853096194919055,0.0001746928107421711,0.4449386522032381,8,56,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.011092828273379719
8,0.5577196202888599,0.5377196202888599,0.22418176267658363,0.21969812742305195,0.6120908813382918,0.013853096194919055,0.0001746928107421711,0.4449386522032381,8,56,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.015807284693968946
9,0.5415075546905238,0.5215075546905238,0.24757242145357994,0.24262097302450833,0.62378621072679,0.013853096194919055,0.0001746928107421711,0.4449386522032381,8,56,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.0220309073429202
10,0.5194865244651328,0.4994865244651328,0.27934421517077945,0.27375733086736387,0.6396721075853897,0.013853096194919055,0.0001746928107421711,0.4449386522032381,8,56,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,[3],0.03237533544253669
