epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks
0,0.6761909430319523,0.6561909430319522,0.053252138173492725,0.05218709541002287,0.5266260690867464,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
1,0.659565641646608,0.639565641646608,0.07723901075370365,0.07569423053862957,0.5386195053768519,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
2,0.6295326772542168,0.6095326772542168,0.12057036898828921,0.11815896160852342,0.5602851844941446,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
3,0.6045887503631177,0.5845887503631176,0.15655929827857795,0.15342811231300638,0.578279649139289,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
4,0.5800400011091612,0.5600400011091612,0.1919780679423443,0.1881385065834974,0.5959890339711722,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
5,0.5618954066267482,0.5418954066267482,0.21815696634432524,0.21379382701743874,0.6090784831721626,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
6,0.5188430039708104,0.4988430039708104,0.2802726821947622,0.27466722855086695,0.640136341097381,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
7,0.4934328386314333,0.47343283863143326,0.3169342971700574,0.31059561122665624,0.6584671485850286,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
8,0.47682459397261356,0.45682459397261355,0.3408965604204105,0.33407862921200226,0.6704482802102052,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
9,0.4512459222217919,0.43124592222179187,0.3778012953083367,0.37024526940217,0.6889006476541684,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
10,0.41634526063767924,0.3963452606376792,0.4281557341831205,0.41959261949945803,0.7140778670915602,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
11,0.3962728801653418,0.37627288016534177,0.4571160291944283,0.4479737086105397,0.7285580145972141,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
12,0.3762812095622807,0.3562812095622807,0.4859598765513191,0.4762406790202927,0.7429799382756596,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
13,0.351432128573613,0.331432128573613,0.5218119628140052,0.5113757235577251,0.7609059814070026,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
14,0.31946859706227004,0.29946859706227,0.5679287302520992,0.5565701556470573,0.7839643651260496,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
15,0.2908580300450443,0.2708580300450443,0.6092078631582105,0.5970237058950463,0.8046039315791053,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
16,0.26566281212054377,0.24566281212054375,0.6455593534547053,0.6326481663856112,0.8227796767273526,0.017082598428413243,8.786583206099206e-05,0.459207879060732,16,304,1.0,keep,none,0,0
