epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.7127752828399405,0.6927752828399405,0.00046849972595519596,0.00045912973143609205,0.5002342498629776,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0010525297352030607
1,0.6919658110008388,0.6719658110008387,0.030492265184188905,0.029882419880505127,0.5152461325920945,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0012694981264145021
2,0.6743043222893371,0.6543043222893371,0.0559741418419607,0.05485465900512149,0.5279870709209804,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0016693514433837957
3,0.646231202609959,0.626231202609959,0.09647784935801618,0.09454829237085585,0.548238924679008,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.002590223464822416
4,0.6370817513292881,0.6170817513292881,0.10967861588618089,0.10748504356845727,0.5548393079430904,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.003460221958448465
5,0.6285707589046627,0.6085707589046627,0.12195821828789111,0.11951905392213329,0.5609791091439456,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.004333928664260351
6,0.6186711176194846,0.5986711176194845,0.13624135388907155,0.13351652681129011,0.5681206769445357,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.005349108117887405
7,0.6129024508215758,0.5929024508215758,0.14456434739348478,0.1416730604456151,0.5722821736967424,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.006291776696414035
8,0.6129024508215758,0.5929024508215758,0.14456434739348478,0.1416730604456151,0.5722821736967424,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.006857377843530013
9,0.6129024508215758,0.5929024508215758,0.14456434739348478,0.1416730604456151,0.5722821736967424,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0071967385317996
