scheduler,backend,seed,epochs,acc_start,acc_end,acc_delta,f1_end,roc_auc_end,depth_start,depth_end,n_commits,n_rollbacks,act_keep,act_add_layer,act_stop_growth,act_propose_prune_layer,act_propose_reduce_entanglement
rule,simulate,0,100,0.0211,0.4028,0.3817,0.3947,0.7014,2,6,4,0,82,4,14,0,0
greedy,simulate,0,100,0.0211,0.202,0.1809,0.198,0.601,2,3,2,0,98,1,0,0,1
fixed_k2,simulate,0,100,0.0211,0.1314,0.1103,0.1287,0.5657,2,2,0,0,100,0,0,0,0
fixed_k4,simulate,0,100,0.0737,0.2866,0.2129,0.2808,0.6433,4,4,0,0,100,0,0,0,0
fixed_k6,simulate,0,100,0.028,0.4028,0.3748,0.3947,0.7014,6,6,0,0,100,0,0,0,0
fixed_k8,simulate,0,100,0.1482,0.4302,0.282,0.4216,0.7151,8,8,0,0,100,0,0,0,0
fixed_k10,simulate,0,100,0.0245,0.5608,0.5364,0.5496,0.7804,10,10,0,0,100,0,0,0,0
fixed_k12,simulate,0,100,0.063,0.6188,0.5558,0.6064,0.8094,12,12,0,0,100,0,0,0,0
fixed_k14,simulate,0,100,0.0507,0.6442,0.5936,0.6314,0.8221,14,14,0,0,100,0,0,0,0
fixed_k16,simulate,0,100,0.0356,0.679,0.6435,0.6655,0.8395,16,16,0,0,100,0,0,0,0
ppo,simulate,0,100,0.0211,0.1323,0.1112,0.1296,0.5661,2,2,0,0,82,0,18,0,0
dqn,simulate,0,100,0.0211,0.4925,0.4714,0.4826,0.7462,2,9,7,0,92,7,1,0,0
