epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.698502324115573,0.678502324115573,0.021061428198567378,0.02064019963459603,0.5105307140992836,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0013997701518957898
1,0.6716302879360674,0.6516302879360674,0.059832220551049864,0.058635576140028865,0.529916110275525,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0017972586732023057
2,0.6560029154895148,0.6360029154895148,0.08237928799666028,0.08073170223672707,0.5411896439983301,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.002385875034385837
3,0.6346725185444806,0.6146725185444806,0.11315464068030512,0.11089154786669901,0.5565773203401525,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.003431235404628913
4,0.6386927466342516,0.6186927466342516,0.10735428273805869,0.10520719708329752,0.5536771413690293,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.003904672883052055
5,0.6421401184945231,0.6221401184945231,0.10238043789565276,0.1003328291377397,0.5511902189478264,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0040662814395970226
6,0.6431601308921109,0.6231601308921109,0.10090877089581474,0.09889059547789844,0.5504543854479074,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.004128590345387258
7,0.6370131579762963,0.6170131579762963,0.10977758191271636,0.10758203027446203,0.5548887909563582,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.004385846294273878
8,0.6268771733236875,0.6068771733236875,0.12440171212857098,0.12191367788599956,0.5622008560642855,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00496663449126347
9,0.616236663864912,0.596236663864912,0.13975376732807387,0.1369586919815124,0.5698768836640369,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0058648882802848495
10,0.615899851436319,0.595899851436319,0.1402397180257987,0.13743492366528273,0.5701198590128993,0.02291201249051049,0.002578346344303115,0.5881828886302564,3,57,1.0,add_layer,in_progress,0,0,add_layer,False,False,False,False,False,False,False,[],0.006423198033742307
11,0.606819203634687,0.586819203634687,0.15334121535898582,0.1502743910518061,0.576670607679493,0.02370446572422311,0.002578346344303115,0.5741345526923408,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[2],0.007331539712786113
12,0.6200008071797539,0.6000008071797539,0.13432288676994109,0.13163642903454226,0.5671614433849705,0.025779135224577514,0.002578346344303115,0.5373555317215019,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.007076021268313506
13,0.6107970588709286,0.5907970588709286,0.14760199268369856,0.14464995283002458,0.5738009963418493,0.02834356775786108,0.002578346344303115,0.4918941616556544,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.007459420353283248
14,0.5972414280162275,0.5772414280162275,0.16715996534954924,0.16381676604255827,0.5835799826747746,0.030418237258215484,0.002578346344303115,0.45511514068481534,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.00867979328891241
15,0.5764938462744315,0.5564938462744314,0.19709443619328904,0.19315254746942326,0.5985472180966445,0.02624495775225554,0.001988176821917627,0.5802873655496446,4,76,1.0,add_layer,in_progress,1,0,add_layer,False,False,False,False,False,False,False,[],0.011539968496871651
16,0.5704049195528992,0.5504049195528992,0.2058794985530239,0.2017619085819634,0.602939749276512,0.0264287248817766,0.001988176821917627,0.5773817521078559,4,76,1.0,keep,in_progress,1,0,keep,False,False,False,False,False,False,False,[3],0.014061472067917287
17,0.5609901791923453,0.5409901791923453,0.21946302237433957,0.21507376192685276,0.6097315111871697,0.026909833472877752,0.001988176821917627,0.5697747573590847,4,76,1.0,keep,in_progress,1,0,keep,False,False,False,False,False,False,False,[3],0.017021448932978925
18,0.5547236610784557,0.5347236610784557,0.22850431239582214,0.2239342261479057,0.6142521561979111,0.02750451639603792,0.001988176821917627,0.5603719947451195,4,76,1.0,keep,in_progress,1,0,keep,False,False,False,False,False,False,True,[3],0.01991586604753462
19,0.5546902743279265,0.5346902743279265,0.22855248257404925,0.22398143292256825,0.6142762412870246,0.02798562498713907,0.001988176821917627,0.5527649999963483,4,76,1.0,keep,in_progress,1,0,keep,False,False,False,False,False,False,True,[3],0.021658840190502706
20,0.551823028764382,0.531823028764382,0.23268932511270812,0.22803553861045395,0.616344662556354,0.023687540850775752,0.00153309390879326,0.639693520513141,5,95,1.0,add_layer,in_progress,2,0,add_layer,False,False,False,False,False,False,True,[3],0.023262968822720647
21,0.5302536507206941,0.5102536507206941,0.2638094781118251,0.25853328854958857,0.6319047390559125,0.024086041267365146,0.00153309390879326,0.6336991129162518,5,95,1.0,keep,in_progress,2,0,keep,False,False,False,False,False,False,True,"[3, 4]",0.029547886078372332
22,0.5246376977836423,0.5046376977836423,0.27191213708895934,0.26647389434718016,0.6359560685444796,0.025129328902527177,0.00153309390879326,0.6180055500851754,5,95,1.0,keep,in_progress,2,0,keep,False,False,False,False,False,False,True,"[3, 4]",0.035091587113978695
23,0.5128424892118146,0.4928424892118146,0.2889301843719311,0.2831515806844925,0.6444650921859656,0.026418903339672443,0.00153309390879326,0.5986072396168008,5,95,1.0,keep,in_progress,2,0,keep,False,False,False,False,False,False,True,[3],0.04278628078877658
24,0.49696608916466867,0.47696608916466865,0.31183654715817544,0.3055998162150119,0.6559182735790877,0.027462190974834474,0.00153309390879326,0.5829136767857244,5,95,1.0,keep,in_progress,2,0,keep,False,False,False,False,False,False,True,[3],0.054930624843163835
25,0.4901840448464784,0.47018404484647836,0.32162163490624973,0.31518920220812474,0.6608108174531249,0.023427955517538353,0.00118217701125397,0.6474025572933703,6,114,1.0,add_layer,in_progress,3,0,add_layer,False,False,False,False,False,False,True,[3],0.06611535091211077
26,0.47839090419834995,0.45839090419834994,0.33863669860287127,0.33186396463081386,0.6693183493014356,0.02449558297535046,0.00118217701125397,0.631487306824616,6,114,1.0,keep,in_progress,3,0,keep,False,False,False,False,False,False,True,"[3, 5]",0.08074036669871396
27,0.47216516757051513,0.4521651675705151,0.34761914937164173,0.3406667663842089,0.6738095746858208,0.027290667947225195,0.00118217701125397,0.5898206401579492,6,114,1.0,keep,in_progress,3,0,keep,False,False,False,False,False,False,True,[3],0.09433653650317483
28,0.46508740302298135,0.44508740302298133,0.35783090026982933,0.35067428226443276,0.6789154501349146,0.03074558297535046,0.00118217701125397,0.5383178077621248,6,114,1.0,keep,in_progress,3,0,keep,False,False,False,False,False,False,True,[3],0.10856622443005379
29,0.45488607214133125,0.43488607214133124,0.3725493115837091,0.3650983253520349,0.6862746557918545,0.0335406679472252,0.00118217701125397,0.496651141095458,6,114,1.0,keep,in_progress,3,0,keep,False,False,False,False,False,False,True,[3],0.127044971498702
30,0.449619250541236,0.429619250541236,0.3801482462253124,0.37254528130080616,0.6900741231126561,0.02910199154413747,0.0009115830921521388,0.5549709699027167,7,133,1.0,add_layer,in_progress,4,0,add_layer,False,False,False,False,False,False,True,[3],0.14384642576594958
31,0.442576529894638,0.422576529894638,0.3903094360198558,0.38250324729945867,0.6951547180099279,0.02921443757927995,0.0009115830921521388,0.5532623376532139,7,133,1.0,keep,in_progress,4,0,keep,False,False,False,False,False,False,True,"[3, 6]",0.16221430236992843
32,0.42536227705219276,0.40536227705219274,0.4151460437856115,0.40684312290989927,0.7075730218928058,0.029508825121183118,0.0009115830921521388,0.5487890803497414,7,133,1.0,keep,in_progress,4,0,keep,False,False,False,False,False,False,True,"[3, 6]",0.19668248598297217
33,0.40981314203664243,0.3898131420366424,0.4375802307940523,0.42882862617817125,0.7187901153970262,0.029872708134704502,0.0009115830921521388,0.5432598302418021,7,133,1.0,keep,in_progress,4,0,keep,False,False,False,False,False,False,True,"[3, 6]",0.24233969179173398
34,0.41029398104858206,0.39029398104858204,0.43688647951438175,0.42814874992409413,0.7184432397571909,0.030167095676607678,0.0009115830921521388,0.5387865729383297,7,133,1.0,keep,in_progress,4,0,keep,False,False,False,False,False,False,True,"[3, 6]",0.2689115022008193
35,0.4069502369377228,0.3869502369377228,0.44171081093965836,0.4328765947208652,0.7208554054698292,0.02546195808093603,0.0007029266564879365,0.5950393856374351,8,152,1.0,add_layer,in_progress,5,0,add_layer,False,False,False,False,False,False,True,"[3, 6]",0.2906356286485632
36,0.3968369466897288,0.3768369466897288,0.4563021978217735,0.44717615386533804,0.7281510989108868,0.025963696503010773,0.0007029266564879365,0.5871062046205596,8,152,1.0,keep,in_progress,5,0,keep,False,False,False,False,False,False,True,"[3, 6, 7]",0.32195998316131047
37,0.38367479164334756,0.36367479164334754,0.4752924662482362,0.46578661692327145,0.737646233124118,0.027277264745464193,0.0007029266564879365,0.5663368670794742,8,152,1.0,keep,in_progress,5,0,keep,False,False,False,False,False,False,True,"[3, 6]",0.36599562000911656
38,0.3812419512359866,0.36124195123598657,0.4788025519607755,0.46922650092156,0.7394012759803877,0.028900924386221546,0.0007029266564879365,0.5406645540310543,8,152,1.0,keep,in_progress,5,0,keep,False,False,False,False,False,False,True,"[3, 6]",0.3972077114313648
39,0.3865944340211107,0.3665944340211107,0.4710800259398201,0.4616584254210237,0.7355400129699101,0.030214492628674965,0.0007029266564879365,0.5198952164899687,8,152,1.0,keep,in_progress,5,0,keep,False,False,False,False,False,False,True,"[3, 6]",0.4054370865408061
40,0.373109065957786,0.35310906595778596,0.49053662392470654,0.4807258914462124,0.7452683119623533,0.025829168580680267,0.0005420305495517523,0.5663023001215075,9,171,1.0,add_layer,in_progress,6,0,add_layer,False,False,False,False,False,False,True,"[3, 6]",0.43704612277698773
41,0.37375687407902264,0.3537568740790226,0.4896019707415631,0.47980993132673183,0.7448009853707815,0.026140972878843507,0.0005420305495517523,0.5610908680854616,9,171,1.0,keep,in_progress,6,0,keep,False,False,False,False,False,False,True,"[3, 6, 8]",0.4547174585073649
42,0.3659936625645242,0.3459936625645242,0.5008026798953626,0.4907866262974554,0.7504013399476813,0.026957287129273172,0.0005420305495517523,0.5474471618850336,9,171,1.0,keep,in_progress,6,0,keep,False,False,False,False,False,False,True,"[3, 6]",0.480838865747343
43,0.3567632711274893,0.33676327112748927,0.5141202263345992,0.5038378218079071,0.7570601131672996,0.02796630703380603,0.0005420305495517523,0.5305826135562692,9,171,1.0,keep,in_progress,6,0,keep,False,False,False,False,False,False,True,"[3, 6]",0.514823238478098
44,0.35541131008842314,0.3354113100884231,0.5160708265929548,0.5057494100610956,0.7580354132964774,0.028782621284235692,0.0005420305495517523,0.5169389073558412,9,171,1.0,keep,in_progress,6,0,keep,False,True,False,False,False,False,True,"[3, 6]",0.5378660761040948
45,0.3544781457936148,0.3344781457936148,0.5174171897365247,0.5070688459417942,0.7587085948682624,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,committed,7,0,add_layer,True,True,False,False,False,False,True,"[3, 6]",0.5535164235915644
46,0.34942731136381333,0.3294273113638133,0.5247044995472323,0.5142104095562876,0.7623522497736162,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,keep,False,True,False,False,False,False,True,"[3, 6]",0.5726844201525372
47,0.3468442532626558,0.32684425326265576,0.5284313183340705,0.5178626919673891,0.7642156591670353,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,keep,False,True,False,False,False,False,True,"[3, 6]",0.5891117979334815
48,0.3443879798577061,0.32438797985770607,0.5319752130173048,0.5213357087569587,0.7659876065086524,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,keep,False,True,False,False,False,False,True,"[3, 6]",0.6035996908246118
49,0.33959737847033294,0.3195973784703329,0.5388870603515612,0.52810931914453,0.7694435301757806,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,keep,False,True,False,False,False,False,True,"[3, 6]",0.6211583774023134
50,0.3442550252589181,0.3242550252589181,0.5321670390146904,0.5215236982343966,0.7660835195073452,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,propose_reduce_entanglement,True,True,False,False,False,False,True,"[3, 6]",0.6230767569348072
51,0.33959737847033294,0.3195973784703329,0.5388870603515612,0.52810931914453,0.7694435301757806,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,keep,False,True,False,False,False,False,True,"[3, 6]",0.6328446170684306
52,0.33959737847033294,0.3195973784703329,0.5388870603515612,0.52810931914453,0.7694435301757806,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,keep,False,True,False,False,False,False,True,"[3, 6]",0.6387053331486047
53,0.33959737847033294,0.3195973784703329,0.5388870603515612,0.52810931914453,0.7694435301757806,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,keep,False,True,False,False,False,False,True,"[3, 6]",0.6422217627967091
54,0.33959737847033294,0.3195973784703329,0.5388870603515612,0.52810931914453,0.7694435301757806,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,keep,False,True,False,False,False,False,True,"[3, 6]",0.6443316205855718
55,0.33959737847033294,0.3195973784703329,0.5388870603515612,0.52810931914453,0.7694435301757806,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,propose_reduce_entanglement,True,True,False,False,False,False,True,"[3, 6]",0.6455975352588894
56,0.3454516091913442,0.3254516091913442,0.5304406157966467,0.5198318034807138,0.7652203078983233,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,keep,False,True,False,False,False,False,True,"[3, 6]",0.6354922805889499
57,0.3481678146749361,0.3281678146749361,0.5265216928654797,0.5159912590081701,0.7632608464327398,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,keep,False,True,False,False,False,False,True,"[3, 6]",0.6242789696545399
58,0.3569604854093458,0.33696048540934576,0.5138356869003813,0.5035589731623736,0.7569178434501906,0.029094425582398935,0.0005420305495517523,0.5117274753197953,9,171,1.0,keep,none,7,0,keep,False,True,False,False,False,False,True,"[3, 6]",0.6004996030336044
