epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.6779895505213223,0.6579895505213222,0.050657119432517383,0.049643977043867034,0.5253285597162587,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,"[3, 9]",0.002108240687727512
1,0.6822622109061903,0.6622622109061903,0.044492553879396546,0.04360270280180861,0.5222462769396983,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0020393051468193635
2,0.6693049893377444,0.6493049893377444,0.0631871456676607,0.06192340275430749,0.5315935728338304,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0022264416317977244
3,0.6613993034726146,0.6413993034726145,0.07459341585252566,0.07310154753547514,0.5372967079262628,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.00251000831128049
4,0.6406660596339735,0.6206660596339735,0.10450720006640679,0.10241705606507866,0.5522536000332035,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0032808204318944614
5,0.6258583394451721,0.6058583394451721,0.12587167876904914,0.12335424519366817,0.5629358393845245,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0043514028228177105
6,0.6161963937742618,0.5961963937742618,0.13981186874294937,0.1370156313680904,0.5699059343714747,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0054980569470099595
7,0.6015123464307394,0.5815123464307393,0.16099791309949607,0.15777795483750615,0.580498956549748,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.007162098527662598
8,0.5883323569507813,0.5683323569507813,0.1800139129263003,0.1764136346677743,0.5900069564631502,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.009311106536756982
9,0.568240106157272,0.548240106157272,0.20900287670282502,0.20482281916876852,0.6045014383514125,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.01303408906157922
10,0.5572828888342037,0.5372828888342037,0.22481187587043183,0.2203156383530232,0.6124059379352159,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.017050474414288534
11,0.5421005826791397,0.5221005826791397,0.2467168046758914,0.24178246858237357,0.6233584023379457,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.022633478238232224
12,0.5274767098489348,0.5074767098489348,0.2678160296509382,0.26245970905791943,0.6339080148254691,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.030023941367201705
13,0.5277674579970267,0.5077674579970267,0.26739654018608183,0.2620486093823602,0.6336982700930409,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.03436677403304684
14,0.5249656922548571,0.5049656922548571,0.27143890888059863,0.2660101307029866,0.6357194544402993,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.03787429123293608
15,0.5196812927454407,0.4996812927454407,0.2790632048110797,0.2734819407148581,0.6395316024055399,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.041810441896104715
16,0.51170592340425,0.49170592340425,0.2905700138446834,0.2847586135677897,0.6452850069223417,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0472894985697078
17,0.5005377283168064,0.4805377283168064,0.30668341030615154,0.3005497421000285,0.6533417051530758,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.05575348865297966
18,0.4941497785466507,0.4741497785466507,0.31589990110135524,0.30958190307932815,0.6579499505506776,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.06427564702924338
19,0.48540174229450134,0.4654017422945013,0.3285215087368326,0.3219510785620959,0.6642607543684163,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.07474926866136966
20,0.48424705311601346,0.46424705311601344,0.3301874864867791,0.3235837367570435,0.6650937432433895,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.08180069663623643
21,0.48418636105270946,0.46418636105270944,0.3302750525859047,0.32366955153418664,0.6651375262929524,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.08607228297577744
22,0.47877728232401423,0.4587772823240142,0.33807923485209324,0.3313176501550514,0.6690396174260467,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.09243060704951961
23,0.48168466919391,0.46168466919391,0.33388447670767574,0.3272067871735222,0.6669422383538379,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.0941645047947273
24,0.4614940267817645,0.44149402678176447,0.36301539924720183,0.3557550912622578,0.6815076996236009,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.11179970503384312
25,0.45288396320376134,0.4328839632037613,0.3754379408400501,0.3679291820232491,0.687718970420025,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.13110933268748043
26,0.43552914839214835,0.41552914839214833,0.40047735046580824,0.39246780345649207,0.7002386752329042,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.16362132315582523
27,0.4275100272067356,0.40751002720673557,0.4120472843648312,0.40380633867753457,0.7060236421824155,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.1943537757943145
28,0.41690458972247885,0.39690458972247883,0.4273487379563139,0.4188017631971876,0.713674368978157,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.22912664640229674
29,0.4136550495040866,0.3936550495040866,0.43203715264162956,0.423396409588797,0.7160185763208148,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.2553197720034054
30,0.39418312137164613,0.3741831213716461,0.46013111907135174,0.4509284966899247,0.7300655595356759,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.3057469312345732
31,0.40300898122931034,0.3830089812293103,0.4473972280633238,0.43844928350205736,0.7236986140316619,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.3197278637532764
32,0.3899132309254272,0.36991323092542716,0.4662916881756931,0.45696585441217924,0.7331458440878466,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.35252846035298013
33,0.3716387384406139,0.3516387384406139,0.4926580025384304,0.48280484248766176,0.7463290012692152,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.40823989268388594
34,0.37803230532407567,0.35803230532407565,0.483433407410077,0.47376473926187546,0.7417167037050385,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.4289137845480109
35,0.3581088622877092,0.3381088622877092,0.5121788164944321,0.5019352401645434,0.756089408247216,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.48101908341793526
36,0.35179543030291505,0.33179543030291503,0.5212877935320805,0.5108620376614389,0.7606438967660403,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,False,False,False,False,False,True,"[3, 9]",0.5246236432922455
37,0.337348693677377,0.317348693677377,0.5421314475871057,0.5312888186353636,0.7710657237935529,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,"[3, 9]",0.5778510135671624
38,0.3363532353669296,0.3163532353669296,0.5435676881158136,0.5326963343534973,0.7717838440579068,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,"[3, 9]",0.6115746515129423
39,0.33265180541645567,0.31265180541645565,0.5489080862552942,0.5379299245301883,0.7744540431276471,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,"[3, 9]",0.6383515056254251
40,0.3423960894751034,0.3223960894751034,0.5348490990115375,0.5241521170313068,0.7674245495057688,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,"[3, 9]",0.6368579502498488
41,0.34691445187950026,0.32691445187950025,0.5283300362436875,0.5177634355188137,0.7641650181218438,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,"[3, 9]",0.6274827643152631
42,0.33644938792524964,0.3164493879252496,0.5434289598539177,0.5325603806568393,0.7717144799269589,0.02364257817841022,0.00014777212640674624,0.3949739091338275,14,266,1.0,keep,none,0,0,keep,False,True,False,False,False,False,True,"[3, 9]",0.6411815705654351
