epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.698502324115573,0.678502324115573,0.021061428198567378,0.02064019963459603,0.5105307140992836,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0013997701518957898
1,0.6716302879360674,0.6516302879360674,0.059832220551049864,0.058635576140028865,0.529916110275525,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0017972586732023057
2,0.6560029154895148,0.6360029154895148,0.08237928799666028,0.08073170223672707,0.5411896439983301,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.002385875034385837
3,0.6346725185444806,0.6146725185444806,0.11315464068030512,0.11089154786669901,0.5565773203401525,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.003431235404628913
4,0.6386927466342516,0.6186927466342516,0.10735428273805869,0.10520719708329752,0.5536771413690293,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.003904672883052055
5,0.6421401184945231,0.6221401184945231,0.10238043789565276,0.1003328291377397,0.5511902189478264,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0040662814395970226
6,0.6431601308921109,0.6231601308921109,0.10090877089581474,0.09889059547789844,0.5504543854479074,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.004128590345387258
7,0.6370131579762963,0.6170131579762963,0.10977758191271636,0.10758203027446203,0.5548887909563582,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.004385846294273878
8,0.6268771733236875,0.6068771733236875,0.12440171212857098,0.12191367788599956,0.5622008560642855,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00496663449126347
9,0.616236663864912,0.596236663864912,0.13975376732807387,0.1369586919815124,0.5698768836640369,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0058648882802848495
10,0.615899851436319,0.595899851436319,0.1402397180257987,0.13743492366528273,0.5701198590128993,0.02291201249051049,0.002578346344303115,0.5881828886302564,3,57,1.0,add_layer,in_progress,0,0,add_layer,False,False,False,False,False,False,False,[],0.006423198033742307
11,0.606819203634687,0.586819203634687,0.15334121535898582,0.1502743910518061,0.576670607679493,0.02370446572422311,0.002578346344303115,0.5741345526923408,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[2],0.007331539712786113
12,0.6200008071797539,0.6000008071797539,0.13432288676994109,0.13163642903454226,0.5671614433849705,0.025779135224577514,0.002578346344303115,0.5373555317215019,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.007076021268313506
13,0.6107970588709286,0.5907970588709286,0.14760199268369856,0.14464995283002458,0.5738009963418493,0.02834356775786108,0.002578346344303115,0.4918941616556544,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.007459420353283248
14,0.5972414280162275,0.5772414280162275,0.16715996534954924,0.16381676604255827,0.5835799826747746,0.030418237258215484,0.002578346344303115,0.45511514068481534,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.00867979328891241
15,0.5764938462744315,0.5564938462744314,0.19709443619328904,0.19315254746942326,0.5985472180966445,0.031210690491928105,0.002578346344303115,0.4410668047468999,3,57,1.0,propose_reduce_entanglement,in_progress,1,0,propose_reduce_entanglement,False,False,False,False,False,False,False,[],0.011539968496871651
16,0.5612384518467891,0.5412384518467891,0.21910481626491263,0.21472271993961436,0.6095524081324564,0.0294224770485936,0.0023599621553194203,0.4413899998236561,3,52,0.9045084971874737,keep,in_progress,1,0,keep,False,False,False,False,False,False,False,[],0.01546693431533825
17,0.5680751257256164,0.5480751257256163,0.209240909355625,0.2050560911685125,0.6046204546778124,0.024740873474804387,0.0018197374460028545,0.44223613551960056,3,37,0.6545084971874737,keep,in_progress,1,0,keep,False,False,False,False,False,False,False,[],0.016751740136344784
18,0.5637015370746835,0.5437015370746835,0.21555109352952895,0.21124007165893838,0.6077755467647645,0.018954093213894962,0.0012202272170324655,0.44328201675797696,3,20,0.34549150281252633,keep,in_progress,1,0,keep,False,False,False,False,False,False,False,[],0.01819171165456735
19,0.5649628874966778,0.5449628874966778,0.21373122565765734,0.20945660114450418,0.6068656128288287,0.014272489640105749,0.0007973257575350671,0.4441281524539214,3,5,0.09549150281252633,keep,in_progress,1,0,keep,False,False,False,False,False,False,False,[],0.018856925060830747
20,0.5710091042180061,0.5510091042180061,0.20500778499782712,0.20090762929787057,0.6025038924989136,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,committed,2,0,keep,False,False,False,False,False,False,False,[],0.01836742941675806
21,0.5664982490122008,0.5464982490122008,0.21151601643023987,0.20728569610163508,0.6057580082151199,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.01872681537362396
22,0.5721634653923291,0.5521634653923291,0.20334228049007497,0.19927543488027347,0.6016711402450374,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.01813116330591459
23,0.5645532800988772,0.5445532800988772,0.21432220444542327,0.2100357603565148,0.6071611022227117,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.018884616945119545
24,0.5612384518467891,0.5412384518467891,0.21910481626491263,0.21472271993961436,0.6095524081324564,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.019873723384286987
25,0.5612384518467891,0.5412384518467891,0.21910481626491263,0.21472271993961436,0.6095524081324564,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.02046718724778745
26,0.5612384518467891,0.5412384518467891,0.21910481626491263,0.21472271993961436,0.6095524081324564,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.020823265565887733
27,0.5612384518467891,0.5412384518467891,0.21910481626491263,0.21472271993961436,0.6095524081324564,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.0210369125567479
28,0.5663572684481681,0.5463572684481681,0.21171942223608697,0.20748503379136524,0.6058597111180435,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.02034984447427246
29,0.5635599001265647,0.5435599001265646,0.21575544636190358,0.2114403374346655,0.6078777231809518,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,True,False,False,[],0.020373196047709673
30,0.5729754017917251,0.5529754017917251,0.20217082413544207,0.19812740765273323,0.601085412067721,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.019009812834853455
31,0.5668661626517206,0.5468661626517206,0.21098519311539377,0.20676548925308588,0.6054925965576969,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.01905682870359633
32,0.5626491007490398,0.5426491007490398,0.21706954155383096,0.21272815072275433,0.6085347707769155,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.01974433391485128
33,0.5639356457262839,0.5439356457262838,0.21521332314776542,0.2109090566848101,0.6076066615738827,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,True,False,False,[],0.019950011370695818
34,0.569091509415339,0.549091509415339,0.20777447783099268,0.20361898827437283,0.6038872389154963,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,True,False,False,[],0.019293992652883285
35,0.5707929164228533,0.5507929164228533,0.20531969928891458,0.20121330530313628,0.6026598496444573,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,True,False,False,[],0.0186596914229197
36,0.5722786035036803,0.5522786035036803,0.20317616000046135,0.19911263680045213,0.6015880800002307,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.018075302248818627
37,0.5741460568142929,0.5541460568142929,0.20048181097346296,0.1964721747539937,0.6002409054867315,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.017476646604714603
38,0.5824884911165247,0.5624884911165247,0.18844540309259183,0.18467649503074,0.594222701546296,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.016112715565759106
39,0.5922637171104549,0.5722637171104549,0.17434177303353793,0.17085493757286715,0.587170886516769,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.01430674903118143
40,0.58791931699465,0.56791931699465,0.1806098441860482,0.17699764730232723,0.5903049220930241,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.013638961188164461
41,0.5784635169063188,0.5584635169063188,0.19425260870535455,0.19036755653124746,0.5971263043526773,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.01427460050067339
42,0.5786513830201471,0.558651383020147,0.1939815567448463,0.19010192560994937,0.5969907783724231,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.014633486921044665
43,0.593059772345908,0.573059772345908,0.17319322991500796,0.1697293653167078,0.5865966149575039,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.013346773351205623
44,0.5824212788800741,0.5624212788800741,0.18854237645350735,0.1847715289244372,0.5942711882267537,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.013642253788658699
45,0.5869898984048711,0.5669898984048711,0.18195080305169375,0.1783117869906599,0.5909754015258468,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,True,False,False,[],0.013333884630015384
46,0.5921950548708262,0.5721950548708262,0.17444083844924807,0.1709520216802631,0.587220419224624,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.01264575145626446
47,0.5806814023347331,0.5606814023347331,0.19105265858500498,0.18723160541330489,0.5955263292925025,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.013418239381162666
48,0.5725491101708833,0.5525491101708833,0.2027858748075556,0.1987301573114045,0.6013929374037779,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.014893947582202773
49,0.563484864531352,0.543484864531352,0.21586370721201564,0.21154643306777532,0.6079318536060079,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.017111667283281007
50,0.5616229744004975,0.5416229744004974,0.21855002972082327,0.2141790291264068,0.6092750148604116,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.01874589370436356
51,0.565140026982262,0.5451400269822619,0.21347565000395052,0.2092061370038715,0.6067378250019753,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.019161903318934553
52,0.5817365538108282,0.5617365538108282,0.18953029315996517,0.18573968729676585,0.5947651465799826,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.017207910777424496
53,0.5890843112186788,0.5690843112186788,0.17892899838597787,0.1753504184182583,0.5894644991929889,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.015264678631992292
54,0.5953643893007917,0.5753643893007917,0.16986814413390328,0.16647078125122522,0.5849340720669516,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.013522020555665648
55,0.5937386506050503,0.5737386506050502,0.1722137489466885,0.16876947396775474,0.5861068744733442,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.012619001883023135
56,0.5994551060558744,0.5794551060558744,0.16396608562130388,0.1606867639088778,0.5819830428106519,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.011595301740019284
57,0.5868916572596456,0.5668916572596456,0.1820925447126741,0.17845069381842063,0.591046272356337,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.012115708712849045
58,0.6001745507158895,0.5801745507158895,0.16292807572372026,0.15966951420924586,0.5814640378618601,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,False,False,False,[],0.011236411030297494
59,0.5954103450482409,0.5754103450482408,0.1698018394917894,0.1664058027019536,0.5849009197458948,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,True,False,False,[],0.011101095227004896
60,0.5918012670605344,0.5718012670605344,0.17500899284297455,0.17150881298611506,0.5875044964214873,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,True,False,False,[],0.01134237855946615
61,0.5992970804492442,0.5792970804492442,0.16419408389951784,0.1609102022215275,0.5820970419497589,0.012484276196771242,0.0006522757635813239,0.44445134753067767,3,0,0.0,keep,none,2,0,keep,False,False,False,False,True,False,False,[],0.010841936911140437
