epoch,training_loss,validation_loss,accuracy,f1,roc_auc,grad_norm,spatial_grad_variance,near_zero_ratio,depth,n_entangling_gates,entangler_strength,scheduler_action,mutation_status,n_commits,n_rollbacks,proposed_action,vetoed,is_solved,is_converged,is_true_bp,is_local_min,is_ambiguous,is_dead_layer,dead_layers,te_p_solved
0,0.698502324115573,0.678502324115573,0.021061428198567378,0.02064019963459603,0.5105307140992836,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0013997701518957898
1,0.6716302879360674,0.6516302879360674,0.059832220551049864,0.058635576140028865,0.529916110275525,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0017972586732023057
2,0.6560029154895148,0.6360029154895148,0.08237928799666028,0.08073170223672707,0.5411896439983301,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.002385875034385837
3,0.6346725185444806,0.6146725185444806,0.11315464068030512,0.11089154786669901,0.5565773203401525,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.003431235404628913
4,0.6386927466342516,0.6186927466342516,0.10735428273805869,0.10520719708329752,0.5536771413690293,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.003904672883052055
5,0.6421401184945231,0.6221401184945231,0.10238043789565276,0.1003328291377397,0.5511902189478264,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0040662814395970226
6,0.6431601308921109,0.6231601308921109,0.10090877089581474,0.09889059547789844,0.5504543854479074,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.004128590345387258
7,0.6370131579762963,0.6170131579762963,0.10977758191271636,0.10758203027446203,0.5548887909563582,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.004385846294273878
8,0.6268771733236875,0.6068771733236875,0.12440171212857098,0.12191367788599956,0.5622008560642855,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.00496663449126347
9,0.616236663864912,0.596236663864912,0.13975376732807387,0.1369586919815124,0.5698768836640369,0.02724712827274629,0.003343701524882111,0.3840274859723295,2,38,1.0,keep,none,0,0,keep,False,False,False,False,False,False,False,[],0.0058648882802848495
10,0.615899851436319,0.595899851436319,0.1402397180257987,0.13743492366528273,0.5701198590128993,0.02291201249051049,0.002578346344303115,0.5881828886302564,3,57,1.0,add_layer,in_progress,0,0,add_layer,False,False,False,False,False,False,False,[],0.006423198033742307
11,0.606819203634687,0.586819203634687,0.15334121535898582,0.1502743910518061,0.576670607679493,0.02370446572422311,0.002578346344303115,0.5741345526923408,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[2],0.007331539712786113
12,0.6200008071797539,0.6000008071797539,0.13432288676994109,0.13163642903454226,0.5671614433849705,0.025779135224577514,0.002578346344303115,0.5373555317215019,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.007076021268313506
13,0.6107970588709286,0.5907970588709286,0.14760199268369856,0.14464995283002458,0.5738009963418493,0.02834356775786108,0.002578346344303115,0.4918941616556544,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.007459420353283248
14,0.5972414280162275,0.5772414280162275,0.16715996534954924,0.16381676604255827,0.5835799826747746,0.030418237258215484,0.002578346344303115,0.45511514068481534,3,57,1.0,keep,in_progress,0,0,keep,False,False,False,False,False,False,False,[],0.00867979328891241
15,0.5764938462744315,0.5564938462744314,0.19709443619328904,0.19315254746942326,0.5985472180966445,0.02624495775225554,0.001988176821917627,0.5802873655496446,4,76,1.0,add_layer,in_progress,1,0,add_layer,False,False,False,False,False,False,False,[],0.011539968496871651
16,0.5704049195528992,0.5504049195528992,0.2058794985530239,0.2017619085819634,0.602939749276512,0.0264287248817766,0.001988176821917627,0.5773817521078559,4,76,1.0,keep,in_progress,1,0,keep,False,False,False,False,False,False,False,[3],0.014061472067917287
17,0.5609901791923453,0.5409901791923453,0.21946302237433957,0.21507376192685276,0.6097315111871697,0.026909833472877752,0.001988176821917627,0.5697747573590847,4,76,1.0,keep,in_progress,1,0,keep,False,False,False,False,False,False,False,[3],0.017021448932978925
18,0.5547236610784557,0.5347236610784557,0.22850431239582214,0.2239342261479057,0.6142521561979111,0.02750451639603792,0.001988176821917627,0.5603719947451195,4,76,1.0,keep,in_progress,1,0,keep,False,False,False,False,False,False,True,[3],0.01991586604753462
19,0.5546902743279265,0.5346902743279265,0.22855248257404925,0.22398143292256825,0.6142762412870246,0.02798562498713907,0.001988176821917627,0.5527649999963483,4,76,1.0,keep,in_progress,1,0,keep,False,False,False,False,False,False,True,[3],0.021658840190502706
20,0.551823028764382,0.531823028764382,0.23268932511270812,0.22803553861045395,0.616344662556354,0.023687540850775752,0.00153309390879326,0.639693520513141,5,95,1.0,add_layer,in_progress,2,0,add_layer,False,False,False,False,False,False,True,[3],0.023262968822720647
21,0.5302536507206941,0.5102536507206941,0.2638094781118251,0.25853328854958857,0.6319047390559125,0.024086041267365146,0.00153309390879326,0.6336991129162518,5,95,1.0,keep,in_progress,2,0,keep,False,False,False,False,False,False,True,"[3, 4]",0.029547886078372332
22,0.5246376977836423,0.5046376977836423,0.27191213708895934,0.26647389434718016,0.6359560685444796,0.025129328902527177,0.00153309390879326,0.6180055500851754,5,95,1.0,keep,in_progress,2,0,keep,False,False,False,False,False,False,True,"[3, 4]",0.035091587113978695
23,0.5128424892118146,0.4928424892118146,0.2889301843719311,0.2831515806844925,0.6444650921859656,0.026418903339672443,0.00153309390879326,0.5986072396168008,5,95,1.0,keep,in_progress,2,0,keep,False,False,False,False,False,False,True,[3],0.04278628078877658
24,0.49696608916466867,0.47696608916466865,0.31183654715817544,0.3055998162150119,0.6559182735790877,0.027462190974834474,0.00153309390879326,0.5829136767857244,5,95,1.0,keep,in_progress,2,0,keep,False,False,False,False,False,False,True,[3],0.054930624843163835
25,0.4901840448464784,0.47018404484647836,0.32162163490624973,0.31518920220812474,0.6608108174531249,0.023427955517538353,0.00118217701125397,0.6474025572933703,6,114,1.0,add_layer,in_progress,3,0,add_layer,False,False,False,False,False,False,True,[3],0.06611535091211077
26,0.47839090419834995,0.45839090419834994,0.33863669860287127,0.33186396463081386,0.6693183493014356,0.02449558297535046,0.00118217701125397,0.631487306824616,6,114,1.0,keep,in_progress,3,0,keep,False,False,False,False,False,False,True,"[3, 5]",0.08074036669871396
27,0.47216516757051513,0.4521651675705151,0.34761914937164173,0.3406667663842089,0.6738095746858208,0.027290667947225195,0.00118217701125397,0.5898206401579492,6,114,1.0,keep,in_progress,3,0,keep,False,False,False,False,False,False,True,[3],0.09433653650317483
28,0.46508740302298135,0.44508740302298133,0.35783090026982933,0.35067428226443276,0.6789154501349146,0.03074558297535046,0.00118217701125397,0.5383178077621248,6,114,1.0,keep,in_progress,3,0,keep,False,False,False,False,False,False,True,[3],0.10856622443005379
29,0.45488607214133125,0.43488607214133124,0.3725493115837091,0.3650983253520349,0.6862746557918545,0.0335406679472252,0.00118217701125397,0.496651141095458,6,114,1.0,keep,in_progress,3,0,keep,False,False,False,False,False,False,True,[3],0.127044971498702
30,0.449619250541236,0.429619250541236,0.3801482462253124,0.37254528130080616,0.6900741231126561,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,stop_growth,committed,4,0,stop_growth,False,False,False,False,False,False,True,[3],0.14384642576594958
31,0.44551570527578355,0.42551570527578353,0.38606881362605183,0.37834743735353077,0.6930344068130259,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.15866475441826502
32,0.44889782577442633,0.4288978257744263,0.38118911300760894,0.37356533074745674,0.6905945565038045,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.16363288624367017
33,0.44977849816928994,0.4297784981692899,0.3799184848228395,0.37232011512638274,0.6899592424114198,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.16562040558596056
34,0.4540000781569172,0.43400007815691716,0.37382761772194906,0.36635106536751005,0.6869138088609745,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.16221034811168933
35,0.4471472465957548,0.42714724659575476,0.38371483682620877,0.37604054008968457,0.6918574184131043,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,stop_growth,none,4,0,stop_growth,False,False,False,False,False,False,True,[3],0.1677692392952145
36,0.4439626022453286,0.42396260224532856,0.38830962019141746,0.3805434277875891,0.6941548100957087,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,True,False,True,[3],0.1748777116062405
37,0.4420887030124128,0.4220887030124128,0.3910132693515903,0.3831930039645585,0.6955066346757952,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.18143493716106374
38,0.4415622650671075,0.4215622650671075,0.39177281046442436,0.38393735425513587,0.6958864052322122,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.186022852702026
39,0.4340708532459109,0.41407085324591086,0.4025813688559936,0.3945297414788737,0.7012906844279968,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.19853735335129463
40,0.4343398981541718,0.41433989815417177,0.4021931926790193,0.3941493288254389,0.7010965963395097,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,stop_growth,none,4,0,stop_growth,False,False,False,False,False,False,True,[3],0.205680524768814
41,0.440384074736099,0.42038407473609896,0.39347269551854147,0.3856032416081706,0.6967363477592707,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.20204831609266305
42,0.43794042190896404,0.417940421908964,0.39699838131732224,0.38905841369097577,0.6984991906586611,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.20300260187572927
43,0.44983239928186963,0.4298323992818696,0.3798407166615646,0.3722439023283333,0.6899203583307822,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.18918181178236476
44,0.4478453545097691,0.42784535450976907,0.38270761144168364,0.37505345921284994,0.6913538057208418,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.18314545007429464
45,0.44878226924157527,0.42878226924157525,0.3813558371929372,0.37372872044907846,0.6906779185964687,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,stop_growth,none,4,0,stop_growth,False,False,False,False,False,False,True,[3],0.1784525044905625
46,0.4475395479337775,0.42753954793377746,0.38314882710463505,0.37548585056254236,0.6915744135523175,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.17706032610064038
47,0.4499977407284856,0.42999774072848557,0.37960216313881756,0.3720101198760412,0.6898010815694088,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.1734313677595432
48,0.44295339999105793,0.4229533999910579,0.3897656903894706,0.3819703765816812,0.6948828451947353,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.17950278609613585
49,0.450973707963758,0.430973707963758,0.37819404420176317,0.3706301633177279,0.6890970221008816,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,True,False,True,[3],0.17381263278588882
50,0.43998623812191306,0.41998623812191305,0.3940466914991877,0.3861657576692039,0.6970233457495938,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,stop_growth,none,4,0,stop_growth,False,False,False,False,True,False,True,[3],0.18343149611887555
51,0.4418966099900663,0.4218966099900663,0.3912904198671674,0.383464611469824,0.6956452099335837,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,True,False,True,[3],0.1868052030794588
52,0.4511820321068445,0.43118203210684447,0.37789347553477937,0.3703356060240838,0.6889467377673897,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,True,False,True,[3],0.17796447902229423
53,0.4525758444539118,0.4325758444539118,0.37588249249183125,0.36836484264199465,0.6879412462459156,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,True,False,True,[3],0.1711403046370064
54,0.449030480578583,0.429030480578583,0.380997719551893,0.37337776516085514,0.6904988597759465,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.1709678481757685
55,0.4339183958275801,0.41391839582758005,0.40280133338972723,0.3947453067219327,0.7014006666948636,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,stop_growth,none,4,0,stop_growth,False,False,False,False,False,False,True,[3],0.18971197624683023
56,0.4487240180671919,0.4287240180671919,0.38143988159400966,0.3738110839621295,0.6907199407970048,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.18245863314631075
57,0.4444242493638921,0.42442424936389206,0.38764355884592117,0.37989068766900275,0.6938217794229606,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.18313487246177387
58,0.44702182085560677,0.42702182085560675,0.3838958002371855,0.3762178842324418,0.6919479001185928,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,False,False,True,[3],0.18046966008894133
59,0.4420153401786809,0.42201534017868086,0.3911191167527329,0.38329673441767825,0.6955595583763665,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,keep,none,4,0,keep,False,False,False,False,True,False,True,[3],0.18488093316008603
60,0.4454631501166074,0.4254631501166074,0.3861446398548444,0.3784217470577475,0.6930723199274222,0.034608295405037307,0.00118217701125397,0.4807358906267036,6,114,1.0,stop_growth,none,4,0,stop_growth,False,False,False,False,True,False,True,[3],0.183347776636663
