cost_type,depth,var_components,var_fixed_param,n_init,n_qubits
global,1,0.00017406654380266052,1.7423815944723395e-35,30,6
global,2,9.030012081846657e-05,2.466551851078439e-05,30,6
global,3,0.0002349798189746962,0.00022488577832834733,30,6
global,4,0.00023093613548395286,0.00023411617592104507,30,6
global,5,0.00023597188064854345,0.00026473360911111307,30,6
global,6,0.0002522524013087316,0.0003699631551469507,30,6
global,7,0.0002213960039482747,0.0002865113654730002,30,6
global,8,0.0002441437755798875,0.000365129135706462,30,6
local,1,5.894931387618804e-05,0.00035645187574378297,30,6
local,2,0.0001141456687642062,0.0005367954057265424,30,6
local,3,7.299690720428299e-05,0.0001551635515333056,30,6
local,4,5.3234206166900445e-05,0.00013590110792519605,30,6
local,5,4.562178102915289e-05,4.584730166487434e-05,30,6
local,6,4.353908494824052e-05,8.77859843466322e-05,30,6
local,7,3.555119551469634e-05,4.743495785494621e-05,30,6
local,8,3.548368668312983e-05,6.23240896485579e-05,30,6
