benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,1,1,11,11,11,0,0,0.0028180821199273675,0.00017125388278158878,0.07939396968087385,0.07816968099885398,9.226520679302848e-20,0.5277777777777778
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,1,1,11,11,11,1,0,0.0030933945842227355,7.780351094666086e-05,0.05293892692704584,0.04145580205230383,3.2250544003458655e-19,0.6111111111111112
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,1,1,11,11,11,2,0,0.00020648578903120768,2.616946734847387e-07,0.003113912096470714,0.001722541625932999,3.6078076609277614e-19,0.4722222222222222
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,1,1,11,11,11,3,0,0.0005236239703163193,1.4695266082352556e-06,0.007351319228197893,0.0053929632247301275,5.421010862427522e-20,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,1,1,11,11,11,4,0,2.049175461323393e-05,6.489144400312986e-09,0.0004956093332983746,0.00048319966824853227,5.975997425665063e-20,0.6944444444444444
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,1,1,11,11,11,5,0,0.0055122895045169075,0.00012502863837665732,0.06984546146606285,0.04601301243650451,3.469446951953614e-18,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,2,2,22,22,11,6,0,0.01796785912156692,0.001371378690201656,0.22294158563169386,0.15414360387530182,0.0004949531876026689,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,2,2,22,22,11,6,1,0.010635220347977384,0.0006921314138649923,0.15785101772168544,0.10032385815111683,1.8231894166048077e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,2,2,22,22,11,7,0,0.01243281999962933,0.0008617813326512756,0.17614252653009083,0.11604915502675187,1.226969801385036e-07,0.027777777777777776
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,2,2,22,22,11,7,1,0.0075161248519454,0.0006685287929169723,0.1578935052331748,0.15091623827646372,3.620880149574818e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,2,2,22,22,11,8,0,0.007638260091866792,0.0003301458829797783,0.10947503465373881,0.08785975548364272,3.689097981224798e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,2,2,22,22,11,8,1,0.009682714336673101,0.0009415655525064724,0.18427960370642857,0.1558527698024893,5.509394325046779e-22,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,2,2,22,22,11,9,0,0.0012422751688629238,2.5115088266504705e-06,0.009509751302115888,0.004483041600938377,9.121038335269101e-18,0.027777777777777776
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,2,2,22,22,11,9,1,0.0002709688350104835,6.083697937934055e-07,0.004697695359908028,0.0039530590185302365,4.743384504624082e-19,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,2,2,22,22,11,10,0,0.0004950378394048731,6.184552239728355e-07,0.004734040740727038,0.0028525460973584573,1.4334629121809403e-17,0.027777777777777776
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,2,2,22,22,11,10,1,0.00018650263303741192,2.2133427926724109e-07,0.002943269125146373,0.002494052527976979,1.5347031529107842e-19,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,2,2,22,22,11,11,0,0.00018191520530304328,1.0092611605691743e-07,0.0019086031441566925,0.0012509007095705476,2.7095507819770045e-18,0.027777777777777776
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,2,2,22,22,11,11,1,0.00010630770020494165,9.483225440562751e-08,0.0018477352094210617,0.0014118588876817402,4.464320819994475e-19,0.6666666666666666
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,12,0,0.013389076271496037,0.00031545440350824646,0.10779119891727747,0.03838497207560407,0.00014562438320216142,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,12,1,0.013351855543708293,0.0004476267526871731,0.1307030566384013,0.06784234349602565,2.347756860830586e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,12,2,0.011153611607522158,0.00030623257048809397,0.10502990144232185,0.05427133740129555,6.105025584732422e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,12,3,0.004251595631465659,5.2345492294917127e-05,0.04375305573050855,0.023767181949803654,1.2955500278914584e-18,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,13,0,0.006903362244617044,0.0001280696821647872,0.06793180299602244,0.03355309461708816,8.498028787549006e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,13,1,0.00769729000750614,0.00017363530213865546,0.08113726662795874,0.04228053051310915,7.202058305022692e-06,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,13,2,0.01061545093429453,0.0003302547405332861,0.10903884005584383,0.05098065233870899,9.020157752404776e-06,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,13,3,0.0038983784961278806,8.230343630185607e-05,0.05447834927673282,0.04542171366132593,9.40019178026333e-19,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,14,0,0.005870456299774448,7.952009438997823e-05,0.05408446699691328,0.027439382614188323,0.00010690644407840982,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,14,1,0.005762722113363868,0.0001031852785489915,0.06177577244503348,0.04694671080109061,0.00012445182276352228,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,14,2,0.003609016134843178,2.9004030709337517e-05,0.03378381288468824,0.01825606001001636,8.588307550007248e-05,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,12,4,4,44,44,11,14,3,0.003772997961873144,5.4891872615231646e-05,0.04466812439387692,0.025466592508100173,1.612630463427806e-19,0.3333333333333333
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,4,4,44,44,11,15,0,0.013330066544168592,0.0004082047645883161,0.12169590438106655,0.06745537491006438,0.0004778483678475661,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,4,4,44,44,11,15,1,0.011312968130550768,0.00023061069511227085,0.09154232732055245,0.03693322381536329,0.00029244880814945,0.0
random_bp,expectation_value,same_entangling_gate_count,pm_12q_bp_sweep,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,12,4,4,44,44,11,15,2,0.009306671723140085,0.00016076941989198135,0.07702021141169625,0.03296655820173505,3.8652621487229024e-17,0.027777777777777776
