benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,grad_value,abs_grad,is_near_zero
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,0,0,RX,0,0,layer_000_wire_000_RX,-0.03380376115128847,0.03380376115128847,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,0,0,RY,1,1,layer_000_wire_000_RY,0.23261495870900079,0.23261495870900079,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,0,0,RZ,2,2,layer_000_wire_000_RZ,-7.827205718412872e-18,7.827205718412872e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,0,1,RX,0,3,layer_000_wire_001_RX,-0.0009230200650194913,0.0009230200650194913,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,0,1,RY,1,4,layer_000_wire_001_RY,0.021091859548406706,0.021091859548406706,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,0,1,RZ,2,5,layer_000_wire_001_RZ,3.409154159869513e-17,3.409154159869513e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,0,2,RX,0,6,layer_000_wire_002_RX,-0.0008501284217710785,0.0008501284217710785,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,0,2,RY,1,7,layer_000_wire_002_RY,-0.008283053987113665,0.008283053987113665,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,0,2,RZ,2,8,layer_000_wire_002_RZ,2.2069662712229347e-17,2.2069662712229347e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,0,3,RX,0,9,layer_000_wire_003_RX,0.00012501850572799351,0.00012501850572799351,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,0,3,RY,1,10,layer_000_wire_003_RY,0.0006587293388125668,0.0006587293388125668,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,0,3,RZ,2,11,layer_000_wire_003_RZ,-3.489610878506536e-18,3.489610878506536e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,0,0,RX,0,0,layer_000_wire_000_RX,0.013875313748325388,0.013875313748325388,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,0,0,RY,1,1,layer_000_wire_000_RY,-0.059984543466271585,0.059984543466271585,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,0,0,RZ,2,2,layer_000_wire_000_RZ,-3.370035443990506e-17,3.370035443990506e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,0,1,RX,0,3,layer_000_wire_001_RX,0.017007852249596205,0.017007852249596205,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,0,1,RY,1,4,layer_000_wire_001_RY,0.12428960852217913,0.12428960852217913,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,0,1,RZ,2,5,layer_000_wire_001_RZ,2.2568935560161122e-17,2.2568935560161122e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,0,2,RX,0,6,layer_000_wire_002_RX,-0.06475279532394498,0.06475279532394498,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,0,2,RY,1,7,layer_000_wire_002_RY,-0.02206836683535384,0.02206836683535384,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,0,2,RZ,2,8,layer_000_wire_002_RZ,-1.0986134682751284e-17,1.0986134682751284e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,0,3,RX,0,9,layer_000_wire_003_RX,0.00012799868318773278,0.00012799868318773278,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,0,3,RY,1,10,layer_000_wire_003_RY,-0.03314722194493261,0.03314722194493261,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,0,3,RZ,2,11,layer_000_wire_003_RZ,-5.007544339288725e-18,5.007544339288725e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,0,RX,0,0,layer_000_wire_000_RX,-0.0032135401159002113,0.0032135401159002113,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,0,RY,1,1,layer_000_wire_000_RY,-0.0007469089064141574,0.0007469089064141574,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,0,RZ,2,2,layer_000_wire_000_RZ,-6.084390379449361e-17,6.084390379449361e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,1,RX,0,3,layer_000_wire_001_RX,0.003715551420172363,0.003715551420172363,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,1,RY,1,4,layer_000_wire_001_RY,0.0041481605598262085,0.0041481605598262085,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,1,RZ,2,5,layer_000_wire_001_RZ,5.872778306857103e-17,5.872778306857103e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,2,RX,0,6,layer_000_wire_002_RX,0.004858203106378846,0.004858203106378846,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,2,RY,1,7,layer_000_wire_002_RY,0.0007214061687165879,0.0007214061687165879,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,2,RZ,2,8,layer_000_wire_002_RZ,-1.266450935109733e-17,1.266450935109733e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,3,RX,0,9,layer_000_wire_003_RX,0.0010235284701098591,0.0010235284701098591,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,3,RY,1,10,layer_000_wire_003_RY,0.0002775846208943334,0.0002775846208943334,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,0,3,RZ,2,11,layer_000_wire_003_RZ,9.12431750435585e-18,9.12431750435585e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,0,RX,0,0,layer_000_wire_000_RX,-0.010298729745270107,0.010298729745270107,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,0,RY,1,1,layer_000_wire_000_RY,0.07086899542715108,0.07086899542715108,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,0,RZ,2,2,layer_000_wire_000_RZ,1.8720152371139703e-17,1.8720152371139703e-17,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,1,RX,0,3,layer_000_wire_001_RX,-0.0012958872187288127,0.0012958872187288127,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,1,RY,1,4,layer_000_wire_001_RY,0.02961221780961719,0.02961221780961719,False
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,1,RZ,2,5,layer_000_wire_001_RZ,7.775392555878307e-18,7.775392555878307e-18,True
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,0,2,RX,0,6,layer_000_wire_002_RX,-0.0036846122887657213,0.0036846122887657213,False
