benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,n_seeds,param_grad_mean,param_grad_variance_across_seeds,param_mean_abs_grad,param_near_zero_ratio
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,same_entangling_gate_count,0,0,RX,0,0,layer_000_wire_000_RX,3,-0.007713995839621098,0.0005835141221116261,0.016964205005171356,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,same_entangling_gate_count,0,0,RY,1,1,layer_000_wire_000_RY,3,0.05729450211210502,0.023930221213069813,0.09778213702722884,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,same_entangling_gate_count,0,0,RZ,2,2,layer_000_wire_000_RZ,3,-3.412382131760385e-17,7.028270618699568e-34,3.412382131760385e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,same_entangling_gate_count,0,1,RX,0,3,layer_000_wire_001_RX,3,0.006600127868249692,8.661963145436473e-05,0.007215474578262686,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,same_entangling_gate_count,0,1,RY,1,4,layer_000_wire_001_RY,3,0.049843209543470685,0.004228471974526688,0.04984320954347068,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,same_entangling_gate_count,0,1,RZ,2,5,layer_000_wire_001_RZ,3,3.8462753409142426e-17,3.411961828029558e-34,3.8462753409142426e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,same_entangling_gate_count,0,2,RX,0,6,layer_000_wire_002_RX,3,-0.020248240213112403,0.0014936378314186682,0.023487042284031635,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,same_entangling_gate_count,0,2,RY,1,7,layer_000_wire_002_RY,3,-0.009876671551250306,0.0001317481510998079,0.010357608997061365,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,same_entangling_gate_count,0,2,RZ,2,8,layer_000_wire_002_RZ,3,-5.269937738730887e-19,3.8366089864502286e-34,1.5240102248692654e-17,1.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,same_entangling_gate_count,0,3,RX,0,9,layer_000_wire_003_RX,3,0.00042551521967519514,2.68217106135997e-07,0.00042551521967519514,0.0
random_bp,expectation_value,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,same_entangling_gate_count,0,3,RY,1,10,layer_000_wire_003_RY,3,-0.010736969328408567,0.00037670088457631616,0.011361178634879836,0.0
