benchmark_mode,objective_type,budget_normalization,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,seed,hilbert_dim,n_params,n_entangling_gates,objective_value,mean_abs_grad,spatial_grad_variance,log10_spatial_grad_variance,grad_norm,normalized_grad_norm,max_abs_grad,min_abs_grad,near_zero_ratio,target_grad
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,0,0,16,12,3,0.02906945036781118,0.024862544143928397,0.0043392340682577015,-2.362586922396504,0.23615230899584524,0.06817129958425147,0.23261495870900079,3.489610878506536e-18,0.3333333333333333,-0.03380376115128847
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,1,1,16,12,3,-0.18646016249116354,0.027937808397815966,0.002104657631250613,-2.6768185416106083,0.15908028047054137,0.045922521376214116,0.12428960852217913,5.007544339288725e-18,0.3333333333333333,0.013875313748325388
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,local,4,1,1,3,3,3,2,2,16,12,3,-0.00023488064595607316,0.0015587402807010593,4.787775371308203e-06,-5.319866233639434,0.008194174724217027,0.002365454491406764,0.004858203106378846,9.12431750435585e-18,0.3333333333333333,-0.0032135401159002113
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,3,0,16,12,4,0.012434018870734698,0.013511502759039997,0.0005909993562731192,-3.228412992159666,0.08596386815631502,0.02481563121031499,0.07086899542715108,6.386390007424288e-19,0.3333333333333333,-0.010298729745270107
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,4,1,16,12,4,0.0516426864761247,0.020853406485026194,0.0017110464312852659,-2.7667382052003506,0.14482919549850526,0.04180858750378948,0.12617295534062895,3.8106511895261167e-19,0.3333333333333333,-0.0037855947850611747
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,local,4,1,1,3,4,4,5,2,16,12,4,-0.03647514854042881,0.024896942084472542,0.001307010116214289,-2.883721050981781,0.12895319795969848,0.03722558177744751,0.0796842362461001,2.8871159485473738e-18,0.3333333333333333,-0.0780107178613119
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,6,0,16,12,3,0.14211528424804426,0.061526981595085344,0.015119075155045314,-1.8204747741354044,0.47252899956881755,0.1364073725504807,0.33845442853024077,2.0448601169521252e-18,0.6666666666666666,2.0816681711721685e-17
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,7,1,16,12,3,-0.007810755932785962,0.031404600029035216,0.00948995056322827,-2.0227360499724005,0.35432103776682716,0.10228367326711262,0.35379449517884465,3.651826788085742e-18,0.6666666666666666,5.312590645178972e-18
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,global,4,1,1,3,3,3,8,2,16,12,3,-0.3440767431604028,0.09498219446032363,0.024890485841213384,-1.6039666262480243,0.6379225950446851,0.1841523909855968,0.5233266553411755,1.0238499299807855e-18,0.6666666666666666,-1.1102230246251565e-16
random_bp,expectation_value,same_entangling_gate_count,smoke_random_parameter_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,global,4,1,1,3,4,4,9,0,16,12,4,0.008141609525514348,0.011992958472247947,0.0006925104775056407,-3.159573651449852,0.0912445970389467,0.026340046331267405,0.0651495002361451,3.134796447808662e-18,0.6666666666666666,-0.009467568884353277
