benchmark_mode,objective_type,budget_normalization,experiment_group,dataset_name,target_mode,batch_id,fixed_batch_seed,batch_size,batch_class_counts,ansatz_type,gate_set,encoding_type,feature_map,entanglement_topology,entangler_type,loss_type,readout_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_spatial_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,1,1,11,11,11,0,0,0.0007766411521182699,1.877010451018307e-05,0.02640905025964544,0.02636063150426235,8.673617379884035e-19,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,1,1,11,11,11,1,0,0.09624770121050957,0.16042792262157238,2.4716179991972194,1.962751675888278,5.1770653736182837e-17,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,1,1,11,11,11,2,0,0.002738254986896064,0.00021509215876622158,0.08895504109599689,0.08836715917574706,0.0,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,3,0,0.0342714004332426,0.008533350569102769,0.5839551145324449,0.3804217567992587,8.103301585388331e-19,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,3,1,0.04364938338365209,0.03823103054167481,1.202042749494427,1.1099516597905594,1.734723475976807e-18,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,4,0,0.03702091932918068,0.024821469068235485,0.9574884031351828,0.9294215914038052,1.1926223897340549e-18,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,4,1,0.008133831512651383,0.0011260478498624866,0.20717010966303198,0.151322365665421,1.514494909690689e-18,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,5,0,0.007794409765965054,0.0005130995186595523,0.1364357890753565,0.08714332240526759,2.168404344971009e-19,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,2,2,22,22,11,5,1,0.009627960605012994,0.002571645972874585,0.30739498724872655,0.304497072981602,1.060279186659208e-18,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,6,0,0.032872194239565417,0.00827032994316462,0.5582726706102618,0.48239343179659555,1.0842021724855044e-19,0.6666666666666666
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,6,1,0.02872950687144236,0.006106735722121161,0.4766776873672007,0.3387552164507125,6.0644704742792866e-18,0.75
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,6,2,0.009321997505636646,0.0007311124789004171,0.162446994792057,0.12876731243034273,5.421010862427522e-20,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,6,3,0.012585018276113226,0.005297159322683369,0.44316984585705393,0.4430569236303911,5.421010862427522e-19,0.9444444444444444
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,7,0,0.027402199682772792,0.0033482115440388147,0.34983852248988545,0.1973036850258967,3.7154230517172347e-19,0.6666666666666666
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,7,1,0.02241477571683845,0.003329504499386916,0.3484078252533217,0.21427362287619123,5.149960319306146e-19,0.75
task_aware_bp,supervised_loss,same_depth,task_aware_bp_12q_pm,predictive_maintenance,binary_subset,0,42,16,"{0: 15, 1: 1}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,12,4,4,44,44,11,7,2,0.02485147863511548,0.0036694271073338084,0.37506063626080394,0.1800686105513524,9.997209174869026e-20,0.8333333333333334
