benchmark_mode,objective_type,budget_normalization,experiment_group,dataset_name,target_mode,batch_id,fixed_batch_seed,batch_size,batch_class_counts,ansatz_type,gate_set,encoding_type,feature_map,entanglement_topology,entangler_type,loss_type,readout_type,n_qubits,reference_depth,depth,target_entangling_budget,actual_entangling_budget,gates_per_layer,run_id,layer_id,layer_mean_abs_grad,layer_spatial_grad_variance,layer_grad_norm,layer_max_abs_grad,layer_min_abs_grad,layer_near_zero_ratio
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,1,1,3,3,3,0,0,0.14431463080415832,0.185100329407622,1.5719810764958806,1.5628817564785913,1.7097868260096405e-16,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,1,1,3,3,3,1,0,0.2962830611397825,0.44271337727728804,2.523086275803459,1.9285979828519302,2.1510571102112408e-16,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,1,1,3,3,3,2,0,0.09601615121486899,0.09470479906918332,1.116730408093018,1.1161485303694545,1.3010426069826053e-18,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,1,1,3,3,3,3,0,0.16607850430095716,0.24931963900425477,1.7869026273284017,1.773359688682367,9.011888457699513e-16,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,1,1,3,3,3,4,0,0.1282305777990632,0.09282269707333089,1.1450717610141947,1.0216605960779066,5.445213726722922e-18,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,2,2,6,6,3,5,0,0.06944322819034078,0.012100045160764262,0.38944745810371034,0.2565678242761921,1.734723475976807e-18,0.5
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,2,2,6,6,3,5,1,0.04761127571323288,0.013748384718663463,0.4066132517124308,0.3182430979845119,6.248948226149598e-18,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,2,2,6,6,3,6,0,0.034159994716835146,0.0036599219733475324,0.21074785776521116,0.15677113121413316,1.9786689647860456e-18,0.5
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,2,2,6,6,3,6,1,0.010043212184427214,0.0006811856724558458,0.09687425561648087,0.09283427433898472,1.951563910473908e-18,0.8333333333333334
task_aware_bp,supervised_loss,same_depth,smoke_task_aware_bp,iris,binary_subset,0,42,16,"{0: 8, 1: 8}",hea,RX_RY_RZ_CNOT,angle,ry_angle,linear,cnot,binary_cross_entropy,single_qubit_z,4,2,2,6,6,3,7,0,0.04142469060117542,0.00667547960990555,0.28339481707899555,0.24969008484574579,1.5178830414797062e-18,0.5
