n_qubits,depth,entanglement_topology,cost_type,encoding_type,layer_id,layer_grad_variance,layer_grad_norm,layer_mean_abs_grad,layer_max_abs_grad,layer_near_zero_ratio
4,2,linear,local,angle,0,0.000423227894961285,0.07257309776189445,0.017628182295936514,0.06055651032143423,0.0
4,2,linear,local,angle,1,0.00043623945886196876,0.07295014854915685,0.01766392029726741,0.05724593745623087,0.0
4,2,linear,global,angle,0,0.00021161394748064245,0.051316929559149814,0.01246500724144935,0.04281991909327929,0.0
4,2,linear,global,angle,1,0.00021811972943098427,0.05158354472767477,0.012490277824536478,0.040478990570681814,0.0
4,2,circular,local,angle,0,0.0006240452124684255,0.088124475853729,0.021405649930780053,0.073532905390313,0.0
4,2,circular,local,angle,1,0.0006432306306689234,0.0885823232382619,0.021449046075253286,0.06951292405399462,0.0
4,2,circular,global,angle,0,0.00031202260623421275,0.06231341446468195,0.01513608022175993,0.05199561604183915,0.0
4,2,circular,global,angle,1,0.0003216153153344616,0.06263716145503367,0.015166765929794298,0.04915305997868507,0.0
4,4,linear,local,angle,0,0.00021161394748064245,0.051316929559149814,0.01246500724144935,0.04281991909327929,0.0
4,4,linear,local,angle,1,0.00021811972943098427,0.05158354472767477,0.012490277824536478,0.040478990570681814,0.0
4,4,linear,local,angle,2,0.00018402587055463181,0.04757908156784475,0.010773406717238697,0.03807428145648704,0.0
4,4,linear,local,angle,3,0.0002469170783906842,0.05404549417334341,0.012837647948463949,0.04248009350070689,0.0
4,4,linear,global,angle,0,5.2903486870160614e-05,0.025658464779574907,0.006232503620724675,0.021409959546639646,0.0
4,4,linear,global,angle,1,5.452993235774607e-05,0.025791772363837385,0.006245138912268239,0.020239495285340907,0.0
4,4,linear,global,angle,2,4.6006467638657954e-05,0.023789540783922376,0.005386703358619348,0.01903714072824352,0.0
4,4,linear,global,angle,3,6.172926959767106e-05,0.027022747086671704,0.006418823974231974,0.021240046750353445,0.0
4,4,circular,local,angle,0,0.00031202260623421275,0.06231341446468195,0.01513608022175993,0.05199561604183915,0.0
4,4,circular,local,angle,1,0.0003216153153344616,0.06263716145503367,0.015166765929794298,0.04915305997868507,0.0
4,4,circular,local,angle,2,0.000271344268317799,0.05777459904666864,0.013081993870932703,0.04623305605430569,0.0
4,4,circular,local,angle,3,0.00036407671252503953,0.06562667149620273,0.015588572508849081,0.051582970679429796,0.0
4,4,circular,global,angle,0,7.800565155855319e-05,0.031156707232340975,0.007568040110879965,0.025997808020919576,0.0
4,4,circular,global,angle,1,8.04038288336154e-05,0.03131858072751684,0.007583382964897149,0.024576529989342535,0.0
4,4,circular,global,angle,2,6.783606707944975e-05,0.02888729952333432,0.006540996935466351,0.023116528027152847,0.0
4,4,circular,global,angle,3,9.101917813125988e-05,0.032813335748101365,0.0077942862544245406,0.025791485339714898,0.0
4,6,linear,local,angle,0,0.00010580697374032125,0.03628654888094723,0.008814091147968257,0.030278255160717114,0.0
4,6,linear,local,angle,1,0.00010905986471549219,0.036475074274578426,0.008831960148633706,0.028622968728115435,0.0
4,6,linear,local,angle,2,9.201293527731592e-05,0.03364349121925089,0.007617948946240186,0.026922582606687208,0.0
4,6,linear,local,angle,3,0.0001234585391953421,0.03821593542254918,0.009077587918844427,0.03003796217978843,0.0
4,6,linear,local,angle,4,9.993375825267878e-05,0.03511947242124801,0.008316330662829812,0.02813431525973381,0.0
4,6,linear,local,angle,5,9.718856956149655e-05,0.03428090019029472,0.008030678456523515,0.027903206341719868,0.0
4,6,linear,global,angle,0,1.3225871717540153e-05,0.012829232389787453,0.0031162518103623376,0.010704979773319823,0.0
4,6,linear,global,angle,1,1.3632483089436517e-05,0.012895886181918692,0.0031225694561341196,0.010119747642670453,0.0
4,6,linear,global,angle,2,1.1501616909664488e-05,0.011894770391961188,0.002693351679309674,0.00951857036412176,0.0
4,6,linear,global,angle,3,1.5432317399417764e-05,0.013511373543335852,0.003209411987115987,0.010620023375176722,0.0
4,6,linear,global,angle,4,1.249171978158484e-05,0.0124166085503792,0.0029402669031382877,0.009946982552098967,0.0
4,6,linear,global,angle,5,1.2148571195187064e-05,0.0121201284948683,0.0028392735970682466,0.009865273210538794,0.0
4,6,circular,local,angle,0,0.00015601130311710637,0.0440622379268645,0.010702824965390026,0.0367664526951565,0.0
4,6,circular,local,angle,1,0.00016080765766723085,0.04429116161913095,0.010724523037626643,0.03475646202699731,0.0
4,6,circular,local,angle,2,0.00013567213415889952,0.04085281076623324,0.009250366577577367,0.032691707450977325,0.0
4,6,circular,local,angle,3,0.00018203835626251982,0.04640506444166687,0.011022785330025379,0.03647466836117167,0.0
4,6,circular,local,angle,4,0.00014735130681134783,0.04264507365437258,0.010098401519150486,0.03416309710110534,0.0
4,6,circular,local,angle,5,0.00014330355409832913,0.0416268073739293,0.009751538125778555,0.033882464843516986,0.0
4,6,circular,global,angle,0,1.9501412889638297e-05,0.015578353616170488,0.0037840200554399824,0.012998904010459788,0.0
4,6,circular,global,angle,1,2.010095720840385e-05,0.01565929036375842,0.0037916914824485744,0.012288264994671267,0.0
4,6,circular,global,angle,2,1.6959016769862437e-05,0.01444364976166716,0.0032704984677331757,0.011558264013576423,0.0
4,6,circular,global,angle,3,2.275479453281497e-05,0.016406667874050682,0.0038971431272122703,0.012895742669857449,0.0
4,6,circular,global,angle,4,1.8418913351418472e-05,0.015077310382603315,0.0035703240966679212,0.012078478813263035,0.0
4,6,circular,global,angle,5,1.7912944262291138e-05,0.014717298886625796,0.0034476893678685857,0.011979260327082825,0.0
