n_qubits,depth,entanglement_topology,cost_type,encoding_type,param_index,layer_id,param_grad_variance_across_seeds,log10_param_grad_variance
4,2,linear,local,angle,0,0,0.0003239430541047166,-3.4895313276381894
4,2,linear,local,angle,1,0,0.0003706331839957385,-3.4310556994773007
4,2,linear,local,angle,2,0,0.0004845247412327328,-3.3146840417163905
4,2,linear,local,angle,3,0,0.0004457741560190204,-3.3508851135670397
4,2,linear,local,angle,4,0,0.0006478217245966236,-3.1885444920865167
4,2,linear,local,angle,5,0,0.00045353833440946005,-3.3433859991906805
4,2,linear,local,angle,6,0,0.00037611417547432326,-3.4246802980206703
4,2,linear,local,angle,7,0,0.0004550750156791019,-3.3419170072766233
4,2,linear,local,angle,8,0,0.00029394813976329646,-3.531729283878001
4,2,linear,local,angle,9,0,0.00048015014470838323,-3.318622935911833
4,2,linear,local,angle,10,0,0.0003248267895111911,-3.488348160289541
4,2,linear,local,angle,11,0,0.0004223852800408323,-3.3742912252006465
4,2,linear,local,angle,12,1,0.0004426290660402311,-3.3539600707377017
4,2,linear,local,angle,13,1,0.0003802905246755807,-3.419884495341441
4,2,linear,local,angle,14,1,0.0004303262464659896,-3.366202164612943
4,2,linear,local,angle,15,1,0.0004194857851536069,-3.377282751245164
4,2,linear,local,angle,16,1,0.00028167814604084017,-3.5502468463832093
4,2,linear,local,angle,17,1,0.00039262633644812146,-3.406020572309945
4,2,linear,local,angle,18,1,0.0005086403179880383,-3.293589217920166
4,2,linear,local,angle,19,1,0.0005294299681141724,-3.2761914793205453
4,2,linear,local,angle,20,1,0.00045363702430324036,-3.3432915070375464
4,2,linear,local,angle,21,1,0.00039490532092542217,-3.4035070145719355
4,2,linear,local,angle,22,1,0.00040501840608164654,-3.3925252398024828
4,2,linear,local,angle,23,1,0.0005962063641067351,-3.224603392473657
4,2,linear,global,angle,0,0,0.00016197152705235828,-3.7905613233021707
4,2,linear,global,angle,1,0,0.00018531659199786917,-3.732085695141282
4,2,linear,global,angle,2,0,0.00024226237061636627,-3.6157140373803722
4,2,linear,global,angle,3,0,0.0002228870780095101,-3.6519151092310214
4,2,linear,global,angle,4,0,0.0003239108622983117,-3.489574487750498
4,2,linear,global,angle,5,0,0.00022676916720472997,-3.644415994854662
4,2,linear,global,angle,6,0,0.00018805708773716152,-3.7257102936846516
4,2,linear,global,angle,7,0,0.00022753750783955083,-3.642947002940605
4,2,linear,global,angle,8,0,0.00014697406988164818,-3.8327592795419823
4,2,linear,global,angle,9,0,0.00024007507235419153,-3.6196529315758146
4,2,linear,global,angle,10,0,0.00016241339475559546,-3.7893781559535227
4,2,linear,global,angle,11,0,0.0002111926400204161,-3.6753212208646278
4,2,linear,global,angle,12,1,0.00022131453302011547,-3.654990066401683
4,2,linear,global,angle,13,1,0.0001901452623377903,-3.720914491005422
4,2,linear,global,angle,14,1,0.00021516312323299468,-3.6672321602769244
4,2,linear,global,angle,15,1,0.00020974289257680336,-3.6783127469091452
4,2,linear,global,angle,16,1,0.00014083907302042003,-3.8512768420471906
4,2,linear,global,angle,17,1,0.00019631316822406065,-3.7070505679739267
4,2,linear,global,angle,18,1,0.00025432015899401895,-3.5946192135841475
