benchmark_mode,objective_type,ansatz_type,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,depth,run_id,n_params,spatial_grad_variance,grad_norm,normalized_grad_norm,near_zero_ratio,log10_spatial_grad_variance,batch_size,n_seeds
task_aware,supervised_loss,hea,angle,linear,cnot,local,4,2,1,24,0.00042973367691162686,0.10390478665973439,0.021209475762424483,0.0,-3.3668006106545034,16,20
task_aware,supervised_loss,hea,angle,linear,cnot,global,4,2,2,24,0.00021486683845581335,0.07347177924483969,0.01499736413702207,0.0,-3.667830606318485,16,20
task_aware,supervised_loss,hea,angle,circular,cnot,local,4,2,3,24,0.0006336379215686744,0.1261700980868204,0.02575436342580117,0.0,-3.1981588392544316,16,20
task_aware,supervised_loss,hea,angle,circular,cnot,global,4,2,4,24,0.0003168189607843371,0.08921573194016252,0.018211085023526807,0.0,-3.4991888349184133,16,20
task_aware,supervised_loss,hea,angle,linear,cnot,local,4,4,5,48,0.00021516915646423566,0.10402852337412127,0.015015223993362048,0.0,-3.667219982714795,16,20
task_aware,supervised_loss,hea,angle,linear,cnot,global,4,4,6,48,5.3792289116058916e-05,0.05201426168706064,0.007507611996681024,0.0,-4.269279974042758,16,20
task_aware,supervised_loss,hea,angle,circular,cnot,local,4,4,7,48,0.0003172647256028782,0.126320349811433,0.018232771991939636,0.0,-3.4985782113147232,16,20
task_aware,supervised_loss,hea,angle,circular,cnot,global,4,4,8,48,7.931618140071954e-05,0.0631601749057165,0.009116385995969818,0.0,-4.100638202642686,16,20
task_aware,supervised_loss,hea,angle,linear,cnot,local,4,6,9,72,0.0001045767734571078,0.08890747619090844,0.010477846552128814,0.0,-3.9805647617355695,16,20
task_aware,supervised_loss,hea,angle,linear,cnot,global,4,6,10,72,1.307209668213847e-05,0.03143353965638643,0.003704478174621184,0.0,-4.883654748727514,16,20
task_aware,supervised_loss,hea,angle,circular,cnot,local,4,6,11,72,0.00015419738535257224,0.10795907823181738,0.012723099384727845,0.0,-3.8119229903354976,16,20
task_aware,supervised_loss,hea,angle,circular,cnot,global,4,6,12,72,1.9274673169071527e-05,0.038169298154183524,0.004498294926325724,0.0,-4.715012977327442,16,20
