n_qubits,entanglement_topology,cost_type,depth,diagnosis,risk_level,near_zero_ratio,log10_spatial_grad_variance,primary_mode
4,circular,global,1,layerwise_dead_zone,HIGH,0.6666666666666666,-3.0209233062124308,empirical_stage1a
4,circular,global,2,healthy,LOW,0.0,-3.499188834918464,empirical_combined
4,circular,global,4,ambiguous_gradient_collapse,MEDIUM,0.0,-4.100638202642686,empirical_stage1b
4,circular,global,6,ambiguous_gradient_collapse,MEDIUM,0.0,-4.715012977327442,empirical_stage1b
4,circular,hamiltonian_local,1,healthy,LOW,0.5,-1.8903498131232943,empirical_stage1a
4,circular,hamiltonian_local,2,healthy,LOW,0.25,-2.2112311109508735,empirical_stage1a
4,circular,local,1,healthy,LOW,0.3333333333333333,-2.8837210509818103,empirical_stage1a
4,circular,local,2,healthy,LOW,0.0,-3.1981588392544826,empirical_combined
4,circular,local,4,healthy,LOW,0.0,-3.4985782113148303,empirical_stage1b
4,circular,local,6,healthy,LOW,0.0,-3.811922990335701,empirical_stage1b
4,linear,global,1,layerwise_dead_zone,HIGH,0.6666666666666666,-1.8204747741354048,empirical_stage1a
4,linear,global,2,healthy,LOW,0.0,-3.667830606318512,empirical_combined
4,linear,global,4,ambiguous_gradient_collapse,MEDIUM,0.0,-4.269279974042758,empirical_stage1b
4,linear,global,6,ambiguous_gradient_collapse,MEDIUM,0.0,-4.883654748727514,empirical_stage1b
4,linear,hamiltonian_local,1,healthy,LOW,0.5,-1.7115457050081133,empirical_stage1a
4,linear,hamiltonian_local,2,healthy,LOW,0.2916666666666667,-2.2410870912722705,empirical_stage1a
4,linear,local,1,healthy,LOW,0.3333333333333333,-2.676818541610611,empirical_stage1a
4,linear,local,2,healthy,LOW,0.0,-3.366800610654531,empirical_combined
4,linear,local,4,healthy,LOW,0.0,-3.667219982714867,empirical_stage1b
4,linear,local,6,healthy,LOW,0.0,-3.980564761735602,empirical_stage1b
