n_qubits,entanglement_topology,cost_type,depth,threshold_mode,spatial_grad_variance,tau_empirical,beta,n_params
4,circular,global,1,empirical_stage1a,0.0009529644369403,0.10693723974034303,1.0,12
4,circular,global,2,empirical_stage1a,0.0160208740150286,0.6200814272018526,1.0,24
4,circular,global,2,empirical_stage1b,0.0003168189607843,0.08719893955102435,1.0,24
4,circular,global,2,empirical_combined,0.0003168189607843,0.08719893955102435,1.0,24
4,circular,global,4,empirical_stage1b,7.931618140071954e-05,0.06170232335361885,1.0,48
4,circular,global,6,empirical_stage1b,1.9274673169071527e-05,0.037252871945303086,1.0,72
4,circular,hamiltonian_local,1,empirical_stage1a,0.0128721231734045,0.3930209639203156,1.0,12
4,circular,hamiltonian_local,2,empirical_stage1a,0.0061484959180837,0.3841404717470014,1.0,24
4,circular,local,1,empirical_stage1a,0.0013070101162142,0.1252362622987863,1.0,12
4,circular,local,2,empirical_stage1a,0.0029102205959189,0.26428260310140284,1.0,24
4,circular,local,2,empirical_stage1b,0.0006336379215686,0.12331792293761033,1.0,24
4,circular,local,2,empirical_combined,0.0006336379215686,0.12331792293761033,1.0,24
4,circular,local,4,empirical_stage1b,0.0003172647256028,0.1234046467072225,1.0,48
4,circular,local,6,empirical_stage1b,0.0001541973853525,0.10536703348476695,1.0,72
4,linear,global,1,empirical_stage1a,0.0151190751550453,0.4259447169064826,1.0,12
4,linear,global,2,empirical_stage1a,0.0172005128159262,0.6425047140544797,1.0,24
4,linear,global,2,empirical_stage1b,0.0002148668384558,0.0718108913949632,1.0,24
4,linear,global,2,empirical_combined,0.0002148668384558,0.0718108913949632,1.0,24
4,linear,global,4,empirical_stage1b,5.379228911605892e-05,0.0508136780559214,1.0,48
4,linear,global,6,empirical_stage1b,1.307209668213847e-05,0.03067883571966136,1.0,72
4,linear,hamiltonian_local,1,empirical_stage1a,0.0194291720910215,0.4828561536236832,1.0,12
4,linear,hamiltonian_local,2,empirical_stage1a,0.0057400134326819,0.37116077700151134,1.0,24
4,linear,local,1,empirical_stage1a,0.0021046576312506,0.1589210230743787,1.0,12
4,linear,local,2,empirical_stage1a,0.0025937384422681,0.2494989431128605,1.0,24
4,linear,local,2,empirical_stage1b,0.0004297336769116,0.10155593653685835,1.0,24
4,linear,local,2,empirical_combined,0.0004297336769116,0.10155593653685835,1.0,24
4,linear,local,4,empirical_stage1b,0.0002151691564642,0.10162735611183438,1.0,48
4,linear,local,6,empirical_stage1b,0.0001045767734571,0.08677285110511927,1.0,72




