depth,loss_floor,grad_var,accuracy
1,0.6930329101112106,7.815151191345636e-06,0.4166666666666667
2,0.6127476663709759,5.971464642278027e-07,0.7166666666666667
3,0.604860475935868,2.7770942816189896e-06,0.6666666666666666
4,0.5602418339809664,2.6440237441796656e-06,0.7666666666666667
5,0.5559960995289152,3.1004622698900695e-06,0.75
6,0.5903401410889167,3.5179446813693123e-06,0.8166666666666667
7,0.598475400043573,3.3576976709349553e-06,0.8166666666666667
8,0.6169306054651674,3.810893330675155e-06,0.8166666666666667
9,0.6364589706148046,3.7028086346609793e-06,0.85
10,0.6311793598353743,3.839154057504216e-06,0.8166666666666667
11,0.632182557471009,3.7535142774586084e-06,0.7833333333333333
12,0.6262576618462794,3.8768608038058395e-06,0.8166666666666667
13,0.6207200587512851,3.891274897983405e-06,0.8
14,0.6235422491267717,3.84191667916691e-06,0.7833333333333333
15,0.6170745357039346,3.998418563057789e-06,0.8166666666666667
16,0.6178900329276145,3.853866328962872e-06,0.8
