depth,loss_floor,grad_var,accuracy
1,0.6673511247273786,8.070090555016457e-06,0.45
2,0.6789897337133092,1.2624178945954893e-05,0.6166666666666667
3,0.6505399251226035,9.169263166451948e-06,0.6666666666666666
4,0.6312238411932956,8.358848097176534e-06,0.7
5,0.6308323234376124,6.109230762432312e-06,0.75
6,0.6217979616975438,4.361588961602934e-06,0.7666666666666667
7,0.6427367175676599,3.2888821269454935e-06,0.7833333333333333
8,0.6380198659045796,2.212700983105033e-06,0.7666666666666667
9,0.6512894508889553,1.6529610945082615e-06,0.8
10,0.6464718351385106,1.1424419625624352e-06,0.8166666666666667
12,0.6559745340438764,7.372524628572125e-07,0.8
